Suspicious Minds	Elvis Presley
Wedding Bell Blues	The 5th Dimension
Sugar, Sugar	The Archies
I Can't Get Next To You	The Temptations
Baby It's You	Smith
Hot Fun In The Summertime	Sly & The Family Stone
Little Woman	Bobby Sherman
Jean	Oliver
Tracy	The Cuff Links
Come Together/Something	The Beatles
Something	The Beatles
Smile A Little Smile For Me	The Flying Machine
Is That All There Is	Peggy Lee
That's The Way Love Is	Marvin Gaye
I'm Gonna Make You Mine	Lou Christie
Going In Circles	The Friends Of Distinction
And When I Die	Blood, Sweat & Tears
You've Lost That Lovin' Feeling	Dionne Warwick
I'll Never Fall In Love Again	Tom Jones
Jealous Kind Of Fella	Garland Green
Take A Letter Maria	R.B. Greaves
Baby, I'm For Real	The Originals
Easy To Be Hard	Three Dog Night
Sugar On Sunday	The Clique
Everybody's Talkin'	Nilsson
Ball Of Fire	Tommy James And The Shondells
This Girl Is A Woman Now	Gary Puckett And The Union Gap
Jesus Is A Soul Man	Lawrence Reynolds
You, I	The Rugbys
Let A Man Come In And Do The Popcorn (Part One)	James Brown
Walk On By	Isaac Hayes
Yester-Me, Yester-You, Yesterday	Stevie Wonder
Try A Little Kindness	Glen Campbell
Suite: Judy Blue Eyes	Crosby, Stills & Nash
Reuben James	Kenny Rogers & The First Edition
Let A Woman Be A Woman - Let A Man Be A Man	Dyke And The Blazers
Something In The Air	Thunderclap Newman
Cherry Hill Park	Billy Joe Royal
What's The Use Of Breaking Up	Jerry Butler
Echo Park	Keith Barbour
So Good Together	Andy Kim
Backfield In Motion	Mel And Tim
When I Die	Motherlode
Make Believe	Wind
Na Na Hey Hey Kiss Him Goodbye	Steam
In A Moment	The Intrigues
Don't It Make You Want To Go Home	Joe South and The Believers
Doin' Our Thing	Clarence Carter
Time Machine	Grand Funk Railroad
Eli's Coming	Three Dog Night
Undun	The Guess Who
Mind, Body and Soul	The Flaming Ember
The Sweeter He Is - Part I	The Soul Children
Any Way That You Want Me	Evie Sands
You'll Never Walk Alone	The Brooklyn Bridge
Make Your Own Kind Of Music	Mama Cass Elliot
Leaving On A Jet Plane	Peter, Paul & Mary
Fortunate Son	Creedence Clearwater Revival
Kool And The Gang	Kool & The Gang
Down On The Corner/Fortunate Son	Creedence Clearwater Revival
Turn On A Dream	The Box Tops
Groovy Grubworm	Harlow Wilcox and the Oakies
I'll Bet You	Funkadelic
Roosevelt And Ira Lee (Night of the Mossacin)	Tony Joe White
Since I Met You, Baby	Sonny James
Friendship Train	Gladys Knight And The Pips
Shangri-La	The Lettermen
These Eyes	Jr. Walker & The All Stars
Proud Mary	The Checkmates, Ltd. Featuring Sonny Charles
The Colour Of My Love	Jefferson
Holly Holy	Neil Diamond
I Still Believe In Tomorrow	John & Anne Ryder
Delta Lady	Joe Cocker
Up On Cripple Creek	The Band
Silver Threads And Golden Needles	The Cowsills
We'll Cry Together	Maxine Brown
Evil Woman Don't Play Your Games With Me	CROW
Say You Love Me	The Impressions
Crumbs Off The Table	The Glass House
Julia	Ramsey Lewis
Sunday Mornin' Comin' Down	Ray Stevens
On The Dock Of The Bay	The Dells
I Guess The Lord Must Be In New York City	Nilsson
She's Got Love	Thomas & Richard Frost
Tonight I'll Be Staying Here With You	Bob Dylan
Raindrops Keep Fallin' On My Head	B.J. Thomas
It's Hard To Get Along	Joe Simon
We Must Be In Love	Five Stairsteps & Cubie
Wonderful	Blackwell
Love Will Find A Way	Jackie DeShannon
Okie From Muskogee	Merle Haggard And The Strangers
Ballad Of Easy Rider	The Byrds
We Love You, Call Collect	Art Linkletter
Cupid	Johnny Nash
One Woman	Johnny Rivers
She Belongs To Me	Rick Nelson
Jingo	Santana
Why Is The Wine Sweeter (On The Other Side)	Eddie Floyd
Midnight Cowboy	Ferrante & Teicher
I Can't Make It Alone	Lou Rawls
