9 To 5	Dolly Parton
I Love A Rainy Night	Eddie Rabbitt
Celebration	Kool & The Gang
Woman	John Lennon
The Tide Is High	Blondie
Keep On Loving You	REO Speedwagon
The Best Of Times	Styx
Giving It Up For Your Love	Delbert McClinton
Same Old Lang Syne	Dan Fogelberg
Hey Nineteen	Steely Dan
Passion	Rod Stewart
The Winner Takes It All	ABBA
(Just Like) Starting Over	John Lennon
I Ain't Gonna Stand For It	Stevie Wonder
Crying	Don McLean
Every Woman In The World	Air Supply
Hello Again	Neil Diamond
Together	Tierra
Rapture	Blondie
Miss Sun	Boz Scaggs
A Little In Love	Cliff Richard
Heartbreak Hotel	The Jacksons
Treat Me Right	Pat Benatar
Games People Play	The Alan Parsons Project
Smoky Mountain Rain	Ronnie Milsap
What Kind Of Fool	Barbra Streisand & Barry Gibb
Hearts On Fire	Randy Meisner
Kiss On My List	Daryl Hall John Oates
It's My Turn	Diana Ross
Living In A Fantasy	Leo Sayer
Ah! Leah!	Donnie Iris
Seven Bridges Road	Eagles
Fade Away	Bruce Springsteen
Love On The Rocks	Neil Diamond
Guilty	Barbra Streisand & Barry Gibb
(Ghost) Riders In The Sky	Outlaws
Back In Black	AC/DC
Precious To Me	Phil Seymour
Don't Stand So Close To Me	The Police
Killin' Time	Fred Knoblock & Susan Anton
Too Tight	ConFunkShun
Flash's Theme Aka Flash	Queen
Guitar Man	Elvis Presley
Staying With It	Firefall
Somebody's Knockin'	Terri Gibbs
Time Is Time	Andy Gibb
De Do Do Do, De Da Da Da	The Police
While You See A Chance	Steve Winwood
I Made It Through The Rain	Barry Manilow
Hungry Heart	Bruce Springsteen
Hit Me With Your Best Shot	Pat Benatar
Lipstick	Suzi Quatro
Morning Train (Nine To Five)	Sheena Easton
Ain't Even Done With The Night	John Cougar
Tell It Like It Is	Heart
Fantastic Voyage	Lakeside
Turn Me Loose	Loverboy
Just Between You And Me	April Wine
Lady	Kenny Rogers
Full Of Fire	Shalamar
Fireflies	Fleetwood Mac
He Can't Love You	Michael Stanley Band
Don't Stop The Music	Yarbrough & Peoples
Shine On	L.T.D.
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Dreamer	The Association
And Love Goes On	Earth, Wind & Fire
Who's Making Love	Blues Brothers
Fly Away	Peter Allen
Angel Of The Morning	Juice Newton
Don't You Know What Love Is	Touch
Keep This Train A-Rollin'	The Doobie Brothers
Suddenly	Olivia Newton-John & Cliff Richard
How 'bout Us	Champaign
Yesterday Once More/Nothing Remains The Same	The Spinners
It's A Love Thing	The Whispers
Cafe Amore	Spyro Gyra
Being With You	Smokey Robinson
Proud	The Joe Chemay Band
I Love You	Climax Blues Band
Wasn't That A Party	The Rovers
Fool That I Am	Rita Coolidge
Theme From Raging Bull (Cavalleria Rusticana)	Joel Diamond
Who Do You Think You're Foolin'	Donna Summer
Long Time Lovin' You	McGuffey Lane
Ch Ch Cherie	The Johnny Average Band Featuring Nikki Wills
It's My Job	Jimmy Buffett
Love On The Airwaves	Night
Games	Phoebe Snow
Bon Bon Vie (Gimme The Good Life)	T.S. Monk
More Than I Can Say	Leo Sayer
Love T.K.O.	Teddy Pendergrass
8th Wonder	Sugarhill Gang
I Don't Want To Know Your Name	Glen Campbell
I Need Your Lovin'	Teena Marie
Another One Bites The Dust	Queen
Master Blaster (Jammin')	Stevie Wonder
Watching You	Slave
One Step Closer	The Doobie Brothers
Skateaway	Dire Straits
