Seasons In The Sun	Terry Jacks
Boogie Down	Eddie Kendricks
Dark Lady	Cher
Sunshine On My Shoulders	John Denver
The Way We Were	Barbra Streisand
Mockingbird	Carly Simon & James Taylor
Jungle Boogie	Kool & The Gang
Rock On	David Essex
Spiders & Snakes	Jim Stafford
Jet	Paul McCartney And Wings
Eres Tu (Touch The Wind)	Mocedades
Bennie And The Jets	Elton John
Come And Get Your Love	Redbone
Hooked On A Feeling	Blue Swede
Love's Theme	Love Unlimited Orchestra
Trying To Hold On To My Woman	Lamont Dozier
Sexy Mama	Moments
My Sweet Lady	Cliff DeYoung
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
The Lord's Prayer	Sister Janet Mead
Mighty Love - Pt. 1	The Spinners
Love Song	Anne Murray
There Won't Be Anymore	Charlie Rich
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
Rock And Roll, Hoochie Koo	Rick Derringer
Put Your Hands Together	The O'Jays
I Love	Tom T. Hall
A Very Special Love Song	Charlie Rich
Lookin' For A Love	Bobby Womack
Star	Stealers Wheel
I Like To Live The Love	B.B. King
Last Time I Saw Him	Diana Ross
You're Sixteen	Ringo Starr
Energy Crisis '74	Dickie Goodman
We're Getting Careless With Our Love	Johnnie Taylor
Just Don't Want To Be Lonely	The Main Ingredient
I'll Have To Say I Love You In A Song	Jim Croce
Let Me Be There	Olivia Newton-John
WOLD	Harry Chapin
Touch A Hand, Make A Friend	The Staple Singers
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
I'll Be The Other Woman	The Soul Children
Oh My My	Ringo Starr
Let It Ride	Bachman-Turner Overdrive
Tell Me A Lie	Sami Jo
On A Night Like This	Bob Dylan
Thanks For Saving My Life	Billy Paul
Americans	Byron MacGregor
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
Last Kiss	Wednesday
Honey Please, Can't Ya See	Barry White
Show And Tell	Al Wilson
Abra-Ca-Dabra	The De Franco Family
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Homely Girl	The Chi-lites
Life Is A Song Worth Singing	Johnny Mathis
Keep On Singing	Helen Reddy
I Wish It Was Me	Tyrone Davis
Tubular Bells	Mike Oldfield
Piano Man	Billy Joel
Would You Lay With Me (in A Field Of Stone)	Tanya Tucker
Jolene	Dolly Parton
Your Cash Ain't Nothin' But Trash	The Steve Miller Band
Outside Woman	Bloodstone
She's Gone	Daryl Hall John Oates
Virginia (Touch Me Like You Do)	Bill Amesbury
It's Been A Long Time	The New Birth
The Loco-Motion	Grand Funk
Must Be Love	The James Gang
Star Baby	The Guess Who
I Just Can't Get You Out Of My Mind	Four Tops
Midnight At The Oasis	Maria Muldaur
I'm A Train	Albert Hammond
Houston (I'm Comin' To See You)	Glen Campbell
Touch And Go	Al Wilson
That's The Sound That Lonely Makes	Tavares
Watching The River Run	Loggins & Messina
Dancing Machine	Jackson 5
(i've Been) Searchin' So Long	Chicago
Unborn Child	Seals & Crofts
She	Southcote
Goin' Down Slow	Bobby "Blue" Bland
Skybird	Neil Diamond
Once You Understand	Think
Mighty Mighty	Earth, Wind & Fire
Help Me	Joni Mitchell
Oh Very Young	Cat Stevens
Dance With The Devil	Cozy Powell
The Show Must Go On	Three Dog Night
Pepper Box	The Peppers
Beyond The Blue Horizon	Lou Christie
Quick, Fast, In A Hurry	New York City
Best Thing That Ever Happened To Me	The Persuaders
Mr. Natural	Bee Gees
Heavenly	The Temptations
Music Eyes	Heartsfield
There's Got To Be Rain In Your Life (To Appreciate The Sunshine)	Dorothy Norwood
Rock Around The Clock	Bill Haley And His Comets
The Crude Oil Blues	Jerry Reed
