Le Freak	Chic
Too Much Heaven	Bee Gees
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
My Life	Billy Joel
I Love The Nightlife (Disco 'round)	Alicia Bridges
I Just Wanna Stop	Gino Vannelli
Sharing The Night Together	Dr. Hook
Y.M.C.A.	Village People
(Our Love) Don't Throw It All Away	Andy Gibb
Hold The Line	Toto
Ooh Baby Baby	Linda Ronstadt
How You Gonna See Me Now	Alice Cooper
Promises	Eric Clapton And His Band
Time Passages	Al Stewart
MacArthur Park	Donna Summer
Strange Way	Firefall
We've Got Tonight	Bob Seger & The Silver Bullet Band
September	Earth, Wind & Fire
A Little More Love	Olivia Newton-John
Please Come Home For Christmas	Eagles
I'm Every Woman	Chaka Khan
Every 1's A Winner	Hot Chocolate
New York Groove	Ace Frehley
Sweet Life	Paul Davis
Bicycle Race/Fat Bottomed Girls	Queen
Shake It	Ian Matthews
Lotta Love	Nicolette Larson
Fire	The Pointer Sisters
How Much I Feel	Ambrosia
I Was Made For Dancin'	Leif Garrett
Straight On	Heart
Don't Hold Back	Chanson
Instant Replay	Dan Hartman
I Will Be In Love With You	Livingston Taylor
My Best Friend's Girl	The Cars
Part-Time Love	Elton John
A Man I'll Never Be	Boston
The Gambler	Kenny Rogers
Take Me To The River	Talking Heads
Da Ya Think I'm Sexy?	Rod Stewart
Don't Cry Out Loud	Melissa Manchester
Mary Jane	Rick James
Home And Dry	Gerry Rafferty
Got To Be Real	Cheryl Lynn
One Last Kiss	The J. Geils Band
Hold Me, Touch Me	Paul Stanley
You Thrill Me	Exile
The Dream Never Dies	Cooper Brothers
You Took The Words Right Out Of My Mouth	Meat Loaf
Radioactive	Gene Simmons
Double Vision	Foreigner
The Power Of Gold	Dan Fogelberg/Tim Weisberg
Love Don't Live Here Anymore	Rose Royce
Soul Man	Blues Brothers
Shattered	The Rolling Stones
Baby I'm Burnin'	Dolly Parton
Somewhere In The Night	Barry Manilow
In The Bush	Musique
You Need A Woman Tonight	Captain & Tennille
Your Sweetness Is My Weakness	Barry White
Alive Again	Chicago
Easy Driver	Kenny Loggins
Miles Away	Fotomaker
Dancin' Shoes	Nigel Olsson
I Don't Wanna Lose You	Daryl Hall John Oates
Light The Sky On Fire	Jefferson Starship
Got To Have Loving	Don Ray
I Believe You	Carpenters
Well All Right	Santana
Lost In Your Love	John Paul Young
Shake Your Groove Thing	Peaches & Herb
Silver Lining	Player
You've Really Got A Hold On Me	Eddie Money
Run For Home	Lindisfarne
Blue Morning, Blue Day	Foreigner
I Will Survive	Gloria Gaynor
No Tell Lover	Chicago
Dancing In The City	Marshall Hain
There'll Never Be	Switch
Dancin' Shoes	Faith Band
Forever Autumn	Justin Hayward
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
What You Won't Do For Love	Bobby Caldwell
Who Do Ya Love	KC And The Sunshine Band
This Moment In Time	Engelbert Humperdinck
You Can Do It	Dobie Gray
Change Of Heart	Eric Carmen
Animal House	Stephen Bishop
Moment By Moment	Yvonne Elliman
Mary's Boy Child / Oh My Lord	Boney M.
I'm Gonna Make You Love Me	The Blend
Ain't That Enough For You	John Davis And The Monster Orchestra
A Little Lovin' (Keeps The Doctor Away)	The Raes
Can You Fool	Glen Campbell
Don't Want To Live Without It	Pablo Cruise
You Needed Me	Anne Murray
You Never Done It Like That	Captain & Tennille
Ready To Take A Chance Again	Barry Manilow
Hot Child In The City	Nick Gilder
Mañana	Jimmy Buffett
