Drivers License	Olivia Rodrigo
Mood	24kGoldn Featuring iann dior
Blinding Lights	The Weeknd
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Levitating	Dua Lipa Featuring DaBaby
Go Crazy	Chris Brown & Young Thug
Positions	Ariana Grande
Holy	Justin Bieber Featuring Chance The Rapper
Good Days	SZA
Bang!	AJR
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Therefore I Am	Billie Eilish
Lonely	Justin Bieber & benny blanco
Save Your Tears	The Weeknd & Ariana Grande
Better Together	Luke Combs
Whoopty	CJ
I Hope	Gabby Barrett Featuring Charlie Puth
Body	Megan Thee Stallion
What You Know Bout Love	Pop Smoke
Dakiti	Bad Bunny & Jhay Cortez
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Laugh Now Cry Later	Drake Featuring Lil Durk
7 Summers	Morgan Wallen
Throat Baby (Go Baby)	BRS Kash
Streets	Doja Cat
Anyone	Justin Bieber
You Broke Me First.	Tate McRae
Willow	Taylor Swift
On Me	Lil Baby
More Than My Hometown	Morgan Wallen
Wasted On You	Morgan Wallen
You're Mines Still	Yung Bleu Featuring Drake
Before You Go	Lewis Capaldi
My Ex's Best Friend	Machine Gun Kelly X blackbear
Kings & Queens	Ava Max
Starting Over	Chris Stapleton
Good Time	Niko Moon
Sand In My Boots	Morgan Wallen
Afterglow	Ed Sheeran
Back In Blood	Pooh Shiesty Featuring Lil Durk
Rockstar	DaBaby Featuring Roddy Ricch
Hole In The Bottle	Kelsea Ballerini
Somebody's Problem	Morgan Wallen
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Best Friend	Saweetie Featuring Doja Cat
Dynamite	BTS
Without You	The Kid LAROI
Skin	Sabrina Carpenter
Diamonds	Sam Smith
Happy Does	Kenny Chesney
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Damage	H.E.R.
Beers And Sunshine	Darius Rucker
Cry Baby	Megan Thee Stallion Featuring DaBaby
Put Your Records On	Ritt Momney
Just The Way	Parmalee x Blanco Brown
Bad Boy	Juice WRLD & Young Thug
Down To One	Luke Bryan
What's Your Country Song	Thomas Rhett
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Back To The Streets	Saweetie Featuring Jhene Aiko
Lo Vas A Olvidar	Billie Eilish & ROSALIA
Tyler Herro	Jack Harlow
The Good Ones	Gabby Barrett
Golden	Harry Styles
Forever After All	Luke Combs
Buss It	Erica Banks
Long Live	Florida Georgia Line
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Monster	Shawn Mendes & Justin Bieber
Holiday	Lil Nas X
Still Goin Down	Morgan Wallen
Goosebumps	Travis Scott & HVME
Cover Me Up	Morgan Wallen
Bichota	Karol G
Warning	Morgan Wallen
865	Morgan Wallen
Take You Dancing	Jason Derulo
So Done	The Kid LAROI
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
Prisoner	Miley Cyrus Featuring Dua Lipa
Big, Big Plans	Chris Lane
Hit Different	SZA Featuring Ty Dolla $ign
Still Trappin'	Lil Durk & King Von
Girl Like Me	Black Eyed Peas X Shakira
Lady	Brett Young
Momma's House	Dustin Lynch
Moonwalking In Calabasas	DDG
Somebody Like That	Tenille Arts
Hell Of A View	Eric Church
Heat Waves	Glass Animals
Masterpiece	DaBaby
Champagne Night	Lady A
Drankin N Smokin	Future & Lil Uzi Vert
You Got It	VEDO
One Too Many	Keith Urban Duet With P!nk
Opp Stoppa	YBN Nahmir Featuring 21 Savage
Kacey Talk	YoungBoy Never Broke Again
Adderall (Corvette Corvette)	Popp Hunna
Antes	Anuel AA & Ozuna
