Crazy In Love	Beyonce Featuring Jay Z
Rock Wit U (Awww Baby)	Ashanti
Right Thurr	Chingy
Magic Stick	Lil' Kim Featuring 50 Cent
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
Unwell	matchbox twenty
P.I.M.P.	50 Cent
In Those Jeans	Ginuwine
Drift Away	Uncle Kracker Featuring Dobie Gray
Miss Independent	Kelly Clarkson
Bring Me To Life	Evanescence Featuring Paul McCoy
Where Is The Love?	The Black Eyed Peas
So Gone	Monica
Into You	Fabolous Featuring Tamia Or Ashanti
Get Busy	Sean Paul
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Like Glue	Sean Paul
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Are You Happy Now?	Michelle Branch
Frontin'	Pharrell Featuring Jay-Z
Intuition	Jewel
21 Questions	50 Cent Featuring Nate Dogg
This Is The Night	Clay Aiken
Love At 1st Sight	Mary J. Blige Featuring Method Man
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Red Dirt Road	Brooks & Dunn
I Want You	Thalia Featuring Fat Joe
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
When I'm Gone	3 Doors Down
Forever And For Always	Shania Twain
My Front Porch Looking In	Lonestar
Celebrity	Brad Paisley
Calling All Angels	Train
Beer For My Horses	Toby Keith Duet With Willie Nelson
Don't Wanna Try	Frankie J
No Shoes, No Shirt, No Problems	Kenny Chesney
No Letting Go	Wayne Wonder
The Remedy (I Won't Worry)	Jason Mraz
Rock Your Body	Justin Timberlake
Ignition	R. Kelly
My Love Is Like... Wo	Mya
Thoia Thoing	R. Kelly
Can't Let You Go	Fabolous Featuring Mike Shorey & Lil' Mo
Come Over	Aaliyah
Let's Get Down	Bow Wow Featuring Baby
In Da Club	50 Cent
Dance With My Father	Luther Vandross
Like A Pimp	David Banner Featuring Lil' Flip
What Was I Thinkin'	Dierks Bentley
If You're Not The One	Daniel Bedingfield
Addicted	Simple Plan
Stay Gone	Jimmy Wayne
Real Good Man	Tim McGraw
Big Yellow Taxi	Counting Crows Featuring Vanessa Carlton
Flying Without Wings	Ruben Studdard
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Headstrong	Trapt
Act A Fool	Ludacris
Fighter	Christina Aguilera
The Boys Of Summer	The Ataris
99.9% Sure (I've Never Been Here Before)	Brian McComas
I Wish I Wasn't	Heather Headley
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Swing, Swing	The All-American Rejects
Send The Pain Below	Chevelle
Senorita	Justin Timberlake
Then They Do	Trace Adkins
Signs Of Love Makin'	Tyrese
Put That Woman First	Jaheim
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
Faint	Linkin Park
Just Because	Jane's Addiction
Speed	Montgomery Gentry
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
Girls And Boys	Good Charlotte
What The World Needs	Wynonna
Hole In The World	Eagles
So Far Away	Staind
Seven Nation Army	The White Stripes
Three Wooden Crosses	Randy Travis
Love You Out Loud	Rascal Flatts
Breathe	Blu Cantrell Featuring Sean Paul
Say Yes	Floetry
Pump It Up	Joe Budden
I Believe	Diamond Rio
Snake	R. Kelly Featuring Big Tigger
Almost Home	Craig Morgan
Officially Missing You	Tamia
In Love Wit Chu	Da Brat Featuring Cherish
The Love Song	Jeff Bates
What Would You Do?	The Isley Brothers Featuring Ronald Isley
I'm Glad	Jennifer Lopez
The Truth About Men	Tracy Byrd
Stupid Girl	Cold
What A Beautiful Day	Chris Cagle
4 Ever	Lil' Mo Featuring Fabolous
Tell Me Something Bad About Tulsa	George Strait
Still Ballin	2Pac Featuring Trick Daddy
24's	T.I.
Sing For The Moment	Eminem
