Sweet Child O' Mine	Guns N' Roses
Simply Irresistible	Robert Palmer
Perfect World	Huey Lewis & The News
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
I'll Always Love You	Taylor Dayne
When It's Love	Van Halen
If It Isn't Love	New Edition
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
Love Bites	Def Leppard
It Would Take A Strong Strong Man	Rick Astley
One Good Woman	Peter Cetera
Another Part Of Me	Michael Jackson
Monkey	George Michael
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Don't Be Cruel	Cheap Trick
Fast Car	Tracy Chapman
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Please Don't Go Girl	New Kids On The Block
Red Red Wine	UB40
Don't Be Cruel	Bobby Brown
Fallen Angel	Poison
What's On Your Mind (Pure Energy)	Information Society
I Don't Wanna Live Without Your Love	Chicago
I Don't Wanna Go On With You Like That	Elton John
Here With Me	REO Speedwagon
Staying Together	Debbie Gibson
Don't You Know What The Night Can Do?	Steve Winwood
True Love	Glenn Frey
What You See Is What You Get	Brenda K. Starr
Forever Young	Rod Stewart
Groovy Kind Of Love	Phil Collins
Chains Of Love	Erasure
Never Tear Us Apart	INXS
All Fired Up	Pat Benatar
Hands To Heaven	Breathe
Wild, Wild West	The Escape Club
1-2-3	Gloria Estefan & Miami Sound Machine
Love Will Save The Day	Whitney Houston
Roll With It	Steve Winwood
The Loco-Motion	Kylie Minogue
Make Me Lose Control	Eric Carmen
One Moment In Time	Whitney Houston
Sign Your Name	Terence Trent D'Arby
Time And Tide	Basia
Hold On To The Nights	Richard Marx
Superstitious	Europe
I Don't Want To Be A Hero	Johnny Hates Jazz
Spring Love (Come Back To Me)	Stevie B
Indestructible	Four Tops
Off On Your Own (Girl)	Al B. Sure!
Look Out Any Window	Bruce Hornsby & The Range
Another Lover	Giant Steps
The Dead Heart	Midnight Oil
Jackie	Blue Zone U.K.
It Takes Two	Rob Base & D.J. E-Z Rock
Don't Know What You Got (Till It's Gone)	Cinderella
Summergirls	Dino
Kokomo (From"Cocktail" )	The Beach Boys
How Can I Fall?	Breathe
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Nice 'N' Slow	Freddie Jackson
Pour Some Sugar On Me	Def Leppard
The Rumour	Olivia Newton-John
Dance Little Sister	Terence Trent D'Arby
She's On The Left	Jeffrey Osborne
Just Got Paid	Johnny Kemp
Inside Outside	The Cover Girls
Rag Doll	Aerosmith
Powerful Stuff (From "Cocktail")	The Fabulous Thunderbirds
Inside A Dream	Jane Wiedlin
The Promise	When In Rome
Make It Last Forever	Keith Sweat (Duet With Jacci McGhee)
The Flame	Cheap Trick
Long And Lasting Love (Once In A Lifetime)	Glenn Medeiros
Waiting For A Star To Fall	Boy Meets Girl
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Don't Walk Away	Toni Childs
Baby, I Love Your Way/Freebird Medley	Will To Power
Heart Don't Fail Me Now	Holly Knight
The Right Stuff	Vanessa Williams
Strangelove	Depeche Mode
Missed Opportunity	Daryl Hall John Oates
What's The Matter Here?	10,000 Maniacs
You Came	Kim Wilde
Hands On The Radio	Henry Lee Summer
A Word In Spanish	Elton John
Do You Love Me	The Contours
Say It's Gonna Rain	Will To Power
Ship Of Fools	Robert Plant
Pretty Boys And Pretty Girls	Book Of Love
I Still Believe	Brenda K. Starr
Never Let You Go	Sweet Sensation
The Twist	Fat Boys
Supersonic	J.J. Fad
I Know You're Out There Somewhere	The Moody Blues
Edge Of A Broken Heart	Vixen
Button Off My Shirt	Paul Carrack
Way Out	J.J. Fad
Heart Turns To Stone	Foreigner
Better Be Home Soon	Crowded House
