Candy Shop	50 Cent Featuring Olivia
Boulevard Of Broken Dreams	Green Day
Let Me Love You	Mario
How We Do	The Game Featuring 50 Cent
Disco Inferno	50 Cent
1, 2 Step	Ciara Featuring Missy Elliott
Since U Been Gone	Kelly Clarkson
Rich Girl	Gwen Stefani Featuring Eve
Caught Up	Usher
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Mockingbird	Eminem
Get Back	Ludacris
Breakaway	Kelly Clarkson
It's Like That	Mariah Carey
Mr. Brightside	The Killers
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Bring Em Out	T.I.
Get Right	Jennifer Lopez
Beautiful Soul	Jesse McCartney
Truth Is	Fantasia
Some Cut	Trillville Featuring Cutty
She Will Be Loved	Maroon 5
Daughters	John Mayer
Lonely No More	Rob Thomas
Goin' Crazy	Natalie
Hate It Or Love It	The Game Featuring 50 Cent
I Don't Want To Be	Gavin DeGraw
Over And Over	Nelly Featuring Tim McGraw
Ordinary People	John Legend
Numb/Encore	Jay-Z/Linkin Park
O	Omarion
Sunday Morning	Maroon 5
Bless The Broken Road	Rascal Flatts
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
True	Ryan Cabrera
U Don't Know Me	T.I.
Give A Little Bit	Goo Goo Dolls
Karma	Alicia Keys
Nothin' To Lose	Josh Gracin
Look What You've Done	Jet
Let Me Go	3 Doors Down
Okay	Nivea Featuring Lil Jon & YoungBloodZ
1 Thing	Amerie
Signs	Snoop Dogg Featuring Charlie Wilson & Justin Timberlake
Like Toy Soldiers	Eminem
You're My Better Half	Keith Urban
Baby Girl	Sugarland
Goodies	Ciara Featuring Petey Pablo
Lady	Lenny Kravitz
Mud On The Tires	Brad Paisley
That's What I Love About Sunday	Craig Morgan
Number One Spot	Ludacris
Only U	Ashanti
Karma	Lloyd Banks Featuring Avant
Lonely	Akon
Somewhere Only We Know	Keane
Anything But Mine	Kenny Chesney
Collide	Howie Day
Wait (The Whisper Song)	Ying Yang Twins
Switch	Will Smith
Nobody's Home	Avril Lavigne
Gone	Montgomery Gentry
Almost	Bowling For Soup
Let's Get Blown	Snoop Dogg
It's Getting Better All The Time	Brooks & Dunn
Hope	Twista Featuring Faith Evans
Slow Down	Bobby Valentino
I May Hate Myself In The Morning	Lee Ann Womack
Jerk It Out	Caesars
Some Beach	Blake Shelton
Baby Mama	Fantasia
Scars	Papa Roach
Baby I'm Back	Baby Bash Featuring Akon
I Just Wanna Live	Good Charlotte
Let Them Be Little	Billy Dean
Monday Morning Church	Alan Jackson
Gasolina	Daddy Yankee
Nothin 'Bout Love Makes Sense	LeAnn Rimes
My Give A Damn's Busted	Jo Dee Messina
If Heaven	Andy Griggs
N Dey Say	Nelly
Baby	Fabolous Featuring Mike Shorey
Honkytonk U	Toby Keith
U Already Know	112 Featuring Foxy Brown
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
Awful, Beautiful Life	Darryl Worley
Sitting, Waiting, Wishing	Jack Johnson
What's A Guy Gotta Do	Joe Nichols
In The Kitchen	R. Kelly
I'm Not Okay (I Promise)	My Chemical Romance
Little Sister	Queens Of The Stone Age
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Trying To Find Atlantis	Jamie O'Neal
God's Will	Martina McBride
Home	Three Days Grace
Welcome To My Life	Simple Plan
Shut Up	Simple Plan
La La	Ashlee Simpson
