My Love	Paul McCartney And Wings
Daniel	Elton John
Frankenstein	Edgar Winter Group
Pillow Talk	Sylvia (r&b)
Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando
You Are The Sunshine Of My Life	Stevie Wonder
I'm Gonna Love You Just A Little More Baby	Barry White
Little Willy	The Sweet
Hocus Pocus	Focus
Playground In My Mind	Clint Holmes
Drift Away	Dobie Gray
Reeling In The Years	Steely Dan
Wildflower	Skylark
Give Me Love - (Give Me Peace On Earth)	George Harrison
Stuck In The Middle With You	Stealers Wheel
Right Place Wrong Time	Dr. John
Steamroller Blues/Fool	Elvis Presley
I'm Doin' Fine Now	New York City
Will It Go Round In Circles	Billy Preston
Thinking Of You	Loggins & Messina
Leaving Me	The Independents
Long Train Runnin'	The Doobie Brothers
The Night The Lights Went Out In Georgia	Vicki Lawrence
One Of A Kind (Love Affair)	The Spinners
No More Mr. Nice Guy	Alice Cooper
The Right Thing To Do	Carly Simon
Funky Worm	Ohio Players
Kodachrome	Paul Simon
And I Love You So	Perry Como
It Sure Took A Long, Long Time	Lobo
Bad, Bad Leroy Brown	Jim Croce
Teddy Bear Song	Barbara Fairchild
The Cisco Kid	War
Give It To Me	The J. Geils Band
Let's Pretend	Raspberries
Shambala	Three Dog Night
Close Your Eyes	Edward Bear
Daddy Could Swear, I Declare	Gladys Knight And The Pips
Super Fly Meets Shaft	John & Ernest
Back When My Hair Was Short	Gunhill Road
Natural High	Bloodstone
Hearts Of Stone	The Blue Ridge Rangers
Behind Closed Doors	Charlie Rich
Daisy A Day	Jud Strunk
You Can't Always Get What You Want	The Rolling Stones
I Can Understand It	The New Birth
Armed And Extremely Dangerous	First Choice
Give Your Baby A Standing Ovation	The Dells
Boogie Woogie Bugle Boy	Bette Midler
With A Child's Heart	Michael Jackson
Diamond Girl	Seals & Crofts
Fencewalk	Mandrill
You'll Never Get To Heaven (If You Break My Heart)	The Stylistics
Drinking Wine Spo-dee O'dee	Jerry Lee Lewis
Money	Pink Floyd
Isn't It About Time	Stephen Stills-Manassas
Out Of The Question	Gilbert O'Sullivan
The Free Electric Band	Albert Hammond
Why Me	Kris Kristofferson
I Knew Jesus (Before He Was A Star)	Glen Campbell
So Very Hard To Go	Tower Of Power
Hey You! Get Off My Mountain	The Dramatics
Satin Sheets	Jeanne Pruett
Without You In My Life	Tyrone Davis
Roll Over Beethoven	Electric Light Orchestra
I Like You	Donovan
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Music Everywhere	Tufano & Giammarese
Smoke On The Water	Deep Purple
First Cut Is The Deepest	Keith Hampshire
Swamp Witch	Jim Stafford
I' Been Watchin' You	The South Side Movement
Shambala	B.W. Stevenson
What About Me	Anne Murray
Letter To Lucille	Tom Jones
I'm A Stranger Here	Five Man Electrical Band
Time To Get Down	The O'Jays
Avenging Annie	Andy Pratt
Yesterday Once More	Carpenters
A Passion Play (Edit #8)	Jethro Tull
I'd Rather Be A Cowboy	John Denver
What A Shame	Foghat
Doing It To Death	Fred Wesley & The J.B.'s
California Saga (On My Way To Sunny Californ-i-a)	The Beach Boys
I'll Always Love My Mama (Part I)	The Intruders
Don't Let It Get You Down	The Crusaders
Giving It All Away	Roger Daltrey
Your Side Of The Bed	Mac Davis
Touch Me In The Morning	Diana Ross
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
Together We Can Make Such Sweet Music	The Spinners
Think	James Brown
Brother's Gonna Work It Out	Willie Hutch
Outlaw Man	David Blue
What's Your Mama's Name	Tanya Tucker
Misdemeanor	Foster Sylvers
Come Live With Me	Roy Clark
Cum On Feel The Noize	Slade
I'm Leavin' You	Engelbert Humperdinck
Love And Happiness	Earnest Jackson
