Let Me Love You	Mario
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
1, 2 Step	Ciara Featuring Missy Elliott
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
My Boo	Usher And Alicia Keys
Over And Over	Nelly Featuring Tim McGraw
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Lose My Breath	Destiny's Child
I Don't Want To Be	Gavin DeGraw
Disco Inferno	50 Cent
Breakaway	Kelly Clarkson
Get Back	Ludacris
Only U	Ashanti
Let's Go	Trick Daddy Featuring Lil Jon & Twista
How We Do	The Game Featuring 50 Cent
She Will Be Loved	Maroon 5
Boulevard Of Broken Dreams	Green Day
Karma	Lloyd Banks Featuring Avant
Goodies	Ciara Featuring Petey Pablo
Dare You To Move	Switchfoot
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
U Make Me Wanna	Jadakiss Featuring Mariah Carey
Numb/Encore	Jay-Z/Linkin Park
Encore	Eminem, Dr. Dre & 50 Cent
Bring Em Out	T.I.
New York	Ja Rule Featuring Fat Joe & Jadakiss
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
True	Ryan Cabrera
Daughters	John Mayer
Some Beach	Blake Shelton
Charlene	Anthony Hamilton
Breathe	Fabolous
Go D.J.	Lil Wayne
Back When	Tim McGraw
Broken	Seether Featuring Amy Lee
Vertigo	U2
Since U Been Gone	Kelly Clarkson
One Thing	Finger Eleven
Beautiful Soul	Jesse McCartney
On The Way Down	Ryan Cabrera
Awful, Beautiful Life	Darryl Worley
Baby It's You	JoJo Featuring Bow Wow
Karma	Alicia Keys
Shorty Wanna Ride	Young Buck
Welcome To My Life	Simple Plan
Lean Back	Terror Squad
Nobody's Home	Avril Lavigne
My Happy Ending	Avril Lavigne
Gasolina	Daddy Yankee
Just Lose It	Eminem
When I Think About Cheatin'	Gretchen Wilson
Bless The Broken Road	Rascal Flatts
How Am I Doin'	Dierks Bentley
Mud On The Tires	Brad Paisley
You're My Better Half	Keith Urban
Nothing On But The Radio	Gary Allan
The Woman With You	Kenny Chesney
Balla Baby	Chingy
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Lady	Lenny Kravitz
Give A Little Bit	Goo Goo Dolls
Mr. Mom	Lonestar
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
Monday Morning Church	Alan Jackson
Somebody Told Me	The Killers
Rich Girl	Gwen Stefani Featuring Eve
1985	Bowling For Soup
Some Cut	Trillville Featuring Cutty
Tempted To Touch	Rupee
I Changed My Mind	Keyshia Cole Featuring Shyne
Caught Up	Usher
He Gets That From Me	Reba McEntire
Mockingbird	Eminem
Holy Water	Big & Rich
Vitamin R (Leading Us Along)	Chevelle
You're The One	Guerilla Black Featuring Mario Winans
Fall To Pieces	Velvet Revolver
So Cold	Breaking Benjamin
Come Home Soon	SHeDAISY
Cold	Crossfade
Hush	LL Cool J Featuring 7 Aurelius
Take Me Home	Terror Squad
Getting Away With Murder	Papa Roach
In A Real Love	Phil Vassar
Baby Girl	Sugarland
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
What You Waiting For?	Gwen Stefani
Nolia Clap	Juvenile, Wacko & Skip
American Idiot	Green Day
Gotta Go Solo	Patti LaBelle Featuring Ron Isley
Dangerously In Love	Beyonce
That's What It's All About	Brooks & Dunn
Okay	Nivea Featuring Lil Jon & YoungBloodZ
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Perdidos	Monchy & Alexandra
A Rose By Any Other Name	Teena Marie Featuring Gerald Levert
Thugs Get Lonely Too	2Pac Featuring Nate Dogg
You're My Everything	Anita Baker
Real Big	Mannie Fresh
