One More Night	Maroon 5
Diamonds	Rihanna
Die Young	Ke$ha
Some Nights	fun.
Gangnam Style	PSY
Locked Out Of Heaven	Bruno Mars
We Are Never Ever Getting Back Together	Taylor Swift
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Too Close	Alex Clare
I Cry	Flo Rida
Don't Wake Me Up	Chris Brown
As Long As You Love Me	Justin Bieber Featuring Big Sean
Ho Hey	The Lumineers
Home	Phillip Phillips
Clique	Kanye West, Jay-Z, Big Sean
Blow Me (One Last Kiss)	P!nk
Adorn	Miguel
Cruise	Florida Georgia Line Featuring Nelly
Good Time	Owl City & Carly Rae Jepsen
Swimming Pools (Drank)	Kendrick Lamar
Lights	Ellie Goulding
Everybody Talks	Neon Trees
It's Time	Imagine Dragons
50 Ways To Say Goodbye	Train
Blown Away	Carrie Underwood
The A Team	Ed Sheeran
Call Me Maybe	Carly Rae Jepsen
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Somebody That I Used To Know	Gotye Featuring Kimbra
Whistle	Flo Rida
Kiss Tomorrow Goodbye	Luke Bryan
Wanted	Hunter Hayes
Skyfall	Adele
Hard To Love	Lee Brice
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
I Will Wait	Mumford & Sons
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Payphone	Maroon 5 Featuring Wiz Khalifa
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Wide Awake	Katy Perry
Live While We're Young	One Direction
Thinkin Bout You	Frank Ocean
Titanium	David Guetta Featuring Sia
Feel Again	OneRepublic
Va Va Voom	Nicki Minaj
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Give Your Heart A Break	Demi Lovato
Hall Of Fame	The Script Featuring will.i.am
The One That Got Away	Jake Owen
Fastest Girl In Town	Miranda Lambert
Birthday Song	2 Chainz Featuring Kanye West
No Worries	Lil Wayne Featuring Detail
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
2 Reasons	Trey Songz Featuring T.I.
Come Wake Me Up	Rascal Flatts
Anything Could Happen	Ellie Goulding
Turn On The Lights	Future
Til My Last Day	Justin Moore
Goodbye In Her Eyes	Zac Brown Band
Beer Money	Kip Moore
Madness	Muse
Better Dig Two	The Band Perry
Every Storm (Runs Out Of Rain)	Gary Allan
Take A Little Ride	Jason Aldean
Creepin'	Eric Church
Southern Comfort Zone	Brad Paisley
Try	P!nk
Lovin' You Is Fun	Easton Corbin
Begin Again	Taylor Swift
Rest Of My Life	Ludacris Featuring Usher & David Guetta
I Knew You Were Trouble.	Taylor Swift
Diced Pineapples	Rick Ross Featuring Wale & Drake
How Country Feels	Randy Houser
Pound The Alarm	Nicki Minaj
Put It Down	Brandy Featuring Chris Brown
Did It For The Girl	Greg Bates
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Dance For You	Beyonce
Don't Stop The Party	Pitbull Featuring TJR
El Cerrito Place	Kenny Chesney
Radioactive	Imagine Dragons
Your Body	Christina Aguilera
Ball	T.I. Featuring Lil Wayne
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Dive In	Trey Songz
Don't Judge Me	Chris Brown
Don't Rush	Kelly Clarkson Featuring Vince Gill
Take A Walk	Passion Pit
Wicked Games	The Weeknd
Young & Gettin' It	Meek Mill Featuring Kirko Bangz
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Poetic Justice	Kendrick Lamar Featuring Drake
I Found You	The Wanted
Catch My Breath	Kelly Clarkson
Tornado	Little Big Town
Ready Or Not	Bridgit Mendler
Ice	Kelly Rowland Featuring Lil Wayne
My Moment	DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
