My Boyfriend's Back	The Angels
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
If I Had A Hammer	Trini Lopez
Blue Velvet	Bobby Vinton
Candy Girl	The 4 Seasons
Heat Wave	Martha & The Vandellas
Mockingbird	Inez Foxx with Charlie Foxx
The Monkey Time	Major Lance
Blowin' In The Wind	Peter, Paul & Mary
Hey, Girl	Freddie Scott
Fingertips - Pt 2	Little Stevie Wonder
Surfer Girl	The Beach Boys
Denise	Randy & The Rainbows
Frankie And Johnny	Sam Cooke
Then He Kissed Me	The Crystals
Danke Schoen	Wayne Newton And The Newton Brothers
More	Kai Winding & Orchestra
Judy's Turn To Cry	Lesley Gore
You Can Never Stop Me Loving You	Johnny Tillotson
Painted, Tainted Rose	Al Martino
Mickey's Monkey	The Miracles
Wonderful! Wonderful!	The Tymes
Wipe Out	The Surfaris
Make The World Go Away	Timi Yuro
Green, Green	The New Christy Minstrels
Wait Til' My Bobby Gets Home	Darlene Love
The Kind Of Boy You Can't Forget	The Raindrops
I Want To Stay Here	Steve & Eydie
Sally, Go 'round The Roses	The Jaynetts
Martian Hop	The Ran-Dells
Cry Baby	Garnet Mimms & The Enchanters
True Love Never Runs Smooth	Gene Pitney
So Much In Love	The Tymes
Desert Pete	The Kingston Trio
Hey There Lonely Boy	Ruby And The Romantics
Drownin' My Sorrows	Connie Francis
Please Don't Talk To The Lifeguard	Diane Ray
Little Deuce Coupe	The Beach Boys
I (Who Have Nothing)	Ben E. King
The Lonely Surfer	Jack Nitzsche
Twist It Up	Chubby Checker
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Part Time Love	Little Johnny Taylor
Surf City	Jan & Dean
A Walkin' Miracle	The Essex Featuring Anita Humes
Only In America	Jay & The Americans
Abilene	George Hamilton IV
Why Don't You Believe Me	The Duprees featuring Joey Vann
It's Too Late	Wilson Pickett
Straighten Up Your Heart	Barbara Lewis
It Hurts To Be Sixteen	Andrea Carroll
Everybody Monkey	Freddy Cannon
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
More	Vic Dana
Be My Baby	The Ronettes
Wham!	Lonnie Mack
Groovy Baby	Billy Abbott And The Jewels
Just One Look	Doris Troy
When A Boy Falls In Love	Mel Carter
The Dreamer	Neil Sedaka
Birthday Party	The Pixies Three
8 X 10	Bill Anderson
Treat My Baby Good	Bobby Darin
Lucky Lips	Cliff Richard
China Nights (Shina No Yoru)	Kyu Sakamoto
Busted	Ray Charles and his Orchestra
This Is My Prayer	Theola Kilgore
It's A Lonely Town (Lonely Without You)	Gene McDaniels
Leave Me Alone	Baby Washington
(I Cried at) Laura's Wedding	Barbara Lynn
Man's Temptation	Gene Chandler
Bust Out	The Busters
My Daddy Knows Best	The Marvelettes
Hello Heartache, Goodbye Love	Little Peggy March
A Breath Taking Guy	The Supremes
Organ Shout	Dave "Baby" Cortez
I Can't Stay Mad At You	Skeeter Davis
Something Old, Something New	Paul and Paula
That Sunday, That Summer	Nat King Cole
Talk To Me	Sunny & The Sunglows
Surfer Joe	The Surfaris
My Babe	The Righteous Brothers
Tell Me The Truth	Nancy Wilson
I'll Take You Home	The Drifters
Pay Back	Etta James
Chinese Checkers	Booker T. & The MG's
Sooner Or Later	Johnny Mathis
Gone	The Rip Chords
What Does A Girl Do?	The Shirelles
Mean Woman Blues	Roy Orbison
Betty In Bermudas	The Dovells
Do The Monkey	King Curtis
Honolulu Lulu	Jan & Dean
Love Me All The Way	Kim Weston
September Song	Jimmy Durante
Faded Love	Patsy Cline
I'm Confessin' (That I Love You)	Frank Ifield
Two Tickets To Paradise	Brook Benton
Cindy's Gonna Cry	Johnny Crawford
A Love So Fine	The Chiffons
