Candy Shop	50 Cent Featuring Olivia
Boulevard Of Broken Dreams	Green Day
Disco Inferno	50 Cent
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Since U Been Gone	Kelly Clarkson
Let Me Love You	Mario
How We Do	The Game Featuring 50 Cent
Caught Up	Usher
1, 2 Step	Ciara Featuring Missy Elliott
Rich Girl	Gwen Stefani Featuring Eve
Hate It Or Love It	The Game Featuring 50 Cent
Mockingbird	Eminem
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Some Cut	Trillville Featuring Cutty
Breakaway	Kelly Clarkson
Goin' Crazy	Natalie
It's Like That	Mariah Carey
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Mr. Brightside	The Killers
Lonely No More	Rob Thomas
Truth Is	Fantasia
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Bring Em Out	T.I.
Ordinary People	John Legend
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Get Right	Jennifer Lopez
O	Omarion
Beautiful Soul	Jesse McCartney
Lonely	Akon
She Will Be Loved	Maroon 5
Karma	Alicia Keys
U Don't Know Me	T.I.
1 Thing	Amerie
Number One Spot	Ludacris
I Don't Want To Be	Gavin DeGraw
Daughters	John Mayer
Over And Over	Nelly Featuring Tim McGraw
Look What You've Done	Jet
Bless The Broken Road	Rascal Flatts
Let Me Go	3 Doors Down
Numb/Encore	Jay-Z/Linkin Park
Okay	Nivea Featuring Lil Jon & YoungBloodZ
Baby Girl	Sugarland
Nothin' To Lose	Josh Gracin
Sunday Morning	Maroon 5
Get Back	Ludacris
Give A Little Bit	Goo Goo Dolls
True	Ryan Cabrera
Wait (The Whisper Song)	Ying Yang Twins
Signs	Snoop Dogg Featuring Charlie Wilson & Justin Timberlake
That's What I Love About Sunday	Craig Morgan
Slow Down	Bobby Valentino
Baby I'm Back	Baby Bash Featuring Akon
Collide	Howie Day
Anything But Mine	Kenny Chesney
Switch	Will Smith
Almost	Bowling For Soup
Like Toy Soldiers	Eminem
Mud On The Tires	Brad Paisley
Gone	Montgomery Gentry
It's Getting Better All The Time	Brooks & Dunn
Somewhere Only We Know	Keane
Gasolina	Daddy Yankee
Lady	Lenny Kravitz
Baby Mama	Fantasia
I May Hate Myself In The Morning	Lee Ann Womack
Sitting, Waiting, Wishing	Jack Johnson
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
Scars	Papa Roach
Karma	Lloyd Banks Featuring Avant
You're My Better Half	Keith Urban
U Already Know	112 Featuring Foxy Brown
Still Tippin'	Mike Jones Featuring Slim Thug & Paul Wall
Hold You Down	Jennifer Lopez Featuring Fat Joe
Oh	Ciara Featuring Ludacris
Let Them Be Little	Billy Dean
E-Pro	Beck
If Heaven	Andy Griggs
My Give A Damn's Busted	Jo Dee Messina
How Could You	Mario
Honkytonk U	Toby Keith
Nobody's Home	Avril Lavigne
I'm A Hustla	Cassidy
What's A Guy Gotta Do	Joe Nichols
God's Will	Martina McBride
Trying To Find Atlantis	Jamie O'Neal
Just A Lil Bit	50 Cent
Piggy Bank	50 Cent
You And Me	Lifehouse
Again	Faith Evans
Homewrecker	Gretchen Wilson
How Do You Get That Lonely	Blaine Larsen
I Just Wanna Live	Good Charlotte
Why Do You Love Me	Garbage
The Widow	The Mars Volta
Awful, Beautiful Life	Darryl Worley
Drugs Or Jesus	Tim McGraw
Only U	Ashanti
Songs About Me	Trace Adkins
Be Yourself	Audioslave
