My Eyes Adored You	Frankie Valli
Lady Marmalade	Labelle
Lovin' You	Minnie Riperton
Black Water	The Doobie Brothers
Have You Never Been Mellow	Olivia Newton-John
Express	B.T. Express
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Poetry Man	Phoebe Snow
No No Song/snookeroo	Ringo Starr
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Philadelphia Freedom	The Elton John Band
Lady	Styx
Shame, Shame, Shame	Shirley And Company
Sad Sweet Dreamer	Sweet Sensation
I Am Love (Parts I & II)	Jackson 5
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
Once You Get Started	Rufus Featuring Chaka Khan
Can't Get It Out Of My Head	Electric Light Orchestra
Best Of My Love	Eagles
Chevy Van	Sammy Johns
Harry Truman	Chicago
Emotion	Helen Reddy
Emma	Hot Chocolate
Supernatural Thing - Part I	Ben E. King
Up In A Puff Of Smoke	Polly Brown
Before The Next Teardrop Falls	Freddy Fender
Lonely People	America
Walking In Rhythm	The Blackbyrds
The South's Gonna Do It	The Charlie Daniels Band
Butter Boy	Fanny
Shining Star	Earth, Wind & Fire
Satin Soul	Love Unlimited Orchestra
What Am I Gonna Do With You	Barry White
L-O-V-E (Love)	Al Green
Long Tall Glasses (I Can Dance)	Leo Sayer
The Bertha Butt Boogie-Part 1	The Jimmy Castor Bunch
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
My Boy	Elvis Presley
Jackie Blue	Ozark Mountain Daredevils
Wolf Creek Pass	C.W. McCall
Pick Up The Pieces	AWB
It's A Miracle	Barry Manilow
Roll On Down The Highway	Bachman-Turner Overdrive
He Don't Love You (Like I Love You)	Tony Orlando & Dawn
Part Of The Plan	Dan Fogelberg
I Wanna Learn A Love Song	Harry Chapin
Tangled Up In Blue	Bob Dylan
Dance The Kung Fu	Carl Douglas
I'm A Woman	Maria Muldaur
Killer Queen	Queen
Movin' On	Bad Company
Shoeshine Boy	Eddie Kendricks
Love Finds It's Own Way	Gladys Knight And The Pips
Fire	Ohio Players
Living A Little, Laughing A Little	The Spinners
I Have A Dream	Donny Osmond
Don't Let Go	Commander Cody
We're Almost There	Michael Jackson
Who's Sorry Now	Marie Osmond
I Don't Like To Sleep Alone	Paul Anka with Odia Coates
Hush/I'm Alive	Blue Swede
Linda On My Mind	Conway Twitty
Like A Sunday Morning	Lana Cantrell
I'm Her Fool	Billy Swan
Amie	Pure Prairie League
How Long	Ace
Stand By Me	John Lennon
Nightingale	Carole King
Leona	Wet Willie
The Pill	Loretta Lynn
Never Let Her Go	David Gates
Young Americans	David Bowie
Shaving Cream	Benny Bell
Autobahn	Kraftwerk
Beer Barrel Polka/Dick And Jane	Bobby Vinton
Showdown	Odia Coates
I Get Lifted	George McCrae
You're No Good	Linda Ronstadt
Angel (What In The World's Come Over Us)	Atlanta Rhythm Section
Bump Me Baby Part 1	Dooley Silverspoon
Shakey Ground	The Temptations
Thank God I'm A Country Boy	John Denver
Swing Your Daddy	Jim Gilstrap
Sun Goddess	Ramsey Lewis And Earth, Wind & Fire
Runaway	Charlie Kulis
Reach Out, I'll Be There	Gloria Gaynor
Sneaky Snake	Tom T. Hall
Bad Luck (Part 1)	Harold Melvin And The Blue Notes
Cry To Me	Loleatta Holloway
You're A Part Of Me	Susan Jacks
Only One Woman	Nigel Olsson
Toby/that's How Long	The Chi-lites
Live Your Life Before You Die	The Pointer Sisters
Everybody Wants To Find A Bluebird	Randy Edelman
Love Corporation	The Hues Corporation
Good Times, Rock & Roll	Flash Cadillac And The Continental Kids
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
It Do Feel Good	Donna Fargo
You And Your Baby Blues	Solomon Burke
Where Have They Gone	Jimmy Beaumont And The Skyliners
