Rich Girl	Daryl Hall John Oates
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Dancing Queen	ABBA
Don't Give Up On Us	David Soul
Don't Leave Me This Way	Thelma Houston
Fly Like An Eagle	Steve Miller
Night Moves	Bob Seger
The Things We Do For Love	10cc
I Like Dreamin'	Kenny Nolan
Torn Between Two Lovers	Mary Macgregor
Maybe I'm Amazed	Wings
I've Got Love On My Mind	Natalie Cole
Carry On Wayward Son	Kansas
So In To You	Atlanta Rhythm Section
Say You'll Stay Until Tomorrow	Tom Jones
Southern Nights	Glen Campbell
Hotel California	Eagles
Go Your Own Way	Fleetwood Mac
Crackerbox Palace	George Harrison
Boogie Child	Bee Gees
Right Time Of The Night	Jennifer Warnes
Sam	Olivia Newton-John
Here Come Those Tears Again	Jackson Browne
Tryin' To Love Two	William Bell
Do Ya	Electric Light Orchestra
Gloria	Enchantment
The First Cut Is The Deepest	Rod Stewart
Free	Deniece Williams
Blinded By The Light	Manfred Mann's Earth Band
Disco Lucy (i Love Lucy Theme)	Wilton Place Street Band
Year Of The Cat	Al Stewart
Lido Shuffle	Boz Scaggs
At Midnight (My Love Will Lift You Up)	Rufus Featuring Chaka Khan
All Strung Out On You	John Travolta
When I Need You	Leo Sayer
I Wanna Get Next To You	Rose Royce
Couldn't Get It Right	Climax Blues Band
Somethin' 'bout 'cha	Latimore
Love In 'C' Minor - Pt. I	Cerrone
N.y., You Got Me Dancing	Andrea True Connection
I'm Your Boogie Man	KC And The Sunshine Band
Spring Rain	Silvetti
Long Time	Boston
Magical Mystery Tour	Ambrosia
Can't Stop Dancin'	Captain & Tennille
Love In 'C' Minor	The Heart And Soul Orchestra
Phantom Writer	Gary Wright
You + Me = Love/Let's Go Down To The Disco	Undisputed Truth
Angel In Your Arms	Hot
Your Love	Marilyn McCoo & Billy Davis Jr.
New Kid In Town	Eagles
Weekend In New England	Barry Manilow
Be My Girl	The Dramatics
Enjoy Yourself	The Jacksons
Dancin' Man	Q
Sometimes	Facts Of Life
Heard It In A Love Song	The Marshall Tucker Band
Calling Dr. Love	KISS
There Will Come A Day (I'm Gonna Happen To You)	Smokey Robinson
Dedication	Bay City Rollers
My Sweet Lady	John Denver
Do What You Wanna Do	T-Connection
Your Own Special Way	Genesis
"Roots" Medley	Quincy Jones
Disco Inferno	The Trammps
Uptown Festival (Part 1)	Shalamar
I Wish	Stevie Wonder
Sailing Ships	Mesa
Living Next Door To Alice	Smokie
Tie Your Mother Down	Queen
Whodunit	Tavares
Lonely Boy	Andrew Gold
I'll Be Standing By	Foghat
You're Throwing A Good Love Away	The Spinners
You Know Like I Know	Ozark Mountain Daredevils
Hello Stranger	Yvonne Elliman
Dreamin	Loleatta Holloway
Dancin'	Crown Heights Affair
Cherry Baby	Starz
I Think We're Alone Now	The Rubinoos
Love Is Better In The A.M. (Part 1)	Johnnie Taylor
Old Fashioned Boy (You're The One)	Stallion
Lucille	Kenny Rogers
Rock And Roll Star	Champagne
(Theme from) Charlie's Angels	Henry Mancini And His Orchestra
Wake Up And Be Somebody	Brainstorm
I Wanna Do It To You	Jerry Butler
If You've Got The Time	The Babys
Feels Like The First Time	Foreigner
Cinderella	Firefall
It Feels So Good To Be Loved So Bad	The Manhattans
You Take My Heart Away	James Darren
Six Packs A Day	Billy Lemmons
Arrested For Driving While Blind	ZZ Top
Time Is Movin'	The Blackbyrds
Slowdown	John Miles
It Ain't Easy Comin' Down	Charlene
Part Time Love	Kerry Chater
Car Wash	Rose Royce
Romeo	Mr. Big
