Mrs. Robinson	Simon & Garfunkel
Tighten Up	Archie Bell & The Drells
This Guy's In Love With You	Herb Alpert
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
Mony Mony	Tommy James And The Shondells
Yummy Yummy Yummy	Ohio Express
MacArthur Park	Richard Harris
A Beautiful Morning	The Rascals
Think	Aretha Franklin
Honey	Bobby Goldsboro
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
Cowboys To Girls	The Intruders
The Look Of Love	Sergio Mendes & Brasil '66
Angel Of The Morning	Merrilee Rush & The Turnabouts
Delilah	Tom Jones
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
Like To Get To Know You	Spanky And Our Gang
Master Jack	Four Jacks And A Jill
I Could Never Love Another (After Loving You)	The Temptations
If I Were A Carpenter	Four Tops
Do You Know The Way To San José	Dionne Warwick
I Love You	People
Reach Out Of The Darkness	Friend And Lover
Take Time To Know Her	Percy Sledge
Licking Stick - Licking Stick (Part 1)	James Brown And The Famous Flames
I Will Always Think About You	The New Colony Six
A Man Without Love (Quando M'innamoro)	Engelbert Humperdinck
The Happy Song (Dum-Dum)	Otis Redding
How'd We Ever Get This Way	Andy Kim
She's Lookin' Good	Wilson Pickett
Love Is All Around	The Troggs
Soul Serenade	Willie Mitchell
Tip-Toe Thru' The Tulips With Me	Tiny Tim
The Horse	Cliff Nobles & Co.
My Girl/Hey Girl	Bobby Vee
Young Girl	The Union Gap Featuring Gary Puckett
(You Keep Me) Hangin' On	Joe Simon
Never Give You Up	Jerry Butler
Choo Choo Train	The Box Tops
Does Your Mama Know About Me	Bobby Taylor & The Vancouvers
Time For Livin'	The Association
I'm Sorry	The Delfonics
She's A Heartbreaker	Gene Pitney
I Wanna Live	Glen Campbell
The Unicorn	The Irish Rovers
Cry Like A Baby	The Box Tops
Yester Love	Smokey Robinson & The Miracles
United	Peaches & Herb
If You Don't Want My Love	Robert John
Here Comes The Judge	Shorty Long
Jelly Jungle (Of Orange Marmalade)	Lemon Pipers
Indian Lake	The Cowsills
Stoned Soul Picnic	The 5th Dimension
Sky Pilot (Part One)	Eric Burdon & The Animals
You Don't Know What You Mean To Me	Sam & Dave
Unwind	Ray Stevens
Bring A Little Lovin'	Los Bravos
Brooklyn Roads	Neil Diamond
I'll Never Do You Wrong	Joe Tex
Love In Every Room	Paul Mauriat And His Orchestra
Sleepy Joe	Herman's Hermits
Jumpin' Jack Flash	The Rolling Stones
Some Things You Never Get Used To	Diana Ross & The Supremes
Lady Willpower	Gary Puckett And The Union Gap
Here Come The Judge	The Magistrates
It Should Have Been Me	Gladys Knight And The Pips
May I Take A Giant Step (Into Your Heart)	1910 Fruitgum Co.
I Wish I Knew (How It Would Feel To Be Free)	Solomon Burke
America Is My Home - Pt. 1	James Brown And The Famous Flames
The Doctor	Mary Wells
I Got You Babe	Etta James
Anyone For Tennis	Cream
Pictures Of Matchstick Men	The Status Quo
You Ain't Going Nowhere	The Byrds
Folsom Prison Blues	Johnny Cash
My Shy Violet	The Mills Brothers
Face It Girl, It's Over	Nancy Wilson
Back In Love Again	The Buckinghams
Safe In My Garden	The Mamas & The Papas
It's Over	Eddy Arnold
Mountain Of Love	Ronnie Dove
Apologize	Ed Ames
Grazing In The Grass	Hugh Masekela
Ready, Willing and Able	The American Breed
Here I Am Baby	The Marvelettes
Eleanor Rigby	Ray Charles
Lover's Holiday	Peggy Scott & Jo Jo Benson
Funky Fever	Clarence Carter
Ain't Nothin' But A House Party	The Show Stoppers
Lili Marlene	Al Martino
San Francisco Girls (Return of the Native)	Fever Tree
Hold On	Radiants
Let Me Be Lonely	Dionne Warwick
Here Come Da Judge	The Buena Vistas
Baby You Come Rollin' Across My Mind	The Peppermint Trolley Company
Sweet Memories	Andy Williams
Climb Every Mountain	The Hesitations
Don't Sign The Paper Baby (I Want You Back)	Jimmy Delphs
Lonely Is The Name	Sammy Davis Jr.
Congratulations	Cliff Richard
