Candy Shop	50 Cent Featuring Olivia
Boulevard Of Broken Dreams	Green Day
Let Me Love You	Mario
How We Do	The Game Featuring 50 Cent
1, 2 Step	Ciara Featuring Missy Elliott
Disco Inferno	50 Cent
Rich Girl	Gwen Stefani Featuring Eve
Since U Been Gone	Kelly Clarkson
Caught Up	Usher
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Mockingbird	Eminem
Bring Em Out	T.I.
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Breakaway	Kelly Clarkson
Get Right	Jennifer Lopez
Beautiful Soul	Jesse McCartney
Daughters	John Mayer
It's Like That	Mariah Carey
She Will Be Loved	Maroon 5
Across The Universe	Various Artists
Over And Over	Nelly Featuring Tim McGraw
Truth Is	Fantasia
Numb/Encore	Jay-Z/Linkin Park
I Don't Want To Be	Gavin DeGraw
Some Cut	Trillville Featuring Cutty
Mr. Brightside	The Killers
True	Ryan Cabrera
Get Back	Ludacris
Lonely No More	Rob Thomas
Sunday Morning	Maroon 5
Ordinary People	John Legend
Bless The Broken Road	Rascal Flatts
O	Omarion
Karma	Alicia Keys
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Let Me Go	3 Doors Down
Like Toy Soldiers	Eminem
Give A Little Bit	Goo Goo Dolls
My Boo	Usher And Alicia Keys
U Don't Know Me	T.I.
Hate It Or Love It	The Game Featuring 50 Cent
Look What You've Done	Jet
Nothin' To Lose	Josh Gracin
Lady	Lenny Kravitz
You're My Better Half	Keith Urban
Only U	Ashanti
Goin' Crazy	Natalie
Goodies	Ciara Featuring Petey Pablo
Karma	Lloyd Banks Featuring Avant
1 Thing	Amerie
Mud On The Tires	Brad Paisley
Okay	Nivea Featuring Lil Jon & YoungBloodZ
Signs	Snoop Dogg Featuring Charlie Wilson & Justin Timberlake
Somewhere Only We Know	Keane
Baby Girl	Sugarland
Let's Get Blown	Snoop Dogg
Hope	Twista Featuring Faith Evans
Nobody's Home	Avril Lavigne
Collide	Howie Day
Monday Morning Church	Alan Jackson
That's What I Love About Sunday	Craig Morgan
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Anything But Mine	Kenny Chesney
Gasolina	Daddy Yankee
You And Me	Lifehouse
I May Hate Myself In The Morning	Lee Ann Womack
N Dey Say	Nelly
Some Beach	Blake Shelton
Jerk It Out	Caesars
I Just Wanna Live	Good Charlotte
Gone	Montgomery Gentry
Scars	Papa Roach
It's Getting Better All The Time	Brooks & Dunn
Baby Mama	Fantasia
Baby	Fabolous Featuring Mike Shorey
Let Them Be Little	Billy Dean
Almost	Bowling For Soup
Lonely	Akon
He Gets That From Me	Reba McEntire
Number One Spot	Ludacris
Wait (The Whisper Song)	Ying Yang Twins
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Awful, Beautiful Life	Darryl Worley
If Heaven	Andy Griggs
Sitting, Waiting, Wishing	Jack Johnson
Switch	Will Smith
My Give A Damn's Busted	Jo Dee Messina
Baby I'm Back	Baby Bash Featuring Akon
I'm Not Okay (I Promise)	My Chemical Romance
Welcome To My Life	Simple Plan
What You Waiting For?	Gwen Stefani
Honkytonk U	Toby Keith
Slow Down	Bobby Valentino
La La	Ashlee Simpson
In The Kitchen	R. Kelly
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
U Already Know	112 Featuring Foxy Brown
Shut Up	Simple Plan
