HIGHEST IN THE ROOM	Travis Scott
Truth Hurts	Lizzo
Senorita	Shawn Mendes & Camila Cabello
10,000 Hours	Dan + Shay & Justin Bieber
Someone You Loved	Lewis Capaldi
Circles	Post Malone
No Guidance	Chris Brown Featuring Drake
Ran$om	Lil Tecca
Bad Guy	Billie Eilish
Panini	Lil Nas X
Bandit	Juice WRLD & YoungBoy Never Broke Again
Goodbyes	Post Malone Featuring Young Thug
I Don't Care	Ed Sheeran & Justin Bieber
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
Beautiful People	Ed Sheeran Featuring Khalid
Playing Games	Summer Walker
Talk	Khalid
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Sucker	Jonas Brothers
Memories	Maroon 5
Money In The Grave	Drake Featuring Rick Ross
Trampoline	SHAED
Only Human	Jonas Brothers
Good As Hell	Lizzo
Suge	DaBaby
How Do You Sleep?	Sam Smith
On Chill	Wale Featuring Jeremih
You Need To Calm Down	Taylor Swift
Baby	Lil Baby & DaBaby
Ballin'	Mustard & Roddy Ricch
Hot Girl Summer	Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign
INTRO	DaBaby
Dancing With A Stranger	Sam Smith & Normani
Lover	Taylor Swift
My Type	Saweetie
Prayed For You	Matt Stell
223's	YNW Melly & 9lokknine
Hot	Young Thug Featuring Gunna
Wow.	Post Malone
Camelot	NLE Choppa
BOP	DaBaby
Come Thru	Summer Walker & Usher
One Thing Right	Marshmello & Kane Brown
Graveyard	Halsey
The Git Up	Blanco Brown
VIBEZ	DaBaby
Heat	Chris Brown Featuring Gunna
If I Can't Have You	Shawn Mendes
Even Though I'm Leaving	Luke Combs
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
I Don't Know About You	Chris Lane
Time	NF
The Bones	Maren Morris
One Man Band	Old Dominion
Cash Shit	Megan Thee Stallion Featuring DaBaby
Good Vibes	Chris Janson
The London	Young Thug, J. Cole & Travis Scott
Liar	Camila Cabello
Boyfriend	Ariana Grande & Social House
Living	Dierks Bentley
I'll Kill You	Summer Walker Featuring Jhene Aiko
Enemies	Post Malone Featuring DaBaby
Love You Too Late	Cole Swindell
What Happens In A Small Town	Brantley Gilbert + Lindsay Ell
Motivation	Normani
Hot Girl Bummer	blackbear
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
Stretch You Out	Summer Walker Featuring A Boogie Wit da Hoodie
Every Little Thing	Russell Dickerson
China	Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin
Baby Sitter	DaBaby Featuring Offset
Lalala	Y2K & bbno$
Body	Summer Walker
Writing On The Wall	French Montana Featuring Post Malone, Cardi B & Rvssian
Don't Call Me Angel (Charlie's Angels)	Ariana Grande, Miley Cyrus & Lana Del Rey
Saint-Tropez	Post Malone
Tip Of My Tongue	Kenny Chesney
Otro Trago	Sech, Darell, Nicky Jam, Ozuna & Anuel AA
Drunk Dialing...LODT	Summer Walker
Over It	Summer Walker
Hollywood's Bleeding	Post Malone
Remember You Young	Thomas Rhett
Nice To Meet Ya	Niall Horan
F.N	Lil Tjay
Higher Love	Kygo X Whitney Houston
Wish Wish	DJ Khaled Featuring Cardi B & 21 Savage
Callaita	Bad Bunny & Tainy
Southbound	Carrie Underwood
Bad Bad Bad	Young Thug Featuring Lil Baby
RAW SHIT	DaBaby Featuring Migos
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
Potential	Summer Walker
Right Back	Khalid Featuring A Boogie Wit da Hoodie
Die For Me	Post Malone Featuring Future & Halsey
Heartache Medication	Jon Pardi
Dance Monkey	Tones And I
POP STAR	DaBaby Featuring Kevin Gates
Self Control	YoungBoy Never Broke Again
No Me Conoce	Jhay Cortez, J Balvin & Bad Bunny
Slow Dancing In The Dark	Joji
