Crazy In Love	Beyonce Featuring Jay Z
Magic Stick	Lil' Kim Featuring 50 Cent
Rock Wit U (Awww Baby)	Ashanti
Right Thurr	Chingy
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
Unwell	matchbox twenty
Bring Me To Life	Evanescence Featuring Paul McCoy
Get Busy	Sean Paul
Miss Independent	Kelly Clarkson
In Those Jeans	Ginuwine
So Gone	Monica
Drift Away	Uncle Kracker Featuring Dobie Gray
P.I.M.P.	50 Cent
Where Is The Love?	The Black Eyed Peas
Into You	Fabolous Featuring Tamia Or Ashanti
21 Questions	50 Cent Featuring Nate Dogg
This Is The Night	Clay Aiken
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Intuition	Jewel
Are You Happy Now?	Michelle Branch
Like Glue	Sean Paul
Don't Wanna Try	Frankie J
Can't Let You Go	Fabolous Featuring Mike Shorey & Lil' Mo
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
When I'm Gone	3 Doors Down
I Want You	Thalia Featuring Fat Joe
Love At 1st Sight	Mary J. Blige Featuring Method Man
Frontin'	Pharrell Featuring Jay-Z
No Letting Go	Wayne Wonder
Red Dirt Road	Brooks & Dunn
My Front Porch Looking In	Lonestar
Ignition	R. Kelly
Beer For My Horses	Toby Keith Duet With Willie Nelson
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Forever And For Always	Shania Twain
Rock Your Body	Justin Timberlake
Flying Without Wings	Ruben Studdard
Calling All Angels	Train
Celebrity	Brad Paisley
No Shoes, No Shirt, No Problems	Kenny Chesney
Stay Gone	Jimmy Wayne
If You're Not The One	Daniel Bedingfield
In Da Club	50 Cent
The Remedy (I Won't Worry)	Jason Mraz
Act A Fool	Ludacris
Come Over	Aaliyah
Like A Pimp	David Banner Featuring Lil' Flip
My Love Is Like... Wo	Mya
Big Yellow Taxi	Counting Crows Featuring Vanessa Carlton
Addicted	Simple Plan
Dance With My Father	Luther Vandross
Thoia Thoing	R. Kelly
Fighter	Christina Aguilera
Let's Get Down	Bow Wow Featuring Baby
Speed	Montgomery Gentry
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
What Was I Thinkin'	Dierks Bentley
Headstrong	Trapt
Swing, Swing	The All-American Rejects
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Real Good Man	Tim McGraw
Put That Woman First	Jaheim
I Wish I Wasn't	Heather Headley
99.9% Sure (I've Never Been Here Before)	Brian McComas
Send The Pain Below	Chevelle
Then They Do	Trace Adkins
The Love Song	Jeff Bates
Signs Of Love Makin'	Tyrese
What The World Needs	Wynonna
The Boys Of Summer	The Ataris
Just Because	Jane's Addiction
Faint	Linkin Park
Three Wooden Crosses	Randy Travis
Girls And Boys	Good Charlotte
Snake	R. Kelly Featuring Big Tigger
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Love You Out Loud	Rascal Flatts
Pump It Up	Joe Budden
Seven Nation Army	The White Stripes
Tell Me Something Bad About Tulsa	George Strait
Breathe	Blu Cantrell Featuring Sean Paul
The Truth About Men	Tracy Byrd
Somewhere I Belong	Linkin Park
What Would You Do?	The Isley Brothers Featuring Ronald Isley
Say Yes	Floetry
Feel Good Time	P!nk Featuring William Orbit
4 Ever	Lil' Mo Featuring Fabolous
I Believe	Diamond Rio
Almost Home	Craig Morgan
In Love Wit Chu	Da Brat Featuring Cherish
Stupid Girl	Cold
I'm Glad	Jennifer Lopez
Have You Forgotten?	Darryl Worley
Still Ballin	2Pac Featuring Trick Daddy
What A Beautiful Day	Chris Cagle
Sing For The Moment	Eminem
Pon De River, Pon De Bank	Elephant Man
I Love You	Dru Hill
Stuck	Stacie Orrico
