Philadelphia Freedom	The Elton John Band
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
Lovin' You	Minnie Riperton
No No Song/snookeroo	Ringo Starr
He Don't Love You (Like I Love You)	Tony Orlando & Dawn
Supernatural Thing - Part I	Ben E. King
Chevy Van	Sammy Johns
What Am I Gonna Do With You	Barry White
Emma	Hot Chocolate
Before The Next Teardrop Falls	Freddy Fender
Lady Marmalade	Labelle
Walking In Rhythm	The Blackbyrds
L-O-V-E (Love)	Al Green
Shining Star	Earth, Wind & Fire
Long Tall Glasses (I Can Dance)	Leo Sayer
Jackie Blue	Ozark Mountain Daredevils
I Don't Like To Sleep Alone	Paul Anka with Odia Coates
Once You Get Started	Rufus Featuring Chaka Khan
Express	B.T. Express
The Bertha Butt Boogie-Part 1	The Jimmy Castor Bunch
It's A Miracle	Barry Manilow
Killer Queen	Queen
How Long	Ace
Stand By Me	John Lennon
Poetry Man	Phoebe Snow
Thank God I'm A Country Boy	John Denver
Shoeshine Boy	Eddie Kendricks
Only Yesterday	Carpenters
Autobahn	Kraftwerk
Amie	Pure Prairie League
Have You Never Been Mellow	Olivia Newton-John
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Beer Barrel Polka/Dick And Jane	Bobby Vinton
Young Americans	David Bowie
Bad Time	Grand Funk
My Eyes Adored You	Frankie Valli
Shaving Cream	Benny Bell
Harry Truman	Chicago
Love Won't Let Me Wait	Major Harris
Shakey Ground	The Temptations
Satin Soul	Love Unlimited Orchestra
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Shame, Shame, Shame	Shirley And Company
Sun Goddess	Ramsey Lewis And Earth, Wind & Fire
Hijack	Herbie Mann
Sister Golden Hair	America
The Immigrant	Neil Sedaka
Runaway	Charlie Kulis
Rainy Day People	Gordon Lightfoot
Don't Tell Me Goodnight	Lobo
Sad Sweet Dreamer	Sweet Sensation
When Will I Be Loved	Linda Ronstadt
You Brought The Woman Out Of Me	Evie Sands
(if You Add) All The Love In The World	Mac Davis
I'm Not Lisa	Jessi Colter
Bad Luck (Part 1)	Harold Melvin And The Blue Notes
Only Women	Alice Cooper
Cut The Cake	AWB
I'll Play For You	Seals & Crofts
Swing Your Daddy	Jim Gilstrap
Magic	Pilot
Tangled Up In Blue	Bob Dylan
Growin'	Loggins & Messina
One Beautiful Day	Ecstasy, Passion & Pain
I Want To Be Free	Ohio Players
My Little Lady	Bloodstone
The Last Farewell	Roger Whittaker
Wildfire	Michael Murphey
Pinball	Brian Protheroe
Touch Me Baby (reaching Out For Your Love)	Tamiko Jones
Cry To Me	Loleatta Holloway
Spirit Of The Boogie/Summer Madness	Kool & The Gang
We're Almost There	Michael Jackson
Bloody Well Right	Supertramp
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Get Down, Get Down (Get On The Floor)	Joe Simon
Trampled Under Foot	Led Zeppelin
Reach Out, I'll Be There	Gloria Gaynor
I Am Love (Parts I & II)	Jackson 5
Remember What I Told You To Forget/My Ship	Tavares
A Hurricane Is Coming Tonite	Carol Douglas
Sail On Sailor	The Beach Boys
Living A Little, Laughing A Little	The Spinners
Ease On Down The Road	Consumer Rapport
Sandy	The Hollies
I Wanna Dance Wit' Choo (Doo Dat Dance), Part I	Disco Tex & The Sex-O-Lettes
Spider Jiving	Andy Fairweather Low
Dynomite-Part I	Tony Camillo's Bazuka
Good Lovin' Gone Bad	Bad Company
Anytime (I'll Be There)	Frank Sinatra
Check It Out	Bobby Womack
All Right Now	Lea Roberts
Sneaky Snake	Tom T. Hall
Hang On Sloopy	Rick Derringer
The Hustle	Van McCoy & The Soul City Symphony
Thank You Baby	The Stylistics
Don't Leave Me In The Morning	Odia Coates
Love Will Keep Us Together	The Captain & Tennille
Shackin' Up	Barbara Mason
(Just Like) Romeo And Juliet	Sha Na Na
