Lean On Me	Club Nouveau
Nothing's Gonna Stop Us Now	Starship
Let's Wait Awhile	Janet Jackson
Tonight, Tonight, Tonight	Genesis
Mandolin Rain	Bruce Hornsby & The Range
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
Come Go With Me	Expose
The Final Countdown	Europe
Don't Dream It's Over	Crowded House
I Knew You Were Waiting (For Me)	Aretha Franklin & George Michael
Let's Go!	Wang Chung
Midnight Blue	Lou Gramm
Jacob's Ladder	Huey Lewis & The News
Sign 'O' The Times	Prince
What You Get Is What You See	Tina Turner
Big Time	Peter Gabriel
That Ain't Love	REO Speedwagon
Respect Yourself	Bruce Willis
Livin' On A Prayer	Bon Jovi
The Finer Things	Steve Winwood
Walking Down Your Street	The Bangles
You Got It All	The Jets
As We Lay	Shirley Murdock
The Honeythief	Hipsway
Stone Love	Kool & The Gang
Looking For A New Love	Jody Watley
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
Brand New Lover	Dead Or Alive
Dominoes	Robbie Nevil
Come As You Are	Peter Wolf
I Wanna Go Back	Eddie Money
Candy	Cameo
Smoking Gun	The Robert Cray Band
(I Just) Died In Your Arms	Cutting Crew
What's Going On	Cyndi Lauper
Can'tcha Say (You Believe In Me)/Still In Love	Boston
Light Of Day	The Barbusters (Joan Jett And The Blackhearts)
I Will Be There	Glass Tiger
La Isla Bonita	Madonna
Serious	Donna Allen
The Lady In Red	Chris de Burgh
Will You Still Love Me?	Chicago
Ship Of Fools (Save Me From Tomorrow)	World Party
With or Without You	U2
Nothing's Gonna Change My Love For You	Glenn Medeiros
Boom Boom (Let's Go Back To My Room)	Paul Lekakis
Keep Your Hands To Yourself	The Georgia Satellites
I'll Be Alright Without You	Journey
Keep Your Eye On Me	Herb Alpert
Talk Dirty To Me	Poison
How Much Love	Survivor
Big Love	Fleetwood Mac
The Right Thing	Simply Red
Heat Of The Night	Bryan Adams
Right On Track	The Breakfast Club
I Got The Feelin' (It's Over)	Gregory Abbott
Show Me	The Cover Girls
Sexappeal	Georgio
Dance	Ratt
Winner Takes It All	Sammy Hagar
It's Tricky	Run-D.M.C.
We Connect	Stacey Q
Heartbreak Beat	Psychedelic Furs
Never Enough	Patty Smyth
Brass Monkey	Beastie Boys
If She Would Have Been Faithful. . .	Chicago
Meet Me Half Way	Kenny Loggins
Hold Me	Sheila E.
Touch Me (I Want Your Body)	Samantha Fox
Skin Trade	Duran Duran
At This Moment	Billy Vera & The Beaters
Se La	Lionel Richie
Ballerina Girl	Lionel Richie
Shelter	Lone Justice
Love You Down	Ready For The World
Have You Ever Loved Somebody	Freddie Jackson
Ain't So Easy	David & David
Get That Love	Thompson Twins
Always	Atlantic Starr
Open Your Heart	Madonna
Showing Out (Get Fresh At The Weekend)	Mel & Kim
Nobody's Fool	Cinderella
Hooked On You	Sweet Sensation
There's Nothing Better Than Love	Luther Vandross with Gregory Hines
Fascinated	Company B
The Secret Of My Success	Night Ranger
Do Ya, Do Ya (Wanna Please Me)	Samantha Fox
Same Ole Love (365 Days A Year)	Anita Baker
Just To See Her	Smokey Robinson
World Shut Your Mouth	Julian Cope
Dancin' With My Mirror	Corey Hart
You Can Call Me Al	Paul Simon
Living In A Dream	Pseudo Echo
He Wants My Body	Starpoint
Battleship Chains	The Georgia Satellites
You Keep Me Hangin' On	Kim Wilde
Cry Wolf	a-ha
So Much For Love	The Venetians
Caught Up In The Rapture	Anita Baker
The Boy In The Bubble	Paul Simon
