Call Me Maybe	Carly Rae Jepsen
Payphone	Maroon 5 Featuring Wiz Khalifa
Wide Awake	Katy Perry
Somebody That I Used To Know	Gotye Featuring Kimbra
Lights	Ellie Goulding
Where Have You Been	Rihanna
Whistle	Flo Rida
Titanium	David Guetta Featuring Sia
Blow Me (One Last Kiss)	P!nk
Scream	Usher
We Are Young	fun. Featuring Janelle Monae
Starships	Nicki Minaj
Wild Ones	Flo Rida Featuring Sia
What Makes You Beautiful	One Direction
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Want U Back	Cher Lloyd
Some Nights	fun.
Give Your Heart A Break	Demi Lovato
Glad You Came	The Wanted
Everybody Talks	Neon Trees
Good Time	Owl City & Carly Rae Jepsen
Let's Go	Calvin Harris Featuring Ne-Yo
Come Over	Kenny Chesney
I Won't Give Up	Jason Mraz
Drunk On You	Luke Bryan
Drive By	Train
Boyfriend	Justin Bieber
No Lie	2 Chainz Featuring Drake
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Stronger (What Doesn't Kill You)	Kelly Clarkson
Even If It Breaks Your Heart	Eli Young Band
Work Hard, Play Hard	Wiz Khalifa
Pontoon	Little Big Town
Springsteen	Eric Church
We Run The Night	Havana Brown Featuring Pitbull
5-1-5-0	Dierks Bentley
Feel So Close	Calvin Harris
Back In Time	Pitbull
Cashin' Out	Ca$h Out
(Kissed You) Good Night	Gloriana
One Thing	One Direction
Brokenhearted	Karmin
Part Of Me	Katy Perry
Angel Eyes	Love And Theft
Too Close	Alex Clare
Wanted	Hunter Hayes
The Motto	Drake Featuring Lil Wayne
Lemme See	Usher Featuring Rick Ross
Heart Attack	Trey Songz
Both Of Us	B.o.B Featuring Taylor Swift
Tongue Tied	Grouplove
Beers Ago	Toby Keith
Chasing The Sun	The Wanted
Over	Blake Shelton
Burn It Down	Linkin Park
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Dark Side	Kelly Clarkson
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Little Talks	Of Monsters And Men
Leave You Alone	Young Jeezy Featuring Ne-Yo
Nobody's Perfect	J. Cole Featuring Missy Elliott
Time Is Love	Josh Turner
Postcard From Paris	The Band Perry
Ho Hey	The Lumineers
For You	Keith Urban
As Long As You Love Me	Justin Bieber Featuring Big Sean
How We Do (Party)	Rita Ora
Why Ya Wanna	Jana Kramer
Cowboys And Angels	Dustin Lynch
Promises	NERO
Truck Yeah	Tim McGraw
The Wind	Zac Brown Band
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
Snap Backs & Tattoos	Driicky Graham
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Hard To Love	Lee Brice
Amen	Meek Mill Featuring Drake
Don't Wake Me Up	Chris Brown
She's So Mean	matchbox twenty
Midnight City	M83.
2 Reasons	Trey Songz Featuring T.I.
It's Time	Imagine Dragons
Bangarang	Skrillex Featuring Sirah
Glass	Thompson Square
Thinkin Bout You	Frank Ocean
One More Night	Maroon 5
Crew Love	Drake Featuring The Weeknd
My Homies Still	Lil Wayne Featuring Big Sean
Get It Started	Pitbull Featuring Shakira
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Right By My Side	Nicki Minaj Featuring Chris Brown
Dance Again	Jennifer Lopez Featuring Pitbull
Something To Do With My Hands	Thomas Rhett
Gold On The Ceiling	The Black Keys
The A Team	Ed Sheeran
Home	Phillip Phillips
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
50 Ways To Say Goodbye	Train
That's Why I Pray	Big & Rich
Lovin' You Is Fun	Easton Corbin
