Help!	The Beatles
Like A Rolling Stone	Bob Dylan
Eve Of Destruction	Barry McGuire
You Were On My Mind	We Five
California Girls	The Beach Boys
Unchained Melody	The Righteous Brothers
I Got You Babe	Sonny & Cher
Papa's Got A Brand New Bag (Part I)	James Brown And The Famous Flames
It Ain't Me Babe	The Turtles
The "In" Crowd	Ramsey Lewis Trio
Hang On Sloopy	The McCoys
It's The Same Old Song	Four Tops
Catch Us If You Can	The Dave Clark Five
Heart Full Of Soul	The Yardbirds
Hold Me, Thrill Me, Kiss Me	Mel Carter
Nothing But Heartaches	The Supremes
Down In The Boondocks	Billy Joe Royal
Action	Freddy Cannon
Laugh At Me	Sonny
The Tracks Of My Tears	The Miracles
Houston	Dean Martin
Since I Lost My Baby	The Temptations
Baby, I'm Yours	Barbara Lewis
All I Really Want To Do	Cher
In The Midnight Hour	Wilson Pickett
We Gotta Get Out Of This Place	The Animals
Agent Double-O-Soul	Edwin Starr
Summer Nights	Marianne Faithfull
Shake And Fingerpop	Jr. Walker & The All Stars
Sad, Sad Girl	Barbara Mason
You've Got Your Troubles	The Fortunes
Baby Don't Go	Sonny & Cher
Save Your Heart For Me	Gary Lewis And The Playboys
Sugar Dumpling	Sam Cooke
Who'll Be The Next In Line	The Kinks
Looking Through The Eyes Of Love	Gene Pitney
I Don't Wanna Lose You Baby	Chad & Jeremy
I'm A Happy Man	The Jive Five
You've Been In Love Too Long	Martha & The Vandellas
Ju Ju Hand	Sam The Sham and the Pharaohs
(I Can't Get No) Satisfaction	The Rolling Stones
Do You Believe In Magic	The Lovin' Spoonful
It's Gonna Take A Miracle	The Royalettes
I'll Make All Your Dreams Come True	Ronnie Dove
I'm A Fool	Dino, Desi & Billy
Ride Away	Roy Orbison
Annie Fanny	The Kingsmen
If I Didn't Love You	Chuck Jackson
With These Hands	Tom Jones
Just You	Sonny & Cher
I'm Yours	Elvis Presley
I'll Take You Where The Music's Playing	The Drifters
(My Girl) Sloopy	Little Caesar And The Consuls
Moonlight And Roses (Bring Mem'ries Of You)	Vic Dana
Liar, Liar	The Castaways
Treat Her Right	Roy Head And The Traits
Mohair Sam	Charlie Rich
Home Of The Brave	Jody Miller
First I Look At The Purse	The Contours
A Little You	Freddie And The Dreamers
Some Enchanted Evening	Jay & The Americans
Danger Heartbreak Dead Ahead	The Marvelettes
Colours	Donovan
Heartaches By The Number	Johnny Tillotson
High Heel Sneakers	Stevie Wonder
Moon Over Naples	Bert Kaempfert And His Orchestra
I Need You	The Impressions
Give All Your Love To Me	Gerry And The Pacemakers
Ain't It True	Andy Williams
Two Different Worlds	Lenny Welch
It's A Man Down There	G.L. Crockett
Kansas City Star	Roger Miller
Only Those In Love	Baby Washington
N-E-R-V-O-U-S!	Ian Whitcomb
I Want To (Do Everything For You)	Joe Tex
Keep On Dancing	The Gentrys
Respect	Otis Redding
If You Wait For Love	Bobby Goldsboro
Is It Really Over?	Jim Reeves
3rd Man Theme	Herb Alpert & The Tijuana Brass
Home Of The Brave	Bonnie & The Treasures
I Live For The Sun	The Sunrays
My Town, My Guy And Me	Lesley Gore
The Girl From Peyton Place	Dickey Lee
These Hands (Small But Mighty)	Bobby Bland
Roundabout	Connie Francis
You're Gonna Make Me Cry	O.V. Wright
The World Through A Tear	Neil Sedaka
Someone Is Watching	Solomon Burke
There But For Fortune	Joan Baez
Can't Let You Out Of My Sight	Chuck Jackson & Maxine Brown
Make Me Your Baby	Barbara Lewis
Too Hot To Hold	Major Lance
You Can't Be True, Dear	Patti Page
Me Without You	Mary Wells
The Silence (Il Silenzio)	Al Hirt
Hungry For Love	San Remo Golden Strings
A Lover's Concerto	The Toys
Soul Heaven	The Dixie Drifter
Little Miss Sad	The Five Emprees
