Groovy Kind Of Love	Phil Collins
Red Red Wine	UB40
What's On Your Mind (Pure Energy)	Information Society
Love Bites	Def Leppard
Wild, Wild West	The Escape Club
Kokomo (From"Cocktail" )	The Beach Boys
Don't You Know What The Night Can Do?	Steve Winwood
Don't Be Cruel	Bobby Brown
Don't Be Cruel	Cheap Trick
The Loco-Motion	Kylie Minogue
Never Tear Us Apart	INXS
One Moment In Time	Whitney Houston
Forever Young	Rod Stewart
True Love	Glenn Frey
Bad Medicine	Bon Jovi
Chains Of Love	Erasure
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Desire	U2
I'll Always Love You	Taylor Dayne
Another Lover	Giant Steps
I Hate Myself For Loving You	Joan Jett & the Blackhearts
How Can I Fall?	Breathe
Don't Know What You Got (Till It's Gone)	Cinderella
One Good Woman	Peter Cetera
Please Don't Go Girl	New Kids On The Block
Baby, I Love Your Way/Freebird Medley	Will To Power
Time And Tide	Basia
Kissing A Fool	George Michael
Look Away	Chicago
Dance Little Sister	Terence Trent D'Arby
A Word In Spanish	Elton John
Fallen Angel	Poison
Waiting For A Star To Fall	Boy Meets Girl
If It Isn't Love	New Edition
Sweet Child O' Mine	Guns N' Roses
Giving You The Best That I Got	Anita Baker
It Takes Two	Rob Base & D.J. E-Z Rock
I Don't Want Your Love	Duran Duran
Walk On Water	Eddie Money
The Promise	When In Rome
You Came	Kim Wilde
Downtown Life	Daryl Hall John Oates
Simply Irresistible	Robert Palmer
Small World	Huey Lewis & The News
Edge Of A Broken Heart	Vixen
Finish What Ya Started	Van Halen
Domino Dancing	Pet Shop Boys
Superstitious	Europe
What You See Is What You Get	Brenda K. Starr
Strangelove	Depeche Mode
In Your Room	The Bangles
Spy In The House Of Love	Was (Not Was)
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
She's On The Left	Jeffrey Osborne
Symptoms Of True Love	Tracie Spencer
Cars With The Boom	L'Trimm
Boy, I've Been Told	SaFire
Welcome To The Jungle	Guns N' Roses
Not Just Another Girl	Ivan Neville
Never Let You Go	Sweet Sensation
Way Out	J.J. Fad
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
It Would Take A Strong Strong Man	Rick Astley
Any Love	Luther Vandross
When It's Love	Van Halen
Indestructible	Four Tops
Till I Loved You	Barbra Streisand & Don Johnson
I Can't Wait	Deniece Williams
Spring Love (Come Back To Me)	Stevie B
Didn't Know It Was Love	Survivor
Early In The Morning	Robert Palmer
Yeah, Yeah, Yeah	Judson Spence
Perfect World	Huey Lewis & The News
I'm Not Your Man	Tommy Conwell And The Young Rumblers
I Did It For Love	Night Ranger
Heart Don't Fail Me Now	Holly Knight
The Way You Love Me	Karyn White
My Prerogative	Bobby Brown
I Remember Holding You	Boys Club
Jealous Guy	John Lennon & The Plastic Ono Band
Here With Me	REO Speedwagon
Hands To Heaven	Breathe
Peek-A-Boo	Siouxsie & The Banshees
Don't Break My Heart	Romeo's Daughter
Dancing Under A Latin Moon	Candi
Monkey	George Michael
Put This Love To The Test	Jon Astley
Hippy Hippy Shake (From "Cocktail")	The Georgia Satellites
Louie, Louie	Fat Boys
I Don't Wanna Live Without Your Love	Chicago
Live It Up	Gardner Cole
All Fired Up	Pat Benatar
Staying Together	Debbie Gibson
Got A New Love	Good Question
Don't Be Afraid Of The Dark	The Robert Cray Band
Fast Car	Tracy Chapman
Off On Your Own (Girl)	Al B. Sure!
What's The Matter Here?	10,000 Maniacs
Talkin' Bout A Revolution	Tracy Chapman
Reason To Try	Eric Carmen
