Play That Funky Music	Wild Cherry
I'd Really Love To See You Tonight	England Dan & John Ford Coley
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
Lowdown	Boz Scaggs
Devil Woman	Cliff Richard
Summer	War
If You Leave Me Now	Chicago
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots
You'll Never Find Another Love Like Mine	Lou Rawls
Say You Love Me	Fleetwood Mac
With Your Love	Jefferson Starship
Still The One	Orleans
A Little Bit More	Dr. Hook
Getaway	Earth, Wind & Fire
She's Gone	Daryl Hall John Oates
Wham Bam (Shang-A-Lang)	Silver
Who'd She Coo?	Ohio Players
That'll Be The Day	Linda Ronstadt
You Should Be Dancing	Bee Gees
Rock'n Me	Steve Miller
Shower The People	James Taylor
I Only Want To Be With You	Bay City Rollers
Magic Man	Heart
Don't Go Breaking My Heart	Elton John & Kiki Dee
One Love In My Lifetime	Diana Ross
(Don't Fear) The Reaper	Blue Oyster Cult
Heaven Must Be Missing An Angel (part 1)	Tavares
Let 'em In	Wings
Beth/Detroit Rock City	KISS
This Masquerade	George Benson
It's O.k.	The Beach Boys
Baby, I Love Your Way	Peter Frampton
Get The Funk Out Ma Face	The Brothers Johnson
Superstar	Paul Davis
Sunrise	Eric Carmen
You Are The Woman	Firefall
The Wreck Of The Edmund Fitzgerald	Gordon Lightfoot
Don't Stop Believin'	Olivia Newton-John
Fernando	ABBA
The Best Disco In Town	The Ritchie Family
Take A Hand	Rick Springfield
You Are My Starship	Norman Connors
I Can't Hear You No More/Music Is My Life	Helen Reddy
Did You Boogie (With Your Baby)	Flash Cadillac And The Continental Kids
Like A Sad Song	John Denver
Nadia's Theme (The Young And The Restless)	Barry DeVorzon And Perry Botikin Jr.
Kiss And Say Goodbye	The Manhattans
Street Singin'	Lady Flash
Queen Of My Soul	Average White Band
The Rubberband Man	The Spinners
Love So Right	Bee Gees
Don't Think....Feel	Neil Diamond
Love Is Alive	Gary Wright
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Goofus	Carpenters
Just To Be Close To You	Commodores
Do You Feel Like We Do	Peter Frampton
Funny How Time Slips Away	Dorothy Moore
This One's For You	Barry Manilow
Message In Our Music	The O'Jays
I Got To Know	Starbuck
Anything You Want	John Valenti
Harvest For The World	The Isley Brothers
The More You Do It (The More I Like It Done To Me)	Ronnie Dyson
Mr. Melody	Natalie Cole
Teddy Bear's Last Ride	Diana Williams
Muskrat Love	Captain & Tennille
Love Of My Life	Gino Vannelli
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
Hard Work	John Handy
(The System Of) Doctor Tarr And Professor Fether	The Alan Parsons Project
Satin Sheets	Bellamy Brothers
It's Only Love	ZZ Top
Nice 'N' Naasty	The Salsoul Orchestra
More Than A Feeling	Boston
You Gotta Make Your Own Sunshine	Neil Sedaka
Give It Up (turn It Loose)	Tyrone Davis
It's A Long Way There	Little River Band
Gimme Your Money Please	Bachman-Turner Overdrive
Get Up Offa That Thing	James Brown
Popsicle Toes	Michael Franks
Turn The Beat Around	Vicki Sue Robinson
The End Is Not In Sight (the Cowboy Tune)	Amazing Rhythm Aces
Can You Do It	Grand Funk Railroad
Home Tonight	Aerosmith
My Sweet Summer Suite	Love Unlimited Orchestra
Made To Love You	Gary Wright
The Fez	Steely Dan
I Never Cry	Alice Cooper
One For The Money (part 1)	The Whispers
Cowboy Song	Thin Lizzy
Wanna Make Love (Come Flick My BIC)	Sun
Let's Be Young Tonight	Jermaine Jackson
Sweet Summer Music	Attitudes
Sun...Sun...Sun...Pt. I	Ja-Kki
I'll Play The Fool	Dr. Buzzard's Original Savannah Band
Rock And Roll Music	The Beach Boys
Got To Get You Into My Life	The Beatles
Howzat	Sherbet
