Drivers License	Olivia Rodrigo
Up	Cardi B
Go Crazy	Chris Brown & Young Thug
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Blinding Lights	The Weeknd
Save Your Tears	The Weeknd & Ariana Grande
Mood	24kGoldn Featuring iann dior
Calling My Phone	Lil Tjay Featuring 6LACK
Positions	Ariana Grande
Levitating	Dua Lipa Featuring DaBaby
What You Know Bout Love	Pop Smoke
Therefore I Am	Billie Eilish
Back In Blood	Pooh Shiesty Featuring Lil Durk
Whoopty	CJ
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Dakiti	Bad Bunny & Jhay Cortez
Good Days	SZA
I Hope	Gabby Barrett Featuring Charlie Puth
You're Mines Still	Yung Bleu Featuring Drake
Better Together	Luke Combs
You Broke Me First.	Tate McRae
Streets	Doja Cat
On Me	Lil Baby
My Ex's Best Friend	Machine Gun Kelly X blackbear
Good Time	Niko Moon
Throat Baby (Go Baby)	BRS Kash
Holy	Justin Bieber Featuring Chance The Rapper
Best Friend	Saweetie Featuring Doja Cat
Willow	Taylor Swift
Lonely	Justin Bieber & benny blanco
Bang!	AJR
No More Parties	Coi Leray Featuring Lil Durk
Anyone	Justin Bieber
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Just The Way	Parmalee x Blanco Brown
Put Your Records On	Ritt Momney
Down To One	Luke Bryan
Without You	The Kid LAROI
Laugh Now Cry Later	Drake Featuring Lil Durk
Starting Over	Chris Stapleton
Body	Megan Thee Stallion
Cry Baby	Megan Thee Stallion Featuring DaBaby
Time Today	Moneybagg Yo
What's Your Country Song	Thomas Rhett
Damage	H.E.R.
Beers And Sunshine	Darius Rucker
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
The Good Ones	Gabby Barrett
We're Good	Dua Lipa
Dynamite	BTS
Buss It	Erica Banks
Wasted On You	Morgan Wallen
Clouds	NF
Telepatia	Kali Uchis
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Goosebumps	Travis Scott & HVME
Golden	Harry Styles
La Noche de Anoche	Bad Bunny & Rosalia
My Head And My Heart	Ava Max
Long Live	Florida Georgia Line
Test Drive	Ariana Grande
Astronaut In The Ocean	Masked Wolf
Heartbreak Anniversary	Giveon
Sand In My Boots	Morgan Wallen
Heat Waves	Glass Animals
Lady	Brett Young
Hit Bout It	Lil Yachty Featuring Kodak Black
Forever After All	Luke Combs
Hole In The Bottle	Kelsea Ballerini
Tyler Herro	Jack Harlow
Girl Like Me	Black Eyed Peas X Shakira
Finesse Out The Gang Way	Lil Durk Featuring Lil Baby
Hell Of A View	Eric Church
Lifestyle	Jason Derulo Featuring Adam Levine
Momma's House	Dustin Lynch
Masterpiece	DaBaby
Somebody Like That	Tenille Arts
Opp Stoppa	YBN Nahmir Featuring 21 Savage
Neighbors	Pooh Shiesty Featuring BIG30
Somebody's Problem	Morgan Wallen
You Got It	VEDO
Bandido	Myke Towers & Juhn
Moonwalking In Calabasas	DDG
Drankin N Smokin	Future & Lil Uzi Vert
One Too Many	Keith Urban Duet With P!nk
Still Trappin'	Lil Durk & King Von
Quicksand	Morray
Chicken Tendies	Clinton Kane
Pick Up Your Feelings	Jazmine Sullivan
ZaZa	6ix9ine
Almost Maybes	Jordan Davis
Made For You	Jake Owen
Glad You Exist	Dan + Shay
Afterglow	Ed Sheeran
Cover Me Up	Morgan Wallen
The Business	Tiesto
Hello	Pop Smoke Featuring A Boogie Wit da Hoodie
Monster	Shawn Mendes & Justin Bieber
Track Star	Mooski
Like I Want You	Giveon
