Mrs. Robinson	Simon & Garfunkel
This Guy's In Love With You	Herb Alpert
Mony Mony	Tommy James And The Shondells
Yummy Yummy Yummy	Ohio Express
MacArthur Park	Richard Harris
Tighten Up	Archie Bell & The Drells
Think	Aretha Franklin
A Beautiful Morning	The Rascals
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
The Look Of Love	Sergio Mendes & Brasil '66
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
Honey	Bobby Goldsboro
I Could Never Love Another (After Loving You)	The Temptations
Angel Of The Morning	Merrilee Rush & The Turnabouts
The Horse	Cliff Nobles & Co.
Delilah	Tom Jones
Licking Stick - Licking Stick (Part 1)	James Brown And The Famous Flames
I Love You	People
Here Comes The Judge	Shorty Long
If I Were A Carpenter	Four Tops
Do You Know The Way To San José	Dionne Warwick
Reach Out Of The Darkness	Friend And Lover
Master Jack	Four Jacks And A Jill
Like To Get To Know You	Spanky And Our Gang
(You Keep Me) Hangin' On	Joe Simon
A Man Without Love (Quando M'innamoro)	Engelbert Humperdinck
How'd We Ever Get This Way	Andy Kim
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
Cowboys To Girls	The Intruders
Tip-Toe Thru' The Tulips With Me	Tiny Tim
She's Lookin' Good	Wilson Pickett
I Will Always Think About You	The New Colony Six
Soul Serenade	Willie Mitchell
Choo Choo Train	The Box Tops
Never Give You Up	Jerry Butler
Does Your Mama Know About Me	Bobby Taylor & The Vancouvers
Take Time To Know Her	Percy Sledge
Jumpin' Jack Flash	The Rolling Stones
She's A Heartbreaker	Gene Pitney
Face It Girl, It's Over	Nancy Wilson
Time For Livin'	The Association
I'm Sorry	The Delfonics
The Happy Song (Dum-Dum)	Otis Redding
I Wanna Live	Glen Campbell
Lady Willpower	Gary Puckett And The Union Gap
United	Peaches & Herb
Yester Love	Smokey Robinson & The Miracles
You Don't Know What You Mean To Me	Sam & Dave
If You Don't Want My Love	Robert John
It Should Have Been Me	Gladys Knight And The Pips
Indian Lake	The Cowsills
Grazing In The Grass	Hugh Masekela
Stoned Soul Picnic	The 5th Dimension
Sky Pilot (Part One)	Eric Burdon & The Animals
Folsom Prison Blues	Johnny Cash
Some Things You Never Get Used To	Diana Ross & The Supremes
Bring A Little Lovin'	Los Bravos
Pictures Of Matchstick Men	The Status Quo
I'll Never Do You Wrong	Joe Tex
Lover's Holiday	Peggy Scott & Jo Jo Benson
D. W. Washburn	The Monkees
Here Come The Judge	The Magistrates
My Girl/Hey Girl	Bobby Vee
America Is My Home - Pt. 1	James Brown And The Famous Flames
Jelly Jungle (Of Orange Marmalade)	Lemon Pipers
Unwind	Ray Stevens
Brooklyn Roads	Neil Diamond
I Wish I Knew (How It Would Feel To Be Free)	Solomon Burke
I Got You Babe	Etta James
The Doctor	Mary Wells
Eleanor Rigby	Ray Charles
Here I Am Baby	The Marvelettes
My Shy Violet	The Mills Brothers
It's Over	Eddy Arnold
Mountain Of Love	Ronnie Dove
Back In Love Again	The Buckinghams
Love In Every Room	Paul Mauriat And His Orchestra
Safe In My Garden	The Mamas & The Papas
Apologize	Ed Ames
Sleepy Joe	Herman's Hermits
You Send Me	Aretha Franklin
Here Comes The Judge	Pigmeat Markham
Let Me Be Lonely	Dionne Warwick
It's Nice To Be With You	The Monkees
Sweet Memories	Andy Williams
Hold On	Radiants
Understanding	Ray Charles
Funky Fever	Clarence Carter
Ain't Nothin' But A House Party	The Show Stoppers
Can't You See Me Cry	The New Colony Six
San Francisco Girls (Return of the Native)	Fever Tree
Baby You Come Rollin' Across My Mind	The Peppermint Trolley Company
Here Come Da Judge	The Buena Vistas
Let Yourself Go	Elvis Presley With The Jordanaires
Turn Around, Look At Me	The Vogues
Don't Sign The Paper Baby (I Want You Back)	Jimmy Delphs
Listen Here	Eddie Harris
Forget Me Not	Martha Reeves & The Vandellas
Valley Of The Dolls	King Curtis & The Kingpins
Congratulations	Cliff Richard
