Let Me Love You	Mario
1, 2 Step	Ciara Featuring Missy Elliott
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
My Boo	Usher And Alicia Keys
Over And Over	Nelly Featuring Tim McGraw
Disco Inferno	50 Cent
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Breakaway	Kelly Clarkson
How We Do	The Game Featuring 50 Cent
I Don't Want To Be	Gavin DeGraw
Lose My Breath	Destiny's Child
Only U	Ashanti
Get Back	Ludacris
Boulevard Of Broken Dreams	Green Day
She Will Be Loved	Maroon 5
Bring Em Out	T.I.
Goodies	Ciara Featuring Petey Pablo
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Karma	Lloyd Banks Featuring Avant
Daughters	John Mayer
Numb/Encore	Jay-Z/Linkin Park
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Dare You To Move	Switchfoot
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
Charlene	Anthony Hamilton
True	Ryan Cabrera
One Thing	Finger Eleven
New York	Ja Rule Featuring Fat Joe & Jadakiss
Lean Back	Terror Squad
Since U Been Gone	Kelly Clarkson
U Make Me Wanna	Jadakiss Featuring Mariah Carey
Beautiful Soul	Jesse McCartney
Broken	Seether Featuring Amy Lee
Karma	Alicia Keys
On The Way Down	Ryan Cabrera
Some Beach	Blake Shelton
Encore	Eminem, Dr. Dre & 50 Cent
Vertigo	U2
Awful, Beautiful Life	Darryl Worley
Back When	Tim McGraw
Gasolina	Daddy Yankee
My Happy Ending	Avril Lavigne
Breathe	Fabolous
When I Think About Cheatin'	Gretchen Wilson
Go D.J.	Lil Wayne
Shorty Wanna Ride	Young Buck
Bless The Broken Road	Rascal Flatts
You're My Better Half	Keith Urban
Lady	Lenny Kravitz
Baby It's You	JoJo Featuring Bow Wow
Mud On The Tires	Brad Paisley
Nobody's Home	Avril Lavigne
Give A Little Bit	Goo Goo Dolls
Welcome To My Life	Simple Plan
Rich Girl	Gwen Stefani Featuring Eve
Caught Up	Usher
Nothin 'Bout Love Makes Sense	LeAnn Rimes
How Am I Doin'	Dierks Bentley
Monday Morning Church	Alan Jackson
Balla Baby	Chingy
Some Cut	Trillville Featuring Cutty
Nothing On But The Radio	Gary Allan
Just Lose It	Eminem
The Woman With You	Kenny Chesney
1985	Bowling For Soup
Tempted To Touch	Rupee
Somebody Told Me	The Killers
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
Mr. Mom	Lonestar
He Gets That From Me	Reba McEntire
Mockingbird	Eminem
Sunday Morning	Maroon 5
Let's Get Blown	Snoop Dogg
Ordinary People	John Legend
I Changed My Mind	Keyshia Cole Featuring Shyne
Hush	LL Cool J Featuring 7 Aurelius
Vitamin R (Leading Us Along)	Chevelle
So Cold	Breaking Benjamin
Holy Water	Big & Rich
Fall To Pieces	Velvet Revolver
Baby Girl	Sugarland
In A Real Love	Phil Vassar
Getting Away With Murder	Papa Roach
You're The One	Guerilla Black Featuring Mario Winans
Come Home Soon	SHeDAISY
Okay	Nivea Featuring Lil Jon & YoungBloodZ
Dangerously In Love	Beyonce
Gotta Go Solo	Patti LaBelle Featuring Ron Isley
What You Waiting For?	Gwen Stefani
Take Me Home	Terror Squad
Ghetto	Akon
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Hold You Down	The Alchemist Featuring Prodigy, Illa Ghee & Nina Sky
Perdidos	Monchy & Alexandra
A Rose By Any Other Name	Teena Marie Featuring Gerald Levert
Thugs Get Lonely Too	2Pac Featuring Nate Dogg
I'll Be Around	Daryl Hall John Oates
Real Big	Mannie Fresh
