Bad Blood	Neil Sedaka
I'm Sorry	John Denver
Miracles	Jefferson Starship
Lyin' Eyes	Eagles
Ballroom Blitz	Sweet
Dance With Me	Orleans
Feelings	Morris Albert
Ain't No Way To Treat A Lady	Helen Reddy
They Just Can't Stop It the (Games People Play)	The Spinners
Who Loves You	The 4 Seasons
It Only Takes A Minute	Tavares
Fame	David Bowie
Brazil	The Ritchie Family
Heat Wave/love Is A Rose	Linda Ronstadt
Rocky	Austin Roberts
Mr. Jaws	Dickie Goodman
Something Better To Do	Olivia Newton-John
Do It Any Way You Wanna	People's Choice
Lady Blue	Leon Russell
This Will Be	Natalie Cole
The Way I Want To Touch You	Captain & Tennille
Carolina In The Pines	Michael Murphey
Low Rider	War
S.O.S.	ABBA
You	George Harrison
What A Diff'rence A Day Makes	Esther Phillips
Rhinestone Cowboy	Glen Campbell
Born To Run	Bruce Springsteen
I Only Have Eyes For You	Art Garfunkel
Rockin' All Over The World	John Fogerty
Sky High	Jigsaw
Run Joey Run	David Geddes
Blue Eyes Crying In The Rain	Willie Nelson
Sweet Sticky Thing	Ohio Players
There Goes Another Love Song	The Outlaws
Island Girl	Elton John
Wasted Days And Wasted Nights	Freddy Fender
Nights On Broadway	Bee Gees
Just Too Many People	Melissa Manchester
The Agony And The Ecstasy	Smokey Robinson
Eighteen With A Bullet	Pete Wingfield
Letting Go	Wings
At Seventeen	Janis Ian
Give It What You Got/Peace Pipe	B.T. Express
Dreaming A Dream	Crown Heights Affair
Operator	The Manhattan Transfer
Could It Be Magic	Barry Manilow
Fly, Robin, Fly	Silver Convention
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
That's The Way Of The World	Earth, Wind & Fire
Diamonds And Rust	Joan Baez
Every Day I Have To Cry Some	Arthur Alexander
Mr. D.J. (5 For The D.J.)	Aretha Franklin
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
I Want'a Do Something Freaky To You	Leon Haywood
I Get High On You	Sly Stone
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov	Jessi Colter
Fight The Power Part 1	The Isley Brothers
Katmandu	Bob Seger
Gone At Last	Paul Simon/Phoebe Snow
Hollywood Hot	The Eleventh Hour
To Each His Own	Faith, Hope And Charity
Keep On Tryin'	Poco
Manhattan Spiritual	Mike Post
Get Down Tonight	KC And The Sunshine Band
Are You Sure Hank Done It This Way	Waylon Jennings
Summer Of '42	Biddu Orchestra
I Go To Pieces	Cotton, Lloyd & Christian
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Mexico	James Taylor
Fancy Lady	Billy Preston
Dear Prudence	Katfish
Change With The Times	Van Mccoy
Easy Evil	Travis Wammack
Saturday Night	Bay City Rollers
Salsoul Hustle	The Salsoul Orchestra
So In Love	Curtis Mayfield
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
Nothin' Heavy	David Bellamy
Minstrel In The Gallery	Jethro Tull
My Little Town	Simon & Garfunkel
Secret Love	Freddy Fender
Sailing	Rod Stewart
The Other Woman	Vicki Lawrence
Our Day Will Come	Frankie Valli
I'm On Fire	5000 Volts
Since I Met You Baby	Freddy Fender
Come And Get Your Love	Roger Daltrey
Indian Love Call	Ray Stevens
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P	Cheech & Chong
A Lover's Question	Loggins & Messina
Just A Smile	Pilot
Happy	Eddie Kendricks
King Kong - Pt. I	The Jimmy Castor Bunch
Fire On The Mountain	The Marshall Tucker Band
Never Been Any Reason	Head East
More And More	Carly Simon
Hey There Little Firefly Part I	Firefly
I Don't Want To Be A Lone Ranger	Johnny Guitar Watson
Machines	John Livigni
