God's Plan	Drake
Psycho	Post Malone Featuring Ty Dolla $ign
Perfect	Ed Sheeran
Finesse	Bruno Mars & Cardi B
Havana	Camila Cabello Featuring Young Thug
Look Alive	BlocBoy JB Featuring Drake
Meant To Be	Bebe Rexha & Florida Georgia Line
Rockstar	Post Malone Featuring 21 Savage
Pray For Me	The Weeknd & Kendrick Lamar
All The Stars	Kendrick Lamar & SZA
The Middle	Zedd, Maren Morris & Grey
Stir Fry	Migos
Let You Down	NF
New Rules	Dua Lipa
Him & I	G-Eazy & Halsey
Gummo	6ix9ine
Thunder	Imagine Dragons
I Fall Apart	Post Malone
Love.	Kendrick Lamar Featuring Zacari
Mine	Bazzi
Bad At Love	Halsey
44 More	Logic
Lights Down Low	MAX Featuring gnash
Never Be The Same	Camila Cabello
Wolves	Selena Gomez X Marshmello
Bartier Cardi	Cardi B Featuring 21 Savage
How Long	Charlie Puth
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Say Something	Justin Timberlake Featuring Chris Stapleton
MotorSport	Migos, Nicki Minaj & Cardi B
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
Feel It Still	Portugal. The Man
Young Dumb & Broke	Khalid
Marry Me	Thomas Rhett
Outside Today	YoungBoy Never Broke Again
Ric Flair Drip	Offset & Metro Boomin
Sky Walker	Miguel Featuring Travis Scott
You Make It Easy	Jason Aldean
Wait	Maroon 5
Bodak Yellow (Money Moves)	Cardi B
Plain Jane	A$AP Ferg Featuring Nicki Minaj
New Freezer	Rich The Kid Featuring Kendrick Lamar
Whatever It Takes	Imagine Dragons
Heaven	Kane Brown
Sorry Not Sorry	Demi Lovato
River	Eminem Featuring Ed Sheeran
Five More Minutes	Scotty McCreery
Good Old Days	Macklemore Featuring Kesha
Broken Halos	Chris Stapleton
Dura	Daddy Yankee
Lemon	N*E*R*D & Rihanna
El Farsante	Ozuna & Romeo Santos
Walk It Talk It	Migos Featuring Drake
Pick It Up	Famous Dex Featuring A$AP Rocky
Plug Walk	Rich The Kid
Friends	Marshmello & Anne-Marie
Most People Are Good	Luke Bryan
Love Lies	Khalid & Normani
Written In The Sand	Old Dominion
Billy	6ix9ine
Want You Back	5 Seconds Of Summer
Nowadays	Lil Skies Featuring Landon Cube
KEKE	6ix9ine, Fetty Wap & A Boogie Wit da Hoodie
X	ScHoolboy Q, 2 Chainz & Saudi
Narcos	Migos
Betrayed	Lil Xan
Hardaway	Derez De'Shon
Singles You Up	Jordan Davis
All On Me	Devin Dawson
No Smoke	YoungBoy Never Broke Again
Candy Paint	Post Malone
Yours	Russell Dickerson
RONDO	6ix9ine Featuring Tory Lanez & Young Thug
You Broke Up With Me	Walker Hayes
The Long Way	Brett Eldredge
Paramedic!	SOB X RBE
Red Roses	Lil Skies Featuring Landon Cube
IDGAF	Dua Lipa
Echame La Culpa	Luis Fonsi & Demi Lovato
La Modelo	Ozuna x Cardi B
Booty	Blac Youngsta
Dark Knight Dummo	Trippie Redd Featuring Travis Scott
Beautiful Trauma	P!nk
Tell Me You Love Me	Demi Lovato
Rubbin Off The Paint	YBN Nahmir
At The Club	Jacquees X Dej Loaf
This Is Me	Keala Settle & The Greatest Showman Ensemble
I Like Me Better	Lauv
Kooda	6ix9ine
The Ways	Khalid & Swae Lee
When We	Tank
Notice Me	Migos Featuring Post Malone
Corazon	Maluma X Nego do Borel
Get You	Daniel Caesar Featuring Kali Uchis
Codeine Dreaming	Kodak Black Featuring Lil Wayne
She's With Me	High Valley
Mayores	Becky G Featuring Bad Bunny
Break Up In The End	Cole Swindell
Make Me Feel	Janelle Monae
Rock	Plies
