Windy	The Association
Little Bit O' Soul	The Music Explosion
Can't Take My Eyes Off You	Frankie Valli
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Don't Sleep In The Subway	Petula Clark
Come On Down To My Boat	Every Mothers' Son
Up -- Up And Away	The 5th Dimension
Let's Live For Today	The Grass Roots
Groovin'	The Young Rascals
The Tracks Of My Tears	Johnny Rivers
She'd Rather Be With Me	The Turtles
Light My Fire	The Doors
A Whiter Shade Of Pale	Procol Harum
Respect	Aretha Franklin
Alfie	Dionne Warwick
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
Society's Child (Baby I've Been Thinking)	Janis Ian
Ding Dong! The Witch Is Dead	The Fifth Estate
I Was Made To Love Her	Stevie Wonder
Here We Go Again	Ray Charles
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
White Rabbit	Jefferson Airplane
For Your Precious Love	Oscar Toney, Jr.
Soul Finger	Bar-Kays
I Take It Back	Sandy Posey
Make Me Yours	Bettye Swann
Mary In The Morning	Al Martino
Pay You Back With Interest	The Hollies
Mercy, Mercy, Mercy	The Buckinghams
More Love	Smokey Robinson & The Miracles
Shake, Rattle & Roll	Arthur Conley
For Your Love	Peaches & Herb
Jackson	Nancy Sinatra & Lee Hazlewood
Carrie-Anne	The Hollies
You Must Have Been A Beautiful Baby	The Dave Clark Five
Step Out Of Your Mind	The American Breed
Don't Go Out Into The Rain (You're Going To Melt)	Herman's Hermits
Don't Blame The Children	Sammy Davis Jr.
7 Rooms Of Gloom	Four Tops
Bowling Green	The Everly Brothers
Somebody To Love	Jefferson Airplane
New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
Love Me Tender	Percy Sledge
Sunday Will Never Be The Same	Spanky And Our Gang
There Goes My Everything	Engelbert Humperdinck
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
Silence Is Golden	The Tremeloes
Airplane Song (My Airplane)	The Royal Guardsmen
Release Me (And Let Me Love Again)	Engelbert Humperdinck
I Like The Way	Tommy James And The Shondells
Hypnotized	Linda Jones
You Wanted Someone To Play With (I Wanted Someone To Love)	Frankie Laine
Sound Of Love	The Five Americans
Woman Like That, Yeah	Joe Tex
Soul Dance Number Three	Wilson Pickett
You Only Live Twice	Nancy Sinatra
Soothe Me	Sam & Dave
Show Business	Lou Rawls
You Gave Me Something (And Everything's Alright)	Fantastic Four
In The Chapel In The Moonlight	Dean Martin
Let The Good Times Roll & Feel So Good	Bunny Sigler
Your Unchanging Love	Marvin Gaye
Take Me (Just As I Am)	Solomon Burke
Somebody Help Me	The Spencer Davis Group
Summer And Sandy	Lesley Gore
Who's Lovin' You	Brenda & The Tabulations
You Were On My Mind	Crispian St. Peters
Black Sheep	Sam The Sham and the Pharaohs
Baby Please Come Back Home	J.J. Barnes
Graduation Day	The Arbors
One By One	Blues Magoos
(I Wanna) Testify	The Parliaments
Now I Know	Jack Jones
I Stand Accused (Of Loving You)	The Glories
It's Cold Outside	The Choir
The Happening	Herb Alpert & The Tijuana Brass
Lonely Drifter	Pieces Of Eight
Groovy Summertime	The Love Generation
Daylight Savin' Time	Keith
I'll Do It For You	Toussaint McCall
Joy	Mitch Ryder
Pictures Of Lily	The Who
Give Me Time	Dusty Springfield
Don't Let The Rain Fall Down On Me	The Critters
I'll Always Have Faith In You	Carla Thomas
You Keep Me Hangin' On	The Vanilla Fudge
Everybody Needs Love	Gladys Knight And The Pips
The River Is Wide	The Forum
My World Fell Down	Sagittarius
Mr. Pleasant	The Kinks
Up-Up And Away	The Johnny Mann Singers
Funky Broadway Part I	Dyke And The Blazers
Temptation	Boots Randolph
What Am I Living For	Percy Sledge
More And More	Andy Williams
My Elusive Dreams	David Houston & Tammy Wynette
Washed Ashore (On A Lonely Island In The Sea)	The Platters
Omaha	Moby Grape
Blue's Theme	Davie Allan And The Arrows
Gentle On My Mind	Glen Campbell
