Crazy In Love	Beyonce Featuring Jay Z
Magic Stick	Lil' Kim Featuring 50 Cent
Rock Wit U (Awww Baby)	Ashanti
Right Thurr	Chingy
Unwell	matchbox twenty
Get Busy	Sean Paul
Bring Me To Life	Evanescence Featuring Paul McCoy
This Is The Night	Clay Aiken
Miss Independent	Kelly Clarkson
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
21 Questions	50 Cent Featuring Nate Dogg
So Gone	Monica
Drift Away	Uncle Kracker Featuring Dobie Gray
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
In Those Jeans	Ginuwine
Where Is The Love?	The Black Eyed Peas
P.I.M.P.	50 Cent
Flying Without Wings	Ruben Studdard
Can't Let You Go	Fabolous Featuring Mike Shorey & Lil' Mo
Into You	Fabolous Featuring Tamia Or Ashanti
Intuition	Jewel
Don't Wanna Try	Frankie J
No Letting Go	Wayne Wonder
Are You Happy Now?	Michelle Branch
When I'm Gone	3 Doors Down
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Beer For My Horses	Toby Keith Duet With Willie Nelson
Ignition	R. Kelly
My Front Porch Looking In	Lonestar
Like Glue	Sean Paul
Rock Your Body	Justin Timberlake
Love At 1st Sight	Mary J. Blige Featuring Method Man
Red Dirt Road	Brooks & Dunn
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
In Da Club	50 Cent
Forever And For Always	Shania Twain
Stay Gone	Jimmy Wayne
I Want You	Thalia Featuring Fat Joe
If You're Not The One	Daniel Bedingfield
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Frontin'	Pharrell Featuring Jay-Z
Act A Fool	Ludacris
Calling All Angels	Train
Celebrity	Brad Paisley
Fighter	Christina Aguilera
The Remedy (I Won't Worry)	Jason Mraz
Speed	Montgomery Gentry
No Shoes, No Shirt, No Problems	Kenny Chesney
Like A Pimp	David Banner Featuring Lil' Flip
Picture	Kid Rock Featuring Sheryl Crow Or Allison Moorer
Come Over	Aaliyah
Big Yellow Taxi	Counting Crows Featuring Vanessa Carlton
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
Addicted	Simple Plan
I Wish I Wasn't	Heather Headley
Pump It Up	Joe Budden
Snake	R. Kelly Featuring Big Tigger
My Love Is Like... Wo	Mya
The Love Song	Jeff Bates
Swing, Swing	The All-American Rejects
Put That Woman First	Jaheim
Feel Good Time	P!nk Featuring William Orbit
Dance With My Father	Luther Vandross
What Was I Thinkin'	Dierks Bentley
Headstrong	Trapt
Real Good Man	Tim McGraw
Three Wooden Crosses	Randy Travis
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Tell Me Something Bad About Tulsa	George Strait
Thoia Thoing	R. Kelly
Let's Get Down	Bow Wow Featuring Baby
99.9% Sure (I've Never Been Here Before)	Brian McComas
Love You Out Loud	Rascal Flatts
Then They Do	Trace Adkins
Send The Pain Below	Chevelle
What The World Needs	Wynonna
The Truth About Men	Tracy Byrd
Almost Home	Craig Morgan
I Believe	Diamond Rio
4 Ever	Lil' Mo Featuring Fabolous
Say Yes	Floetry
Somewhere I Belong	Linkin Park
Seven Nation Army	The White Stripes
Breathe	Blu Cantrell Featuring Sean Paul
What Would You Do?	The Isley Brothers Featuring Ronald Isley
Have You Forgotten?	Darryl Worley
In Love Wit Chu	Da Brat Featuring Cherish
Stupid Girl	Cold
Times Like These	Foo Fighters
Still Ballin	2Pac Featuring Trick Daddy
Stuck	Stacie Orrico
What A Beautiful Day	Chris Cagle
Sing For The Moment	Eminem
I'm Glad	Jennifer Lopez
Try It On My Own	Whitney Houston
I Love You	Dru Hill
Raining On Sunday	Keith Urban
Pon De River, Pon De Bank	Elephant Man
Concrete Angel	Martina McBride
Tal Vez	Ricky Martin
