In The Year 2525	Zager & Evans
Crystal Blue Persuasion	Tommy James And The Shondells
Honky Tonk Women	The Rolling Stones
What Does It Take (To Win Your Love)	Jr. Walker & The All Stars
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
Ruby, Don't Take Your Love To Town	Kenny Rogers & The First Edition
A Boy Named Sue	Johnny Cash
My Cherie Amour	Stevie Wonder
Put A Little Love In Your Heart	Jackie DeShannon
Baby, I Love You	Andy Kim
Spinning Wheel	Blood, Sweat & Tears
Mother Popcorn (You Got To Have A Mother For Me) Part 1	James Brown
Quentin's Theme	The Charles Randolph Grean Sounde
Polk Salad Annie	Tony Joe White
Color Him Father	The Winstons
My Pledge Of Love	The Joe Jeffrey Group
Good Morning Starshine	Oliver
One	Three Dog Night
Lay Lady Lay	Bob Dylan
Laughing	The Guess Who
Get Together	The Youngbloods
Love Theme From Romeo & Juliet	Henry Mancini And His Orchestra
Give Peace A Chance	Plastic Ono Band
Choice Of Colors	The Impressions
Yesterday, When I Was Young	Roy Clark
Good Old Rock 'N Roll	Cat Mother & the All Night News Boys
Along Came Jones	Ray Stevens
Reconsider Me	Johnny Adams
The Ballad Of John And Yoko	The Beatles
I'd Wait A Million Years	The Grass Roots
I'll Never Fall In Love Again	Tom Jones
Workin' On A Groovy Thing	The 5th Dimension
Doggone Right	Smokey Robinson & The Miracles
Commotion	Creedence Clearwater Revival
Clean Up Your Own Back Yard	Elvis Presley
It's Getting Better	Mama Cass
Marrakesh Express	Crosby, Stills & Nash
Moonflight	Vik Venus Alias: Your Main Moon Man
The Nitty Gritty	Gladys Knight And The Pips
Share Your Love With Me	Aretha Franklin
Sugar, Sugar	The Archies
True Grit	Glen Campbell
Soul Deep	The Box Tops
Hurt So Bad	The Lettermen
Muddy River	Johnny Rivers
Did You See Her Eyes	The Illusion
Abraham, Martin And John	Smokey Robinson & The Miracles
Green River	Creedence Clearwater Revival
On Campus	Dickie Goodman
Abergavenny	Shannon
Your Good Thing (Is About To End)	Lou Rawls
I'm Free	The Who
Birthday	Underground Sunshine
Your Husband - My Wife	Brooklyn Bridge
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool)	Candi Staton
Don't Wake Me Up In The Morning, Michael	Peppermint Rainbow
Tell All The People	The Doors
I've Lost Everything I've Ever Loved	David Ruffin
Hey Joe	Wilson Pickett
Jack And Jill	Tommy Roe
Goo Goo Barabajagal (Love Is Hot)	Donovan/Jeff Beck Group
While You're Out Looking For Sugar?	The Honey Cone
Everybody Knows Matilda	Duke Baxter
Nobody But You Babe	Clarence Reid
Break Away	The Beach Boys
Where Do I Go/Be-In/Hare Krishna	The Happenings
Till You Get Enough	The Watts 103rd Street Rhythm Band
Change Of Heart	Dennis Yost And The Classics IV
Out Of Sight, Out Of Mind	Little Anthony And The Imperials
Simple Song Of Freedom	Tim Hardin
Odds And Ends	Dionne Warwick
Let Yourself Go	The Friends Of Distinction
Don't Tell Your Mama (Where You've Been)	Eddie Floyd
Nothing Can Take The Place Of You	Brook Benton
Ease Back	The Meters
That's The Way God Planned It	Billy Preston
Easy To Be Hard	Three Dog Night
Keem-O-Sabe	The Electric Indian
Hot Fun In The Summertime	Sly & The Family Stone
When I Die	Motherlode
First Hymn From Grand Terrace	Mark Lindsay
The Young Folks	Diana Ross & The Supremes
Dynamite Woman	Sir Douglas Quintet
By The Time I Get To Phoenix	The Mad Lads
I Could Never Be President	Johnnie Taylor
In My Room	Sagittarius
One Night Affair	The O'Jays
I Take A Lot Of Pride In What I Am	Dean Martin
In A Moment	The Intrigues
Look At Mine	Petula Clark
Chelsea Morning	Judy Collins
Let's Call It A Day Girl	Bobby Vee
The Hunter	Ike & Tina Turner
Hook And Sling-Part I	Eddie Bo
Let Me Be The Man My Daddy Was	The Chi-lites
You Made A Believer (Out Of Me)	Ruby Andrews
Big Bruce	Steve Greenberg
Farewell Love Scene	Romeo & Juliet Soundtrack
Questions 67 And 68	Chicago
Who Do You Love	Quicksilver Messenger Service
