Bad Guy	Billie Eilish
Senorita	Shawn Mendes & Camila Cabello
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
Truth Hurts	Lizzo
Talk	Khalid
No Guidance	Chris Brown Featuring Drake
I Don't Care	Ed Sheeran & Justin Bieber
Ran$om	Lil Tecca
Goodbyes	Post Malone Featuring Young Thug
If I Can't Have You	Shawn Mendes
Hot Girl Summer	Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign
Sucker	Jonas Brothers
Money In The Grave	Drake Featuring Rick Ross
Someone You Loved	Lewis Capaldi
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Suge	DaBaby
The Git Up	Blanco Brown
You Need To Calm Down	Taylor Swift
Boyfriend	Ariana Grande & Social House
Beautiful People	Ed Sheeran Featuring Khalid
Hey Look Ma, I Made It	Panic! At The Disco
Dancing With A Stranger	Sam Smith & Normani
Beer Never Broke My Heart	Luke Combs
Pop Out	Polo G Featuring Lil Tjay
Without Me	Halsey
Wow.	Post Malone
The London	Young Thug, J. Cole & Travis Scott
Speechless	Dan + Shay
7 Rings	Ariana Grande
Happier	Marshmello & Bastille
All To Myself	Dan + Shay
Knockin' Boots	Luke Bryan
My Type	Saweetie
Baby	Lil Baby & DaBaby
God's Country	Blake Shelton
Panini	Lil Nas X
How Do You Sleep?	Sam Smith
Whiskey Glasses	Morgan Wallen
Cash Shit	Megan Thee Stallion Featuring DaBaby
Shotta Flow	NLE Choppa
Rearview Town	Jason Aldean
Sweet But Psycho	Ava Max
Otro Trago	Sech, Darell, Nicky Jam, Ozuna & Anuel AA
China	Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin
Better	Khalid
One Thing Right	Marshmello & Kane Brown
Trampoline	SHAED
Going Bad	Meek Mill Featuring Drake
Queen Of Mean	Sarah Jeffery
Never Really Over	Katy Perry
Clout	Offset Featuring Cardi B
The Ones That Didn't Make It Back Home	Justin Moore
Only Human	Jonas Brothers
Callaita	Bad Bunny & Tainy
Raised On Country	Chris Young
Easier	5 Seconds Of Summer
Go Loko	YG, Tyga & Jon Z
Talk You Out Of It	Florida Georgia Line
Gold Roses	Rick Ross Featuring Drake
Call You Mine	The Chainsmokers & Bebe Rexha
Press	Cardi B
I Don't Know About You	Chris Lane
ME!	Taylor Swift Featuring Brendon Urie
Mac 10	Trippie Redd Featuring Lil Baby & Lil Duke
Time	NF
Soltera	Lunay, Daddy Yankee & Bad Bunny
Living	Dierks Bentley
Southbound	Carrie Underwood
Just Us	DJ Khaled Featuring SZA
Lalala	Y2K & bbno$
No Me Conoce	Jhay Cortez, J Balvin & Bad Bunny
It's You	Ali Gatie
Hate Me	Ellie Goulding & Juice WRLD
Some Of It	Eric Church
Love You Too Late	Cole Swindell
EARFQUAKE	Tyler, The Creator
Tip Of My Tongue	Kenny Chesney
Daddy	Blueface & Rich The Kid
Ballin'	Mustard & Roddy Ricch
We Were	Keith Urban
Small Talk	Katy Perry
Prayed For You	Matt Stell
Right Back	Khalid Featuring A Boogie Wit da Hoodie
Night Falls	Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair
What Happens In A Small Town	Brantley Gilbert + Lindsay Ell
On Chill	Wale Featuring Jeremih
Snake Skin	Trippie Redd
24/7	Meek Mill Featuring Ella Mai
Uno	Ambjaay
Buy My Own Drinks	Runaway June
Love Ain't	Eli Young Band
F.N	Lil Tjay
Baby Sitter	DaBaby Featuring Offset
Sanguine Paradise	Lil Uzi Vert
Rodeo	Lil Nas X & Cardi B Or Nas
What If I Never Get Over You	Lady Antebellum
Tap	NAV Featuring Meek Mill
La La Land	Bryce Vine Featuring YG
Que Pretendes	J Balvin & Bad Bunny
Single Again	Big Sean
