Diamonds	Rihanna
One More Night	Maroon 5
Die Young	Ke$ha
Locked Out Of Heaven	Bruno Mars
Some Nights	fun.
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Gangnam Style	PSY
Ho Hey	The Lumineers
We Are Never Ever Getting Back Together	Taylor Swift
I Cry	Flo Rida
Too Close	Alex Clare
Home	Phillip Phillips
Don't Wake Me Up	Chris Brown
As Long As You Love Me	Justin Bieber Featuring Big Sean
Clique	Kanye West, Jay-Z, Big Sean
Cruise	Florida Georgia Line Featuring Nelly
Adorn	Miguel
Blow Me (One Last Kiss)	P!nk
Swimming Pools (Drank)	Kendrick Lamar
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Skyfall	Adele
It's Time	Imagine Dragons
Good Time	Owl City & Carly Rae Jepsen
Everybody Talks	Neon Trees
The A Team	Ed Sheeran
Va Va Voom	Nicki Minaj
Lights	Ellie Goulding
50 Ways To Say Goodbye	Train
Girl On Fire	Alicia Keys Featuring Nicki Minaj
I Will Wait	Mumford & Sons
Call Me Maybe	Carly Rae Jepsen
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Kiss Tomorrow Goodbye	Luke Bryan
Thinkin Bout You	Frank Ocean
Somebody That I Used To Know	Gotye Featuring Kimbra
Wanted	Hunter Hayes
Whistle	Flo Rida
Blown Away	Carrie Underwood
Feel Again	OneRepublic
Little Things	One Direction
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Hard To Love	Lee Brice
Payphone	Maroon 5 Featuring Wiz Khalifa
Titanium	David Guetta Featuring Sia
Wide Awake	Katy Perry
Hall Of Fame	The Script Featuring will.i.am
Try	P!nk
The One That Got Away	Jake Owen
No Worries	Lil Wayne Featuring Detail
Come Wake Me Up	Rascal Flatts
Fastest Girl In Town	Miranda Lambert
Birthday Song	2 Chainz Featuring Kanye West
Til My Last Day	Justin Moore
Anything Could Happen	Ellie Goulding
Beer Money	Kip Moore
Every Storm (Runs Out Of Rain)	Gary Allan
Better Dig Two	The Band Perry
Don't Stop The Party	Pitbull Featuring TJR
2 Reasons	Trey Songz Featuring T.I.
Goodbye In Her Eyes	Zac Brown Band
Madness	Muse
Turn On The Lights	Future
Creepin'	Eric Church
A Thousand Years (Part 2)	Christina Perri Featuring Steve Kazee
Live While We're Young	One Direction
How Country Feels	Randy Houser
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Radioactive	Imagine Dragons
Southern Comfort Zone	Brad Paisley
Begin Again	Taylor Swift
Catch My Breath	Kelly Clarkson
Did It For The Girl	Greg Bates
Take A Little Ride	Jason Aldean
I Knew You Were Trouble.	Taylor Swift
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Diced Pineapples	Rick Ross Featuring Wale & Drake
Ball	T.I. Featuring Lil Wayne
Wicked Games	The Weeknd
El Cerrito Place	Kenny Chesney
Pound The Alarm	Nicki Minaj
Your Body	Christina Aguilera
Put It Down	Brandy Featuring Chris Brown
Lovin' You Is Fun	Easton Corbin
Dance For You	Beyonce
Tornado	Little Big Town
Don't Judge Me	Chris Brown
Ready Or Not	Bridgit Mendler
Ice	Kelly Rowland Featuring Lil Wayne
Just A Fool	Christina Aguilera With Blake Shelton
Take A Walk	Passion Pit
Poetic Justice	Kendrick Lamar Featuring Drake
Kiss You	One Direction
Young & Gettin' It	Meek Mill Featuring Kirko Bangz
Sweet Nothing	Calvin Harris Featuring Florence Welch
I'm Different	2 Chainz
Dive In	Trey Songz
Celebration	Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne
