Call Me Maybe	Carly Rae Jepsen
Somebody That I Used To Know	Gotye Featuring Kimbra
Payphone	Maroon 5 Featuring Wiz Khalifa
Wide Awake	Katy Perry
We Are Young	fun. Featuring Janelle Monae
What Makes You Beautiful	One Direction
Starships	Nicki Minaj
Where Have You Been	Rihanna
Wild Ones	Flo Rida Featuring Sia
Boyfriend	Justin Bieber
Scream	Usher
Lights	Ellie Goulding
Glad You Came	The Wanted
Back In Time	Pitbull
Titanium	David Guetta Featuring Sia
Drunk On You	Luke Bryan
Drive By	Train
Brokenhearted	Karmin
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Springsteen	Eric Church
As Long As You Love Me	Justin Bieber Featuring Big Sean
Stronger (What Doesn't Kill You)	Kelly Clarkson
Feel So Close	Calvin Harris
Everybody Talks	Neon Trees
I Won't Give Up	Jason Mraz
Give Your Heart A Break	Demi Lovato
The Motto	Drake Featuring Lil Wayne
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Work Hard, Play Hard	Wiz Khalifa
Come Over	Kenny Chesney
Drank In My Cup	Kirko Bangz
Take Care	Drake Featuring Rihanna
Even If It Breaks Your Heart	Eli Young Band
Part Of Me	Katy Perry
Good Girl	Carrie Underwood
Climax	Usher
Cashin' Out	Ca$h Out
Rumour Has It	Adele
Somethin' 'Bout A Truck	Kip Moore
5-1-5-0	Dierks Bentley
Some Nights	fun.
Faded	Tyga Featuring Lil Wayne
Set Fire To The Rain	Adele
Let's Go	Calvin Harris Featuring Ne-Yo
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
We Found Love	Rihanna Featuring Calvin Harris
One Thing	One Direction
We Run The Night	Havana Brown Featuring Pitbull
You Don't Know Her Like I Do	Brantley Gilbert
Sexy And I Know It	LMFAO
(Kissed You) Good Night	Gloriana
Heart Attack	Trey Songz
Birthday Cake	Rihanna Featuring Chris Brown
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Pontoon	Little Big Town
Both Of Us	B.o.B Featuring Taylor Swift
Beers Ago	Toby Keith
No Lie	2 Chainz Featuring Drake
Wanted	Hunter Hayes
Tongue Tied	Grouplove
Lemme See	Usher Featuring Rick Ross
Leave You Alone	Young Jeezy Featuring Ne-Yo
Time Is Love	Josh Turner
Burn It Down	Linkin Park
Angel Eyes	Love And Theft
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
Too Close	Alex Clare
How We Do (Party)	Rita Ora
Fly Over States	Jason Aldean
Postcard From Paris	The Band Perry
Nobody's Perfect	J. Cole Featuring Missy Elliott
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Ho Hey	The Lumineers
My Homies Still	Lil Wayne Featuring Big Sean
Want U Back	Cher Lloyd
Dance Again	Jennifer Lopez Featuring Pitbull
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
For You	Keith Urban
Little Talks	Of Monsters And Men
No Hurry	Zac Brown Band
Chasing The Sun	The Wanted
Cowboys And Angels	Dustin Lynch
Why Ya Wanna	Jana Kramer
Right By My Side	Nicki Minaj Featuring Chris Brown
Crew Love	Drake Featuring The Weeknd
Whistle	Flo Rida
Ayy Ladies	Travis Porter Featuring Tyga
Midnight City	M83.
Over	Blake Shelton
All Around The World	Justin Bieber Featuring Ludacris
She's So Mean	matchbox twenty
It's Time	Imagine Dragons
Eyes Open	Taylor Swift
So Good	B.o.B
Glass	Thompson Square
Hard To Love	Lee Brice
Snap Backs & Tattoos	Driicky Graham
Ai Se Eu Te Pego	Michel Telo
Gold On The Ceiling	The Black Keys
Turn Up The Music	Chris Brown
