Butter	BTS
Good 4 U	Olivia Rodrigo
Levitating	Dua Lipa Featuring DaBaby
Kiss Me More	Doja Cat Featuring SZA
Montero (Call Me By Your Name)	Lil Nas X
Bad Habits	Ed Sheeran
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Save Your Tears	The Weeknd & Ariana Grande
Deja Vu	Olivia Rodrigo
Astronaut In The Ocean	Masked Wolf
Rapstar	Polo G
You Right	Doja Cat & The Weeknd
Am I The Only One	Aaron Lewis
Blinding Lights	The Weeknd
Without You	The Kid LAROI
Thot Shit	Megan Thee Stallion
Forever After All	Luke Combs
Heartbreak Anniversary	Giveon
Fancy Like	Walker Hayes
Every Chance I Get	DJ Khaled Featuring Lil Baby & Lil Durk
Famous Friends	Chris Young + Kane Brown
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Best Friend	Saweetie Featuring Doja Cat
Lil Bit	Nelly & Florida Georgia Line
Single Saturday Night	Cole Swindell
Heat Waves	Glass Animals
Leave Before You Love Me	Marshmello X Jonas Brothers
Wants And Needs	Drake Featuring Lil Baby
Yonaguni	Bad Bunny
Blame It On You	Jason Aldean
Late At Night	Roddy Ricch
Drivers License	Olivia Rodrigo
Telepatia	Kali Uchis
Glad You Exist	Dan + Shay
Mood	24kGoldn Featuring iann dior
Wockesha	Moneybagg Yo
Traitor	Olivia Rodrigo
Todo de Ti	Rauw Alejandro
Drinkin' Beer. Talkin' God. Amen.	Chase Rice Featuring Florida Georgia Line
Ain't Shit	Doja Cat
pov	Ariana Grande
My Ex's Best Friend	Machine Gun Kelly X blackbear
WUSYANAME	Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign
Calling My Phone	Lil Tjay Featuring 6LACK
Beggin'	Maneskin
Ball If I Want To	DaBaby
Gone	Dierks Bentley
Wasting Time	Brent Faiyaz Featuring Drake
Red Light Green Light	DaBaby
Things A Man Oughta Know	Lainey Wilson
Favorite Crime	Olivia Rodrigo
Settling Down	Miranda Lambert
Way Less Sad	AJR
Straightenin	Migos
Ski	Young Thug & Gunna
AM	Nio Garcia X J Balvin X Bad Bunny
Arcade	Duncan Laurence
Happier	Olivia Rodrigo
You	Regard x Troye Sivan x Tate McRae
my.life	J. Cole, 21 Savage & Morray
Chasing After You	Ryan Hurd With Maren Morris
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
Need To Know	Doja Cat
Track Star	Mooski
One Too Many	Keith Urban Duet With P!nk
Hats Off	Lil Baby, Lil Durk & Travis Scott
Brutal	Olivia Rodrigo
Build A Bitch	Bella Poarch
Breaking Up Was Easy In The 90's	Sam Hunt
Country Again	Thomas Rhett
Fiel	Los Legendarios, Wisin & Jhay Cortez
Renegade	Big Red Machine Featuring Taylor Swift
Waves	Luke Bryan
We Didn't Have Much	Justin Moore
Minimum Wage	Blake Shelton
Follow You	Imagine Dragons
Jealousy, Jealousy	Olivia Rodrigo
Come Through	H.E.R. Featuring Chris Brown
Twerkulator	City Girls
Cry No More	G Herbo Featuring Polo G & Lil Tjay
Essence	Wizkid Featuring Tems
A-O-K	Tai Verdes
4 Da Gang	42 Dugg & Roddy Ricch
Tombstone	Rod Wave
Made For You	Jake Owen
Having Our Way	Migos Featuring Drake
My Boy	Elvie Shane
transparentsoul	Willow Featuring Travis Barker
You Should Probably Leave	Chris Stapleton
I Was On A Boat That Day	Old Dominion
Outside	MO3 X OG Bobby Billions
Working	Tate McRae X Khalid
Miss The Rage	Trippie Redd & Playboi Carti
Cold Beer Calling My Name	Jameson Rodgers Featuring Luke Combs
All I Know So Far	P!nk
What's Next	Drake
Enough For You	Olivia Rodrigo
Juggernaut	Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams
Tell Em	Cochise & $NOT
