Blue Velvet	Bobby Vinton
Sally, Go 'round The Roses	The Jaynetts
Be My Baby	The Ronettes
Heat Wave	Martha & The Vandellas
My Boyfriend's Back	The Angels
Then He Kissed Me	The Crystals
Wonderful! Wonderful!	The Tymes
Mickey's Monkey	The Miracles
Cry Baby	Garnet Mimms & The Enchanters
If I Had A Hammer	Trini Lopez
Surfer Girl	The Beach Boys
A Walkin' Miracle	The Essex Featuring Anita Humes
Busted	Ray Charles and his Orchestra
The Monkey Time	Major Lance
Little Deuce Coupe	The Beach Boys
Martian Hop	The Ran-Dells
The Kind Of Boy You Can't Forget	The Raindrops
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Sugar Shack	Jimmy Gilmer And The Fireballs
Honolulu Lulu	Jan & Dean
Painted, Tainted Rose	Al Martino
Hey, Girl	Freddie Scott
You Can Never Stop Me Loving You	Johnny Tillotson
Part Time Love	Little Johnny Taylor
Only In America	Jay & The Americans
Wham!	Lonnie Mack
Hey There Lonely Boy	Ruby And The Romantics
Mockingbird	Inez Foxx with Charlie Foxx
I Can't Stay Mad At You	Skeeter Davis
Bust Out	The Busters
Talk To Me	Sunny & The Sunglows
Mean Woman Blues	Roy Orbison
Donna The Prima Donna	Dion (Di Muci)
Don't Think Twice, It's All Right	Peter, Paul & Mary
That Sunday, That Summer	Nat King Cole
Blowin' In The Wind	Peter, Paul & Mary
Denise	Randy & The Rainbows
Hello Heartache, Goodbye Love	Little Peggy March
Why Don't You Believe Me	The Duprees featuring Joey Vann
Frankie And Johnny	Sam Cooke
I'll Take You Home	The Drifters
More	Vic Dana
Birthday Party	The Pixies Three
Treat My Baby Good	Bobby Darin
Blue Bayou	Roy Orbison
Fools Rush In	Rick Nelson
Two Tickets To Paradise	Brook Benton
More	Kai Winding & Orchestra
Please Don't Talk To The Lifeguard	Diane Ray
Candy Girl	The 4 Seasons
I Want To Stay Here	Steve & Eydie
Make The World Go Away	Timi Yuro
Betty In Bermudas	The Dovells
The Lonely Surfer	Jack Nitzsche
What Does A Girl Do?	The Shirelles
Danke Schoen	Wayne Newton And The Newton Brothers
Straighten Up Your Heart	Barbara Lewis
Deep Purple	Nino Tempo & April Stevens
A Love So Fine	The Chiffons
8 X 10	Bill Anderson
Fingertips - Pt 2	Little Stevie Wonder
Surfer Joe	The Surfaris
This Is My Prayer	Theola Kilgore
China Nights (Shina No Yoru)	Kyu Sakamoto
It's Too Late	Wilson Pickett
Maria Elena	Los Indios Tabajaras
I'm Confessin' (That I Love You)	Frank Ifield
Wipe Out	The Surfaris
Washington Square	The Village Stompers
You Lost The Sweetest Boy	Mary Wells
September Song	Jimmy Durante
He's Mine (I Love Him, I Love Him, I Love Him)	Alice Wonder Land
Red Sails In The Sunset	Fats Domino
The Grass Is Greener	Brenda Lee
(Native Girl) Elephant Walk	Donald Jenkins & The Delighters
Enamorado	Keith Colley
Teenage Cleopatra	Tracey Dey
My Babe	The Righteous Brothers
(I Cried at) Laura's Wedding	Barbara Lynn
Cry To Me	Betty Harris
She's A Fool	Lesley Gore
Cross Fire!	The Orlons
Down The Aisle (Wedding Song)	Patti LaBelle And The Blue Belles
Cindy's Gonna Cry	Johnny Crawford
Tell Me The Truth	Nancy Wilson
It's All Right	The Impressions
Baby Get It (And Don't Quit It)	Jackie Wilson
That's How It Goes	George Maharis
Strange Feeling	Billy Stewart
(Down At) Papa Joe's	The Dixiebelles
Blue Guitar	Richard Chamberlain
Mr. Wishing Well	Nat King Cole
Night Life	Rusty Draper
Jenny Brown	The Smothers Brothers
Nick Teen And Al K. Hall	Rolf Harris
Sweet Impossible You	Brenda Lee
Little Eeefin Annie	Joe Perkins
Everybody Go Home	Eydie Gorme
Point Panic	The Surfaris
Let's Make Love Tonight	Bobby Rydell
