Baby Boy	Beyonce Featuring Sean Paul
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Right Thurr	Chingy
Frontin'	Pharrell Featuring Jay-Z
Damn!	YoungBloodZ Featuring Lil Jon
P.I.M.P.	50 Cent
Into You	Fabolous Featuring Tamia Or Ashanti
Stand Up	Ludacris Featuring Shawnna
Where Is The Love?	The Black Eyed Peas
Unwell	matchbox twenty
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Here Without You	3 Doors Down
Crazy In Love	Beyonce Featuring Jay Z
Can't Stop, Won't Stop	Young Gunz
Rain On Me	Ashanti
Thoia Thoing	R. Kelly
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
My Love Is Like... Wo	Mya
The Remedy (I Won't Worry)	Jason Mraz
Holidae In	Chingy Featuring Ludacris & Snoop Dogg
Suga Suga	Baby Bash Featuring Frankie J
Calling All Angels	Train
Drift Away	Uncle Kracker Featuring Dobie Gray
Step In The Name Of Love	R. Kelly
Harder To Breathe	Maroon 5
Real Good Man	Tim McGraw
What Was I Thinkin'	Dierks Bentley
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Ooh!	Mary J. Blige
So Far Away	Staind
The Boys Of Summer	The Ataris
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Headstrong	Trapt
Walked Outta Heaven	Jagged Edge
Tough Little Boys	Gary Allan
Forever And For Always	Shania Twain
Bring Me To Life	Evanescence Featuring Paul McCoy
The Way You Move	OutKast Featuring Sleepy Brown
Bigger Than My Body	John Mayer
This One's For The Girls	Martina McBride
Come Over	Aaliyah
Who Wouldn't Wanna Be Me	Keith Urban
I Love This Bar	Toby Keith
Dance With My Father	Luther Vandross
Someday	Nickelback
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
I Melt	Rascal Flatts
Senorita	Justin Timberlake
Are You Happy Now?	Michelle Branch
Let's Get Down	Bow Wow Featuring Baby
So Yesterday	Hilary Duff
No Shoes, No Shirt, No Problems	Kenny Chesney
Faint	Linkin Park
A Few Questions	Clay Walker
Clubbin	Marques Houston Featuring Joe Budden & Pied Piper
Got Some Teeth	Obie Trice
Low	Kelly Clarkson
Stacy's Mom	Fountains Of Wayne
Bright Lights	matchbox twenty
Red Dirt Road	Brooks & Dunn
Wave On Wave	Pat Green
Read Your Mind	Avant
In Those Jeans	Ginuwine
White Flag	Dido
Heaven	Live
Why Can't I?	Liz Phair
(There's Gotta Be) More To Life	Stacie Orrico
Walk A Little Straighter	Billy Currington
Cowboys Like Us	George Strait
Weak And Powerless	A Perfect Circle
Show Me How To Live	Audioslave
Signs Of Love Makin'	Tyrese
Like Glue	Sean Paul
Wat Da Hook Gon Be	Murphy Lee Featuring Jermaine Dupri
I Can Only Imagine	MercyMe
Addicted	Simple Plan
24's	T.I.
Celebrity	Brad Paisley
If I Can't	50 Cent
Lovin' All Night	Patty Loveless
Knock Knock	Monica
Amazing	Josh Kelley
Where The Hood At	DMX
Danger	Erykah Badu
Pon De River, Pon De Bank	Elephant Man
Naggin	Ying Yang Twins
Hole In The World	Eagles
Officially Missing You	Tamia
I Want You	Thalia Featuring Fat Joe
Milkshake	Kelis
Girls And Boys	Good Charlotte
Honesty (Write Me A List)	Rodney Atkins
Did My Time	Korn
Light Your A** On Fire	Busta Rhymes
Crazy	Javier
This Is The Night	Clay Aiken
Then They Do	Trace Adkins
Rest In Pieces	Saliva
Find A Way	Dwele
