Play That Funky Music	Wild Cherry
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
I'd Really Love To See You Tonight	England Dan & John Ford Coley
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
You'll Never Find Another Love Like Mine	Lou Rawls
Lowdown	Boz Scaggs
Devil Woman	Cliff Richard
Summer	War
If You Leave Me Now	Chicago
You Should Be Dancing	Bee Gees
Say You Love Me	Fleetwood Mac
With Your Love	Jefferson Starship
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots
Don't Go Breaking My Heart	Elton John & Kiki Dee
A Little Bit More	Dr. Hook
Still The One	Orleans
Getaway	Earth, Wind & Fire
Who'd She Coo?	Ohio Players
Wham Bam (Shang-A-Lang)	Silver
She's Gone	Daryl Hall John Oates
That'll Be The Day	Linda Ronstadt
Shower The People	James Taylor
Rock'n Me	Steve Miller
Let 'em In	Wings
Heaven Must Be Missing An Angel (part 1)	Tavares
Magic Man	Heart
Street Singin'	Lady Flash
One Love In My Lifetime	Diana Ross
This Masquerade	George Benson
Baby, I Love Your Way	Peter Frampton
(Don't Fear) The Reaper	Blue Oyster Cult
I Can't Hear You No More/Music Is My Life	Helen Reddy
Don't Stop Believin'	Olivia Newton-John
Kiss And Say Goodbye	The Manhattans
I Only Want To Be With You	Bay City Rollers
Superstar	Paul Davis
(The System Of) Doctor Tarr And Professor Fether	The Alan Parsons Project
Get The Funk Out Ma Face	The Brothers Johnson
It's O.k.	The Beach Boys
Sunrise	Eric Carmen
You Are The Woman	Firefall
The Wreck Of The Edmund Fitzgerald	Gordon Lightfoot
Popsicle Toes	Michael Franks
Beth/Detroit Rock City	KISS
Can You Do It	Grand Funk Railroad
Take A Hand	Rick Springfield
Fernando	ABBA
The Best Disco In Town	The Ritchie Family
Get Up Offa That Thing	James Brown
You Are My Starship	Norman Connors
Love Is Alive	Gary Wright
Did You Boogie (With Your Baby)	Flash Cadillac And The Continental Kids
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Turn The Beat Around	Vicki Sue Robinson
Rock And Roll Music	The Beach Boys
Like A Sad Song	John Denver
Nadia's Theme (The Young And The Restless)	Barry DeVorzon And Perry Botikin Jr.
Funny How Time Slips Away	Dorothy Moore
Got To Get You Into My Life	The Beatles
Queen Of My Soul	Average White Band
Howzat	Sherbet
The Rubberband Man	The Spinners
Don't Think....Feel	Neil Diamond
Harvest For The World	The Isley Brothers
Hard Work	John Handy
The More You Do It (The More I Like It Done To Me)	Ronnie Dyson
Goofus	Carpenters
Teddy Bear's Last Ride	Diana Williams
Teddy Bear	Red Sovine
Love So Right	Bee Gees
Message In Our Music	The O'Jays
I Got To Know	Starbuck
Last Child	Aerosmith
Anything You Want	John Valenti
Satin Sheets	Bellamy Brothers
Mr. Melody	Natalie Cole
Do You Feel Like We Do	Peter Frampton
The Princess And The Punk	Barry Mann
Love Of My Life	Gino Vannelli
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
Rocky Mountain Music	Eddie Rabbitt
This One's For You	Barry Manilow
Heart On My Sleeve	Gallagher And Lyle
It's Only Love	ZZ Top
Just To Be Close To You	Commodores
More Than A Feeling	Boston
Nice 'N' Naasty	The Salsoul Orchestra
One For The Money (part 1)	The Whispers
It's A Long Way There	Little River Band
Gimme Your Money Please	Bachman-Turner Overdrive
My Sweet Summer Suite	Love Unlimited Orchestra
Made To Love You	Gary Wright
Cowboy Song	Thin Lizzy
The End Is Not In Sight (the Cowboy Tune)	Amazing Rhythm Aces
Sweet Summer Music	Attitudes
Showdown	Electric Light Orchestra
Sun...Sun...Sun...Pt. I	Ja-Kki
Afternoon Delight	Starland Vocal Band
Roxy Roller	Sweeney Todd Featuring Bryan Guy Adams
Let's Be Young Tonight	Jermaine Jackson
