The Morning After	Maureen McGovern
Live And Let Die	Wings
Brother Louie	Stories
Touch Me In The Morning	Diana Ross
Bad, Bad Leroy Brown	Jim Croce
Smoke On The Water	Deep Purple
Let's Get It On	Marvin Gaye
Yesterday Once More	Carpenters
Uneasy Rider	Charlie Daniels
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Feelin' Stronger Every Day	Chicago
I Believe In You (You Believe In Me)	Johnnie Taylor
Get Down	Gilbert O'Sullivan
Shambala	Three Dog Night
Delta Dawn	Helen Reddy
Diamond Girl	Seals & Crofts
Here I Am Come & Take Me	Al Green
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
If You Want Me To Stay	Sly & The Family Stone
Will It Go Round In Circles	Billy Preston
Money	Pink Floyd
Are You Man Enough	Four Tops
Natural High	Bloodstone
Angel	Aretha Franklin
How Can I Tell Her	Lobo
So Very Hard To Go	Tower Of Power
Gypsy Man	War
Where Peaceful Waters Flow	Gladys Knight And The Pips
Behind Closed Doors	Charlie Rich
Boogie Woogie Bugle Boy	Bette Midler
A Million To One/Young Love	Donny Osmond
I Was Checkin' Out She Was Checkin' In	Don Covay
Misdemeanor	Foster Sylvers
Saturday Night's Alright For Fighting	Elton John
Nobody Wants You When You're Down And Out	Bobby Womack
The Hurt	Cat Stevens
You Light Up My Life/Believe In Humanity	Carole King
Kodachrome	Paul Simon
Playground In My Mind	Clint Holmes
I'll Always Love My Mama (Part I)	The Intruders
Right Place Wrong Time	Dr. John
That Lady (Part 1)	The Isley Brothers
Long Train Runnin'	The Doobie Brothers
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Give Me Love - (Give Me Peace On Earth)	George Harrison
Soul Makossa	Manu Dibango
There It Is	Tyrone Davis
Clouds	David Gates
Future Shock	Curtis Mayfield
Love, Love, Love	Donny Hathaway
Baby I've Been Missing You	The Independents
Why Me	Kris Kristofferson
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Everyone's Agreed That Everything Will Turn Out Fine	Stealers Wheel
Doing It To Death	Fred Wesley & The J.B.'s
There's No Me Without You	The Manhattans
We're An American Band	Grand Funk
Sweet Charlie Babe	Jackie Moore
My Love	Paul McCartney And Wings
My Maria	B.W. Stevenson
Sweet Harmony	Smokey Robinson
Satin Sheets	Jeanne Pruett
Stoned Out Of My Mind	The Chi-lites
Over The Hills And Far Away	Led Zeppelin
Roll Over Beethoven	Electric Light Orchestra
Sixty Minute Man/Mother-In-Law	Clarence Carter
Darling Come Back Home	Eddie Kendricks
Lord, Mr. Ford	Jerry Reed
It's Forever	The Ebonys
Didn't I	Sylvia (r&b)
Bongo Rock	The Incredible Bongo Band
I've Got So Much To Give	Barry White
Pillow Talk	Sylvia (r&b)
Tequila Sunrise	Eagles
To Know You Is To Love You	B.B. King
I'm Gonna Love You Just A Little More Baby	Barry White
You've Never Been This Far Before	Conway Twitty
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
One Tin Soldier (The Legend of Billy Jack)	Coven
Think	James Brown
Free Ride	Edgar Winter Group
Top Of The World	Lynn Anderson
Hang Loose	Mandrill
Just Don't Want To Be Lonely	Ronnie Dyson
Billion Dollar Babies	Alice Cooper
Half-Breed	Cher
Twisting The Night Away	Rod Stewart
Jimmy Loves Mary-Anne	Looking Glass
Sylvia	Focus
Show Biz Kids	Steely Dan
Don't Let It End ('til You Let It Begin)	The Miracles
Loving Arms	Dobie Gray
Evil	Earth, Wind & Fire
All I Need Is Time	Gladys Knight And The Pips
Slick	Willie Hutch
Ecstasy	Ohio Players
The Long Way Home	Neil Diamond
L.a. Freeway	Jerry Jeff Walker
Rocky Mountain Way	Joe Walsh
Freedom For The Stallion	The Hues Corporation
