Wild, Wild West	The Escape Club
Kokomo (From"Cocktail" )	The Beach Boys
The Loco-Motion	Kylie Minogue
Bad Medicine	Bon Jovi
One Moment In Time	Whitney Houston
Desire	U2
Groovy Kind Of Love	Phil Collins
Baby, I Love Your Way/Freebird Medley	Will To Power
Kissing A Fool	George Michael
Never Tear Us Apart	INXS
How Can I Fall?	Breathe
Look Away	Chicago
Another Lover	Giant Steps
Don't Know What You Got (Till It's Gone)	Cinderella
I Don't Want Your Love	Duran Duran
Giving You The Best That I Got	Anita Baker
Waiting For A Star To Fall	Boy Meets Girl
What's On Your Mind (Pure Energy)	Information Society
A Word In Spanish	Elton John
Red Red Wine	UB40
Walk On Water	Eddie Money
The Promise	When In Rome
Don't You Know What The Night Can Do?	Steve Winwood
Welcome To The Jungle	Guns N' Roses
Chains Of Love	Erasure
Domino Dancing	Pet Shop Boys
Edge Of A Broken Heart	Vixen
Love Bites	Def Leppard
Finish What Ya Started	Van Halen
Don't Be Cruel	Bobby Brown
Small World	Huey Lewis & The News
Every Rose Has Its Thorn	Poison
My Prerogative	Bobby Brown
Forever Young	Rod Stewart
Spy In The House Of Love	Was (Not Was)
In Your Room	The Bangles
Downtown Life	Daryl Hall John Oates
Till I Loved You	Barbra Streisand & Don Johnson
Early In The Morning	Robert Palmer
Not Just Another Girl	Ivan Neville
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Symptoms Of True Love	Tracie Spencer
I Remember Holding You	Boys Club
Any Love	Luther Vandross
I'll Always Love You	Taylor Dayne
Yeah, Yeah, Yeah	Judson Spence
The Way You Love Me	Karyn White
Boy, I've Been Told	SaFire
Silhouette	Kenny G
Time And Tide	Basia
Don't Be Cruel	Cheap Trick
It Takes Two	Rob Base & D.J. E-Z Rock
True Love	Glenn Frey
Cars With The Boom	L'Trimm
Please Don't Go Girl	New Kids On The Block
Don't Rush Me	Taylor Dayne
Hippy Hippy Shake (From "Cocktail")	The Georgia Satellites
Little Liar	Joan Jett & the Blackhearts
Thanks For My Child	Cheryl Pepsii Riley
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Didn't Know It Was Love	Survivor
Handle With Care	Traveling Wilburys
Peek-A-Boo	Siouxsie & The Banshees
Ghost Town	Cheap Trick
Wild World	Maxi Priest
Smooth Criminal	Michael Jackson
Best Of Times	Peter Cetera
Rock & Roll Strategy	Thirty Eight Special
Dancing Under A Latin Moon	Candi
Sweet Child O' Mine	Guns N' Roses
Put A Little Love In Your Heart	Annie Lennox & Al Green
Girls Ain't Nothing But Trouble	D.J. Jazzy Jeff & The Fresh Prince
Don't Break My Heart	Romeo's Daughter
Dance Little Sister	Terence Trent D'Arby
Baby Can I Hold You	Tracy Chapman
Put This Love To The Test	Jon Astley
You Came	Kim Wilde
It's Money That Matters	Randy Newman
If It Isn't Love	New Edition
One Good Woman	Peter Cetera
All This Time	Tiffany
Forever Young	Alphaville
When The Children Cry	White Lion
Nobody's Perfect	Mike + The Mechanics
Never Let You Go	Sweet Sensation
You Make Me Work	Cameo
Back On Holiday	Robbie Nevil
(It's Just) The Way That You Love Me	Paula Abdul
I Wanna Have Some Fun	Samantha Fox
I'm Gonna Miss You	Kenny Loggins
The Lover In Me	Sheena Easton
Got A New Love	Good Question
Simply Irresistible	Robert Palmer
I Can't Wait	Deniece Williams
Fallen Angel	Poison
If You Feel It	Denise Lopez
I Believe In You	Stryper
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Way Out	J.J. Fad
You're Not My Kind Of Girl	New Edition
