Respect	Aretha Franklin
Groovin'	The Young Rascals
I Got Rhythm	The Happenings
Release Me (And Let Me Love Again)	Engelbert Humperdinck
Him Or Me - What's It Gonna Be?	Paul Revere & The Raiders
Somebody To Love	Jefferson Airplane
She'd Rather Be With Me	The Turtles
Little Bit O' Soul	The Music Explosion
All I Need	The Temptations
Creeque Alley	The Mamas & The Papas
Mirage	Tommy James And The Shondells
Windy	The Association
Here Comes My Baby	The Tremeloes
Sunday Will Never Be The Same	Spanky And Our Gang
Let's Live For Today	The Grass Roots
Come On Down To My Boat	Every Mothers' Son
Can't Take My Eyes Off You	Frankie Valli
Six O'Clock	The Lovin' Spoonful
7 Rooms Of Gloom	Four Tops
On A Carousel	The Hollies
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
Friday On My Mind	The Easybeats
When You're Young And In Love	The Marvelettes
Girl, You'll Be A Woman Soon	Neil Diamond
The Happening	The Supremes
New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
Sweet Soul Music	Arthur Conley
Alfie	Dionne Warwick
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Tramp	Otis & Carla
I Was Kaiser Bill's Batman	Whistling Jack Smith
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Ding Dong! The Witch Is Dead	The Fifth Estate
Don't You Care	The Buckinghams
Close Your Eyes	Peaches & Herb
Shake A Tail Feather	James & Bobby Purify
Here We Go Again	Ray Charles
Happy Jack	The Who
My Girl Josephine	Jerry Jaye
Girls In Love	Gary Lewis And The Playboys
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Sound Of Love	The Five Americans
The Oogum Boogum Song	Brenton Wood
Up -- Up And Away	The 5th Dimension
The Tracks Of My Tears	Johnny Rivers
Let Yourself Go	James Brown And The Famous Flames
Come To The Sunshine	Harpers Bizarre
Society's Child (Baby I've Been Thinking)	Janis Ian
Don't Sleep In The Subway	Petula Clark
Can't Seem To Make You Mine	The Seeds
Hip Hug-Her	Booker T. & The MG's
Mary In The Morning	Al Martino
For Your Precious Love	Oscar Toney, Jr.
Shake	Otis Redding
Funny Familiar Forgotten Feelings	Tom Jones
Pay You Back With Interest	The Hollies
Misty Blue	Eddy Arnold
Don't Blame The Children	Sammy Davis Jr.
Together	The Intruders
Bowling Green	The Everly Brothers
Light My Fire	The Doors
Time, Time	Ed Ames
Long Legged Girl (With The Short Dress On)	Elvis Presley With The Jordanaires
Jump Back	King Curtis
You Gave Me Something (And Everything's Alright)	Fantastic Four
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
You Must Have Been A Beautiful Baby	The Dave Clark Five
I Was Made To Love Her	Stevie Wonder
Stay Together Young Lovers	Brenda & The Tabulations
Soul Finger	Bar-Kays
Am I Grooving You	Freddie Scott
Why (Am I Treated So Bad)	The Sweet Inspirations
Oooh, Baby Baby	The Five Stairsteps
You Can't Stand Alone	Wilson Pickett
We Had A Good Thing Goin'	The Cyrkle
Plastic Man	Sonny & Cher
They're Here	Boots Walker
Baby Please Come Back Home	J.J. Barnes
It's Cold Outside	The Choir
One By One	Blues Magoos
Leopard-Skin Pill-Box Hat	Bob Dylan
Shake, Rattle & Roll	Arthur Conley
Me About You	The Mojo Men
Make Me Yours	Bettye Swann
Woman Like That, Yeah	Joe Tex
Step Out Of Your Mind	The American Breed
Night And Day	Sergio Mendes & Brasil '66
Now I Know	Jack Jones
I Take It Back	Sandy Posey
Summer And Sandy	Lesley Gore
No Good To Cry	The Wildweeds
Stop! And Think It Over	Perry Como
Release Me	Esther Phillips "Little Esther"
Holiday For Clowns	Brian Hyland
Who's Lovin' You	Brenda & The Tabulations
To Be A Lover	Gene Chandler
Have You Seen Her Face	The Byrds
When The Good Sun Shines	Elmo & Almo
Little Miss Sunshine	Tommy Roe
Girl (You Captivate Me)	? (Question Mark) & The Mysterians
