Drivers License	Olivia Rodrigo
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Mood	24kGoldn Featuring iann dior
Blinding Lights	The Weeknd
Positions	Ariana Grande
Levitating	Dua Lipa Featuring DaBaby
Go Crazy	Chris Brown & Young Thug
Holy	Justin Bieber Featuring Chance The Rapper
Bang!	AJR
Good Days	SZA
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
I Hope	Gabby Barrett Featuring Charlie Puth
Therefore I Am	Billie Eilish
Lonely	Justin Bieber & benny blanco
Better Together	Luke Combs
Body	Megan Thee Stallion
Laugh Now Cry Later	Drake Featuring Lil Durk
Dakiti	Bad Bunny & Jhay Cortez
Whoopty	CJ
Save Your Tears	The Weeknd & Ariana Grande
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Bad Boy	Juice WRLD & Young Thug
What You Know Bout Love	Pop Smoke
Wasted On You	Morgan Wallen
7 Summers	Morgan Wallen
Anyone	Justin Bieber
More Than My Hometown	Morgan Wallen
Willow	Taylor Swift
Kings & Queens	Ava Max
Before You Go	Lewis Capaldi
You Broke Me First.	Tate McRae
You're Mines Still	Yung Bleu Featuring Drake
On Me	Lil Baby
My Ex's Best Friend	Machine Gun Kelly X blackbear
Starting Over	Chris Stapleton
Somebody's Problem	Morgan Wallen
Rockstar	DaBaby Featuring Roddy Ricch
I Should Probably Go To Bed	Dan + Shay
Streets	Doja Cat
Sand In My Boots	Morgan Wallen
Afterglow	Ed Sheeran
Good Time	Niko Moon
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Hole In The Bottle	Kelsea Ballerini
Dynamite	BTS
Back In Blood	Pooh Shiesty Featuring Lil Durk
Diamonds	Sam Smith
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Best Friend	Saweetie Featuring Doja Cat
WAP	Cardi B Featuring Megan Thee Stallion
Cry Baby	Megan Thee Stallion Featuring DaBaby
Without You	The Kid LAROI
Damage	H.E.R.
Throat Baby (Go Baby)	BRS Kash
Masterpiece	DaBaby
Love You Like I Used To	Russell Dickerson
Happy Does	Kenny Chesney
Back To The Streets	Saweetie Featuring Jhene Aiko
Holiday	Lil Nas X
What's Your Country Song	Thomas Rhett
Put Your Records On	Ritt Momney
Champagne Night	Lady A
Still Trappin'	Lil Durk & King Von
Beers And Sunshine	Darius Rucker
Forever After All	Luke Combs
Still Goin Down	Morgan Wallen
Monster	Shawn Mendes & Justin Bieber
Big, Big Plans	Chris Lane
Tyler Herro	Jack Harlow
Down To One	Luke Bryan
Cover Me Up	Morgan Wallen
Warning	Morgan Wallen
Just The Way	Parmalee x Blanco Brown
865	Morgan Wallen
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
Undivided	Tim McGraw & Tyler Hubbard
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Take You Dancing	Jason Derulo
Prisoner	Miley Cyrus Featuring Dua Lipa
Long Live	Florida Georgia Line
The Good Ones	Gabby Barrett
Golden	Harry Styles
Buss It	Erica Banks
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Goosebumps	Travis Scott & HVME
Hit Different	SZA Featuring Ty Dolla $ign
So Done	The Kid LAROI
Bichota	Karol G
Moonwalking In Calabasas	DDG
Adderall (Corvette Corvette)	Popp Hunna
Girl Like Me	Black Eyed Peas X Shakira
De Una Vez	Selena Gomez
Momma's House	Dustin Lynch
Better Days	Ant Clemons Featuring Justin Timberlake
Lady	Brett Young
Drankin N Smokin	Future & Lil Uzi Vert
Somebody Like That	Tenille Arts
One Too Many	Keith Urban Duet With P!nk
Hell Of A View	Eric Church
Dangerous	Morgan Wallen
