Fingertips - Pt 2	Little Stevie Wonder
Blowin' In The Wind	Peter, Paul & Mary
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Wipe Out	The Surfaris
Judy's Turn To Cry	Lesley Gore
Candy Girl	The 4 Seasons
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
So Much In Love	The Tymes
More	Kai Winding & Orchestra
My Boyfriend's Back	The Angels
Surf City	Jan & Dean
Easier Said Than Done	The Essex
Mockingbird	Inez Foxx with Charlie Foxx
Green, Green	The New Christy Minstrels
Denise	Randy & The Rainbows
Abilene	George Hamilton IV
If I Had A Hammer	Trini Lopez
Danke Schoen	Wayne Newton And The Newton Brothers
Just One Look	Doris Troy
Memphis	Lonnie Mack
Hey, Girl	Freddie Scott
Hopeless	Andy Williams
True Love Never Runs Smooth	Gene Pitney
My Whole World Is Falling Down	Brenda Lee
I Wonder	Brenda Lee
The Monkey Time	Major Lance
Twist It Up	Chubby Checker
Surfer Girl	The Beach Boys
Detroit City	Bobby Bare
Ring Of Fire	Johnny Cash
Make The World Go Away	Timi Yuro
Tie Me Kangaroo Down, Sport	Rolf Harris
Frankie And Johnny	Sam Cooke
Heat Wave	Martha & The Vandellas
I (Who Have Nothing)	Ben E. King
Marlena	The 4 Seasons
Painted, Tainted Rose	Al Martino
Till Then	The Classics
Pride And Joy	Marvin Gaye
Not Me	The Orlons
Six Days On The Road	Dave Dudley
Shake! Shake! Shake!	Jackie Wilson
I Want To Stay Here	Steve & Eydie
Wait Til' My Bobby Gets Home	Darlene Love
Tips Of My Fingers	Roy Clark
Be Careful Of Stones That You Throw	Dion
When A Boy Falls In Love	Mel Carter
Surfin' Hootenanny	Al Casey
How Many Teardrops	Lou Christie
The Dreamer	Neil Sedaka
Desert Pete	The Kingston Trio
It Hurts To Be Sixteen	Andrea Carroll
Blue Velvet	Bobby Vinton
You Can Never Stop Me Loving You	Johnny Tillotson
Hey There Lonely Boy	Ruby And The Romantics
Sometimes You Gotta Cry A Little	Bobby Bland
These Foolish Things	James Brown And The Famous Flames
Mama Don't Allow	The Rooftop Singers
Groovy Baby	Billy Abbott And The Jewels
It's Too Late	Wilson Pickett
Please Don't Talk To The Lifeguard	Diane Ray
Martian Hop	The Ran-Dells
I'm Afraid To Go Home	Brian Hyland
The Kind Of Boy You Can't Forget	The Raindrops
Leave Me Alone	Baby Washington
Everybody Monkey	Freddy Cannon
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
Surf Party	Chubby Checker
Drownin' My Sorrows	Connie Francis
I Will Love You	Richard Chamberlain
Then He Kissed Me	The Crystals
Can't Nobody Love You	Solomon Burke
This Is All I Ask	Burl Ives
This Is All I Ask	Tony Bennett
My Daddy Knows Best	The Marvelettes
Lucky Lips	Cliff Richard
Daughter	The Blenders
Pay Back	Etta James
It's A Lonely Town (Lonely Without You)	Gene McDaniels
Little Deuce Coupe	The Beach Boys
The Lonely Surfer	Jack Nitzsche
A Breath Taking Guy	The Supremes
Dum Dum Dee Dum	Johnny Cymbal
Man's Temptation	Gene Chandler
More	Vic Dana
Part Time Love	Little Johnny Taylor
Only In America	Jay & The Americans
Mickey's Monkey	The Miracles
Wonderful! Wonderful!	The Tymes
Straighten Up Your Heart	Barbara Lewis
It Won't Be This Way (Always)	The King Pins
(I Cried at) Laura's Wedding	Barbara Lynn
This Is My Prayer	Theola Kilgore
I'm Not A Fool Anymore	T.K. Hulin
Birthday Party	The Pixies Three
Chinese Checkers	Booker T. & The MG's
Gone	The Rip Chords
Land Of 1000 Dances	Chris Kenner
I Cried	Tammy Montgomery
Cry Baby	Garnet Mimms & The Enchanters
