Help!	The Beatles
Like A Rolling Stone	Bob Dylan
California Girls	The Beach Boys
Unchained Melody	The Righteous Brothers
It's The Same Old Song	Four Tops
I Got You Babe	Sonny & Cher
You Were On My Mind	We Five
Papa's Got A Brand New Bag (Part I)	James Brown And The Famous Flames
Eve Of Destruction	Barry McGuire
Hold Me, Thrill Me, Kiss Me	Mel Carter
Nothing But Heartaches	The Supremes
It Ain't Me Babe	The Turtles
Down In The Boondocks	Billy Joe Royal
Baby, I'm Yours	Barbara Lewis
The "In" Crowd	Ramsey Lewis Trio
The Tracks Of My Tears	The Miracles
Since I Lost My Baby	The Temptations
All I Really Want To Do	Cher
Heart Full Of Soul	The Yardbirds
Save Your Heart For Me	Gary Lewis And The Playboys
In The Midnight Hour	Wilson Pickett
Hang On Sloopy	The McCoys
Action	Freddy Cannon
Houston	Dean Martin
Catch Us If You Can	The Dave Clark Five
Ju Ju Hand	Sam The Sham and the Pharaohs
Laugh At Me	Sonny
Looking Through The Eyes Of Love	Gene Pitney
Shake And Fingerpop	Jr. Walker & The All Stars
Agent Double-O-Soul	Edwin Starr
(I Can't Get No) Satisfaction	The Rolling Stones
Sugar Dumpling	Sam Cooke
We Gotta Get Out Of This Place	The Animals
Sad, Sad Girl	Barbara Mason
I Don't Wanna Lose You Baby	Chad & Jeremy
Don't Just Stand There	Patty Duke
Who'll Be The Next In Line	The Kinks
I'm A Fool	Dino, Desi & Billy
Summer Nights	Marianne Faithfull
What's New Pussycat?	Tom Jones
You've Been In Love Too Long	Martha & The Vandellas
You'd Better Come Home	Petula Clark
I'm Henry VIII, I Am	Herman's Hermits
Take Me Back	Little Anthony And The Imperials
I'm A Happy Man	The Jive Five
You Tell Me Why	The Beau Brummels
It's Gonna Take A Miracle	The Royalettes
Baby Don't Go	Sonny & Cher
Annie Fanny	The Kingsmen
If I Didn't Love You	Chuck Jackson
You've Got Your Troubles	The Fortunes
I'll Take You Where The Music's Playing	The Drifters
A Little You	Freddie And The Dreamers
(My Girl) Sloopy	Little Caesar And The Consuls
All I Really Want To Do	The Byrds
Moonlight And Roses (Bring Mem'ries Of You)	Vic Dana
Ride Away	Roy Orbison
I'll Make All Your Dreams Come True	Ronnie Dove
Moon Over Naples	Bert Kaempfert And His Orchestra
Just You	Sonny & Cher
First I Look At The Purse	The Contours
With These Hands	Tom Jones
Candy	The Astors
Do You Believe In Magic	The Lovin' Spoonful
Danger Heartbreak Dead Ahead	The Marvelettes
I'm Yours	Elvis Presley
It's A Man Down There	G.L. Crockett
Colours	Donovan
Give All Your Love To Me	Gerry And The Pacemakers
I Need You	The Impressions
Mohair Sam	Charlie Rich
Liar, Liar	The Castaways
It's Too Late, Baby Too Late	Arthur Prysock
Home Of The Brave	Jody Miller
Two Different Worlds	Lenny Welch
No Pity (In The Naked City)	Jackie Wilson
High Heel Sneakers	Stevie Wonder
You Better Go	Derek Martin
Heartaches By The Number	Johnny Tillotson
Some Enchanted Evening	Jay & The Americans
Only Those In Love	Baby Washington
Is It Really Over?	Jim Reeves
Treat Her Right	Roy Head And The Traits
If You Wait For Love	Bobby Goldsboro
Ain't It True	Andy Williams
Home Of The Brave	Bonnie & The Treasures
N-E-R-V-O-U-S!	Ian Whitcomb
I Want To (Do Everything For You)	Joe Tex
Someone Is Watching	Solomon Burke
Respect	Otis Redding
Simpel Gimpel	Horst Jankowski
Good Times	Gene Chandler
Too Hot To Hold	Major Lance
Can't Let You Out Of My Sight	Chuck Jackson & Maxine Brown
I Live For The Sun	The Sunrays
The World Through A Tear	Neil Sedaka
These Hands (Small But Mighty)	Bobby Bland
You're Gonna Make Me Cry	O.V. Wright
The Girl From Peyton Place	Dickey Lee
Soul Heaven	The Dixie Drifter
