Groovin'	The Young Rascals
Respect	Aretha Franklin
I Got Rhythm	The Happenings
Release Me (And Let Me Love Again)	Engelbert Humperdinck
The Happening	The Supremes
Sweet Soul Music	Arthur Conley
Him Or Me - What's It Gonna Be?	Paul Revere & The Raiders
Creeque Alley	The Mamas & The Papas
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Girl, You'll Be A Woman Soon	Neil Diamond
On A Carousel	The Hollies
Don't You Care	The Buckinghams
Here Comes My Baby	The Tremeloes
Mirage	Tommy James And The Shondells
All I Need	The Temptations
Friday On My Mind	The Easybeats
Somebody To Love	Jefferson Airplane
Close Your Eyes	Peaches & Herb
You Got What It Takes	The Dave Clark Five
Sunshine Girl	The Parade
I Was Kaiser Bill's Batman	Whistling Jack Smith
When I Was Young	Eric Burdon & The Animals
I Think We're Alone Now	Tommy James And The Shondells
Too Many Fish In The Sea & Three Little Fishes	Mitch Ryder And The Detroit Wheels
Shake A Tail Feather	James & Bobby Purify
Happy Jack	The Who
Casino Royale	Herb Alpert & The Tijuana Brass
When You're Young And In Love	The Marvelettes
My Girl Josephine	Jerry Jaye
Six O'Clock	The Lovin' Spoonful
Yellow Balloon	The Yellow Balloon
Dead End Street Monologue/Dead End Street	Lou Rawls
A Little Bit Me, A Little Bit You	The Monkees
Come On Down To My Boat	Every Mothers' Son
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
Portrait Of My Love	The Tokens
Alfie	Dionne Warwick
Hip Hug-Her	Booker T. & The MG's
She'd Rather Be With Me	The Turtles
Little Bit O' Soul	The Music Explosion
Can't Seem To Make You Mine	The Seeds
Tramp	Otis & Carla
Girls In Love	Gary Lewis And The Playboys
Making Memories	Frankie Laine
Another Day, Another Heartache	The 5th Dimension
Let's Live For Today	The Grass Roots
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Jimmy Mack	Martha & The Vandellas
Sunday Will Never Be The Same	Spanky And Our Gang
7 Rooms Of Gloom	Four Tops
Little Games	The Yardbirds
Windy	The Association
Can't Take My Eyes Off You	Frankie Valli
The Oogum Boogum Song	Brenton Wood
Lay Some Happiness On Me	Dean Martin
Let Yourself Go	James Brown And The Famous Flames
I Could Be So Good To You	Don And The Goodtimes
Ding Dong! The Witch Is Dead	The Fifth Estate
Misty Blue	Eddy Arnold
Love Me Forever	Roger Williams
Time, Time	Ed Ames
Shake	Otis Redding
Nothing Takes The Place Of You	Toussaint McCall
Here We Go Again	Ray Charles
A Beautiful Story	Sonny & Cher
Sound Of Love	The Five Americans
Together	The Intruders
My Babe	Ronnie Dove
Melancholy Music Man	The Righteous Brothers
Funny Familiar Forgotten Feelings	Tom Jones
Long Legged Girl (With The Short Dress On)	Elvis Presley With The Jordanaires
We Had A Good Thing Goin'	The Cyrkle
Am I Grooving You	Freddie Scott
Come To The Sunshine	Harpers Bizarre
Jump Back	King Curtis
Don't Blame The Children	Sammy Davis Jr.
Mary In The Morning	Al Martino
For Your Precious Love	Oscar Toney, Jr.
New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
Eight Men, Four Women	O.V. Wright
Society's Child (Baby I've Been Thinking)	Janis Ian
I've Lost You	Jackie Wilson
Oooh, Baby Baby	The Five Stairsteps
Stay Together Young Lovers	Brenda & The Tabulations
Leopard-Skin Pill-Box Hat	Bob Dylan
You Can't Stand Alone	Wilson Pickett
You Gave Me Something (And Everything's Alright)	Fantastic Four
Me About You	The Mojo Men
Bowling Green	The Everly Brothers
Hey Love	Stevie Wonder
Hello, Hello	Claudine Longet
That's Someone You Never Forget	Elvis Presley With The Jordanaires
Stop! And Think It Over	Perry Como
Soul Finger	Bar-Kays
Red Roses For Mom	Bobby Vinton
Baby Please Come Back Home	J.J. Barnes
I Want You To Be My Baby	Ellie Greenwich
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Holiday For Clowns	Brian Hyland
No Good To Cry	The Wildweeds
