Hello, I Love You	The Doors
Classical Gas	Mason Williams
Stoned Soul Picnic	The 5th Dimension
Grazing In The Grass	Hugh Masekela
People Got To Be Free	The Rascals
Hurdy Gurdy Man	Donovan
Lady Willpower	Gary Puckett And The Union Gap
Turn Around, Look At Me	The Vogues
Sunshine Of Your Love	Cream
Jumpin' Jack Flash	The Rolling Stones
Born To Be Wild	Steppenwolf
The Horse	Cliff Nobles & Co.
Stay In My Corner	The Dells
Pictures Of Matchstick Men	The Status Quo
You Keep Me Hangin' On	The Vanilla Fudge
This Guy's In Love With You	Herb Alpert
Journey To The Center Of The Mind	The Amboy Dukes
Dream A Little Dream Of Me	Mama Cass With The Mamas & The Papas
Autumn Of My Life	Bobby Goldsboro
Light My Fire	Jose Feliciano
Soul-Limbo	Booker T. & The MG's
Sky Pilot (Part One)	Eric Burdon & The Animals
I Can't Stop Dancing	Archie Bell & The Drells
Sealed With A Kiss	Gary Lewis And The Playboys
Indian Lake	The Cowsills
Reach Out Of The Darkness	Friend And Lover
Halfway To Paradise	Bobby Vinton
Angel Of The Morning	Merrilee Rush & The Turnabouts
The Look Of Love	Sergio Mendes & Brasil '66
(Love Is Like A) Baseball Game	The Intruders
Lover's Holiday	Peggy Scott & Jo Jo Benson
Dreams Of The Everyday Housewife	Glen Campbell
Don't Take It So Hard	Paul Revere & The Raiders Featuring Mark Lindsay
Alice Long (You're Still My Favorite Girlfriend)	Tommy Boyce & Bobby Hart
Hitch It To The Horse	The Fantastic Johnny C
You're All I Need To Get By	Marvin Gaye & Tammi Terrell
Love Makes A Woman	Barbara Acklin
Face It Girl, It's Over	Nancy Wilson
1, 2, 3, Red Light	1910 Fruitgum Co.
The Eyes Of A New York Woman	B.J. Thomas
You Met Your Match	Stevie Wonder
Eleanor Rigby	Ray Charles
Here Comes The Judge	Shorty Long
Please Return Your Love To Me	The Temptations
Prayer Meetin'	Willie Mitchell
Folsom Prison Blues	Johnny Cash
Don't Give Up	Petula Clark
Tuesday Afternoon (Forever Afternoon)	The Moody Blues
Yesterday's Dreams	Four Tops
Do It Again	The Beach Boys
Slip Away	Clarence Carter
Down At Lulu's	Ohio Express
I Get The Sweetest Feeling	Jackie Wilson
Hard To Handle	Otis Redding
Somebody Cares	Tommy James And The Shondells
Can't You Find Another Way (Of Doing It)	Sam & Dave
The Impossible Dream	Roger Williams
Give A Damn	Spanky And Our Gang
I Guess I'll Have To Cry, Cry, Cry	James Brown And The Famous Flames
Dreams Of The Everyday Housewife	Wayne Newton
The Fool On The Hill	Sergio Mendes & Brasil '66
Baby You Come Rollin' Across My Mind	The Peppermint Trolley Company
Sudden Stop	Percy Sledge
Brown Eyed Woman	Bill Medley
Understanding	Ray Charles
Two-Bit Manchild	Neil Diamond
I've Never Found A Girl (To Love Me Like You Do)	Eddie Floyd
And Suddenly	The Cherry People
Mrs. Bluebird	Eternity's Children
Breaking Up Is Hard To Do	The Happenings
Morning Dew	Lulu
Keep The One You Got	Joe Tex
Never Going Back	The Lovin' Spoonful
Happy	Nancy Sinatra
Competition Ain't Nothin'	Little Carl Carlton
I Loved And I Lost	The Impressions
Mr. Bojangles	Jerry Jeff Walker
Mr. Businessman	Ray Stevens
Mister Bo Jangles	Bobby Cole
God Bless Our Love	The Ballads
I'm Gonna Do What They Do To Me	B.B. King
Workin' On A Groovy Thing	Patti Drew
Magic Bus	The Who
Give Me One More Chance	Wilmer And The Dukes
Hip City - Pt. 2	Jr. Walker & The All Stars
Girls Can't Do What The Guys Do	Betty Wright
Montage From How Sweet It Is (I Know That You Know)	The Love Generation
Anyway That You Want Me	The American Breed
I Heard It Thru The Grapevine	King Curtis & The Kingpins
I Can't Dance To That Music You're Playin'	Martha Reeves & The Vandellas
Soul Meeting	The Soul Clan
I Am Your Man	Bobby Taylor & The Vancouvers
Life	Sly & The Family Stone
Send My Baby Back	Freddie Hughes
Time Has Come Today	The Chambers Brothers
Tell Someone You Love Them	Dino, Desi & Billy
M'Lady	Sly & The Family Stone
Mister Nico	Four Jacks And A Jill
On The Road Again	Canned Heat
Sally Had A Party	Flavor
