Crazy In Love	Beyonce Featuring Jay Z
Right Thurr	Chingy
Rock Wit U (Awww Baby)	Ashanti
Magic Stick	Lil' Kim Featuring 50 Cent
Unwell	matchbox twenty
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
P.I.M.P.	50 Cent
Where Is The Love?	The Black Eyed Peas
In Those Jeans	Ginuwine
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Into You	Fabolous Featuring Tamia Or Ashanti
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Miss Independent	Kelly Clarkson
Drift Away	Uncle Kracker Featuring Dobie Gray
Frontin'	Pharrell Featuring Jay-Z
Bring Me To Life	Evanescence Featuring Paul McCoy
Like Glue	Sean Paul
So Gone	Monica
Are You Happy Now?	Michelle Branch
Get Busy	Sean Paul
Intuition	Jewel
Love At 1st Sight	Mary J. Blige Featuring Method Man
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Forever And For Always	Shania Twain
Red Dirt Road	Brooks & Dunn
I Want You	Thalia Featuring Fat Joe
Calling All Angels	Train
No Shoes, No Shirt, No Problems	Kenny Chesney
My Love Is Like... Wo	Mya
Beer For My Horses	Toby Keith Duet With Willie Nelson
When I'm Gone	3 Doors Down
Celebrity	Brad Paisley
Thoia Thoing	R. Kelly
My Front Porch Looking In	Lonestar
21 Questions	50 Cent Featuring Nate Dogg
The Remedy (I Won't Worry)	Jason Mraz
Let's Get Down	Bow Wow Featuring Baby
Did My Time	Korn
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
This Is The Night	Clay Aiken
What Was I Thinkin'	Dierks Bentley
Don't Wanna Try	Frankie J
Rock Your Body	Justin Timberlake
Ignition	R. Kelly
Addicted	Simple Plan
Dance With My Father	Luther Vandross
Come Over	Aaliyah
Can't Let You Go	Fabolous Featuring Mike Shorey & Lil' Mo
Real Good Man	Tim McGraw
No Letting Go	Wayne Wonder
If You're Not The One	Daniel Bedingfield
Senorita	Justin Timberlake
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
The Boys Of Summer	The Ataris
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Like A Pimp	David Banner Featuring Lil' Flip
Big Yellow Taxi	Counting Crows Featuring Vanessa Carlton
Headstrong	Trapt
Girls And Boys	Good Charlotte
99.9% Sure (I've Never Been Here Before)	Brian McComas
Faint	Linkin Park
Signs Of Love Makin'	Tyrese
Then They Do	Trace Adkins
Stay Gone	Jimmy Wayne
Swing, Swing	The All-American Rejects
I Wish I Wasn't	Heather Headley
Send The Pain Below	Chevelle
Light Your A** On Fire	Busta Rhymes
Flying Without Wings	Ruben Studdard
Fighter	Christina Aguilera
Can't Stop, Won't Stop	Young Gunz
This One's For The Girls	Martina McBride
So Far Away	Staind
Just Because	Jane's Addiction
What The World Needs	Wynonna
Hole In The World	Eagles
A Few Questions	Clay Walker
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
Breathe	Blu Cantrell Featuring Sean Paul
Act A Fool	Ludacris
Seven Nation Army	The White Stripes
Three Wooden Crosses	Randy Travis
Love You Out Loud	Rascal Flatts
Damn!	YoungBloodZ Featuring Lil Jon
Na Na Na	112 Featuring Super Cat
Say Yes	Floetry
Officially Missing You	Tamia
Almost Home	Craig Morgan
Pump It Up	Joe Budden
The Love Song	Jeff Bates
In Love Wit Chu	Da Brat Featuring Cherish
Snake	R. Kelly Featuring Big Tigger
Stupid Girl	Cold
I'm Glad	Jennifer Lopez
Amazing	Josh Kelley
What A Beautiful Day	Chris Cagle
Still Ballin	2Pac Featuring Trick Daddy
24's	T.I.
What Would You Do?	The Isley Brothers Featuring Ronald Isley
