Baby Boy	Beyonce Featuring Sean Paul
Stand Up	Ludacris Featuring Shawnna
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Damn!	YoungBloodZ Featuring Lil Jon
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Here Without You	3 Doors Down
Holidae In	Chingy Featuring Ludacris & Snoop Dogg
Right Thurr	Chingy
Rain On Me	Ashanti
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Suga Suga	Baby Bash Featuring Frankie J
The Way You Move	OutKast Featuring Sleepy Brown
Step In The Name Of Love	R. Kelly
Unwell	matchbox twenty
P.I.M.P.	50 Cent
Frontin'	Pharrell Featuring Jay-Z
Walked Outta Heaven	Jagged Edge
Harder To Breathe	Maroon 5
Into You	Fabolous Featuring Tamia Or Ashanti
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
Where Is The Love?	The Black Eyed Peas
Thoia Thoing	R. Kelly
Headstrong	Trapt
Can't Stop, Won't Stop	Young Gunz
Hey Ya!	OutKast
Crazy In Love	Beyonce Featuring Jay Z
Pass That Dutch	Missy Elliott
Stacy's Mom	Fountains Of Wayne
So Far Away	Staind
Calling All Angels	Train
Wat Da Hook Gon Be	Murphy Lee Featuring Jermaine Dupri
Who Wouldn't Wanna Be Me	Keith Urban
Tough Little Boys	Gary Allan
Someday	Nickelback
Drift Away	Uncle Kracker Featuring Dobie Gray
The Remedy (I Won't Worry)	Jason Mraz
I Love This Bar	Toby Keith
Bigger Than My Body	John Mayer
Clubbin	Marques Houston Featuring Joe Budden & Pied Piper
My Love Is Like... Wo	Mya
Bright Lights	matchbox twenty
This One's For The Girls	Martina McBride
Me Against The Music	Britney Spears Featuring Madonna
I Melt	Rascal Flatts
Read Your Mind	Avant
So Yesterday	Hilary Duff
Runnin (Dying To Live)	Tupac Featuring The Notorious B.I.G.
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
(There's Gotta Be) More To Life	Stacie Orrico
White Flag	Dido
What Was I Thinkin'	Dierks Bentley
Why Can't I?	Liz Phair
Bad Boy This Bad Boy That	Bad Boy's Da Band
Wave On Wave	Pat Green
Dance With My Father	Luther Vandross
Ooh!	Mary J. Blige
Milkshake	Kelis
Real Good Man	Tim McGraw
Cowboys Like Us	George Strait
Heaven	Live
The Boys Of Summer	The Ataris
Weak And Powerless	A Perfect Circle
Low	Kelly Clarkson
Faint	Linkin Park
Clap Back	Ja Rule
The First Cut Is The Deepest	Sheryl Crow
Walk A Little Straighter	Billy Currington
Trouble	P!nk
It's My Life	No Doubt
Fallen	Sarah McLachlan
I Can Only Imagine	MercyMe
Perfect	Simple Plan
Chicks Dig It	Chris Cagle
Hell Yeah	Montgomery Gentry
Show Me How To Live	Audioslave
If I Can't	50 Cent
Got Some Teeth	Obie Trice
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Party To Damascus	Wyclef Jean Featuring Missy Elliott
Stunt 101	G Unit
Amazing	Josh Kelley
Roc Ya Body "Mic Check 1,2"	M.V.P. (Most Valuable Playas) Featuring Stagga Lee
No Shoes, No Shirt, No Problems	Kenny Chesney
Hot & Wet	112 Featuring Ludacris
Senorita	Justin Timberlake
Honesty (Write Me A List)	Rodney Atkins
24's	T.I.
Addicted	Simple Plan
Knock Knock	Monica
Pon De River, Pon De Bank	Elephant Man
Naggin	Ying Yang Twins
Another Postcard (Chimps)	Barenaked Ladies
Love You More	Ginuwine
Hole In The World	Eagles
Danger	Erykah Badu
Waiting For You	Seal
Find A Way	Dwele
This Is How We Do	Big Tymers
A Few Questions	Clay Walker
Officially Missing You	Tamia
