Make It With You	Bread
(They Long To Be) Close To You	Carpenters
Spill The Wine	Eric Burdon And War
War	Edwin Starr
In The Summertime	Mungo Jerry
Signed, Sealed, Delivered I'm Yours	Stevie Wonder
Patches	Clarence Carter
Band Of Gold	Freda Payne
I Just Can't Help Believing	B.J. Thomas
Tighter, Tighter	Alive & Kicking
Lay A Little Lovin' On Me	Robin McNamara
(If You Let Me Make Love To You Then) Why Can't I Touch You?	Ronnie Dyson
25 Or 6 To 4	Chicago
Ball Of Confusion (That's What The World Is Today)	The Temptations
Mama Told Me (Not To Come)	Three Dog Night
O-o-h Child/Dear Prudence	The 5 Stairsteps
Ain't No Mountain High Enough	Diana Ross
Overture From Tommy (A Rock Opera)	The Assembled Multitude
Tell It All Brother	Kenny Rogers & The First Edition
Lookin' Out My Back Door/Long As I Can See The Light	Creedence Clearwater Revival
Get Up (I Feel Like Being Like A) Sex Machine (Part 1)	James Brown
Hi-De-Ho	Blood, Sweat & Tears
Don't Play That Song	Aretha Franklin with The Dixie Flyers
Ohio	Crosby, Stills, Nash & Young
Everybody's Got The Right To Love	The Supremes
Hand Me Down World	The Guess Who
Summertime Blues	The Who
Solitary Man	Neil Diamond
Big Yellow Taxi	The Neighborhood
The Sly, Slick, And The Wicked	The Lost Generation
The Love You Save/I Found That Girl	Jackson 5
Do You See My Love (For You Growing)	Jr. Walker & The All Stars
Julie, Do Ya Love Me	Bobby Sherman
Groovy Situation	Gene Chandler
I Want To Take You Higher	Ike & Tina Turner & The Ikettes
I've Lost You/The Next Step Is Love	Elvis Presley
(I Know) I'm Losing You	Rare Earth
Snowbird	Anne Murray
Westbound #9	The Flaming Ember
It's A Shame	The Spinners
Wigwam	Bob Dylan
Candida	Dawn
Maybe	The Three Degrees
Rubber Duckie	Ernie (Jim Henson)
America, Communicate With Me	Ray Stevens
I (Who Have Nothing)	Tom Jones
Only You Know And I Know	Dave Mason
Hummingbird	B.B. King
Stealing In The Name Of The Lord	Paul Kelly
Paper Mache	Dionne Warwick
Joanne	Michael Nesmith & The First National Band
Closer To Home (I'm Your Captain)	Grand Funk Railroad
Everything's Tuesday	Chairman Of The Board
Everything A Man Could Ever Need	Glen Campbell
Peace Will Come (According To Plan)	Melanie
We're All Playing In The Same Band	Bert Sommer
I'll Be Right Here	Tyrone Davis
Glory Glory	The Rascals
Ball And Chain	Tommy James
Hello Darlin'	Conway Twitty
Sing A Song For Freedom	Frijid Pink
Cracklin' Rosie	Neil Diamond
Soul Shake	Delaney & Bonnie & Friends
Yellow River	Christie
Green-Eyed Lady	Sugarloaf
Rainbow	The Marmalade
Big Yellow Taxi	Joni Mitchell
Down By The River	Buddy Miles
You've Been My Inspiration	The Main Ingredient
That's Where I Went Wrong	The Poppy Family (Featuring Susan Jacks)
Black Fox	Freddy Robinson
All Right Now	Free
Long Long Time	Linda Ronstadt
Stay Away From Me (I Love You Too Much)	Major Lance
Express Yourself	Charles Wright And The Watts 103rd Street Rhythm Band
Morning Much Better	Ten Wheel Drive With Genya Ravan
Where Are You Going To My Love	The Brotherhood Of Man
Mongoose	Elephant's Memory
Uncle John's Band	The Grateful Dead
On The Beach (In The Summertime)	The 5th Dimension
Neanderthal Man	Hotlegs
Riki Tiki Tavi	Donovan
Yours Love	Joe Simon
Going To The Country	The Steve Miller Band
I Like Your Lovin' (Do You Like Mine)	The Chi-lites
If I Didn't Care	The Moments
Don't Make Me Over	Brenda & The Tabulations
What A Bummer	The Jaggerz
Groovin' With Mr. Bloe	Cool Heat
I Wanna Know If It's Good To You?	Funkadelic
Screaming Night Hog	Steppenwolf
Border Song	Elton John
She Said Yes	Wilson Pickett
Baby, I Need Your Loving	O.C. Smith
Where Are You Going	Jerry Butler
We Can Make It Baby	The Originals
Do What You Wanna Do	Five Flights Up
Bring It On Home	Lou Rawls
Sing Out The Love (In My Heart)	Arkade
As The Years Go By	Mashmakhan
