Soldier Boy	The Shirelles
Stranger On The Shore	Mr. Acker Bilk
Mashed Potato Time	Dee Dee Sharp
Johnny Angel	Shelley Fabares
She Cried	Jay & The Americans
Shout! Shout! (Knock Yourself Out)	Ernie Maresca
Old Rivers	Walter Brennan
Everybody Loves Me But You	Brenda Lee
P.T. 109	Jimmy Dean
Funny Way Of Laughin'	Burl Ives
Good Luck Charm	Elvis Presley With The Jordanaires
Shout - Part I	Joey Dee & the Starliters
Lovers Who Wander	Dion
The One Who Really Loves You	Mary Wells
Conscience	James Darren
Twist, Twist Senora	Gary U.S. Bonds
I Wish That We Were Married	Ronnie and The Hi-Lites
Uptown	The Crystals
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
Lover Please	Clyde McPhatter
I Can't Stop Loving You	Ray Charles
Tell Me	Dick and DeeDee
Caterina	Perry Como
I Sold My Heart To The Junkman	The Blue-Belles
Twistin' Matilda (and the channel)	Jimmy Soul
You Are Mine	Frankie Avalon
Most People Get Married	Patti Page
Soul Twist	King Curtis And The Noble Knights
Johnny Jingo	Hayley Mills
Dear One	Larry Finnegan
Young World	Rick Nelson
(The Man Who Shot) Liberty Valance	Gene Pitney
Don't Play That Song (You Lied)	Ben E. King
It Keeps Right On A-Hurtin'	Johnny Tillotson
Love Letters	Ketty Lester
Blues (Stay Away From Me)	Ace Cannon
Moon River	Henry Mancini And His Orchestra
Follow That Dream	Elvis Presley
Night Train	James Brown And The Famous Flames
Second Hand Love	Connie Francis
Count Every Star	Linda Scott
Palisades Park	Freddy Cannon
Village Of Love	Nathaniel Mayer And The Fabulous Twilights
So This Is Love	The Castells
King Of Clowns	Neil Sedaka
Playboy	The Marvelettes
Teach Me Tonight	George Maharis
Hide 'Nor Hair	Ray Charles and his Orchestra
(I was) Born To Cry	Dion
I Will	Vic Dana
Itty Bitty Pieces	James Ray
Ginny Come Lately	Brian Hyland
What'd I Say (Part 1)	Bobby Darin
She Can't Find Her Keys	Paul Petersen
The Jam - Part 1	Bobby Gregg and His Friends
That's Old Fashioned (That's The Way Love Should Be)	The Everly Brothers
Number One Man	Bruce Channel
Hearts	Jackie Wilson
If I Cried Every Time You Hurt Me	Wanda Jackson
Hit Record	Brook Benton
Any Day Now (My Wild Beautiful Bird)	Chuck Jackson
I Love You	The Volume's
Lemon Tree	Peter, Paul & Mary
Meet Me At The Twistin' Place	Johnnie Morisette
Cindy's Birthday	Johnny Crawford
Balboa Blue	The Marketts
Drummin' Up A Storm	Sandy Nelson
I'll Take You Home	The Corsairs Featuring Jay "Bird" Uzzell
Walk On The Wild Side (Part 1)	Jimmy Smith And The Big Band
Born To Lose	Ray Charles
Love Can't Wait	Marty Robbins
Where Are You	Dinah Washington
How Is Julie?	The Lettermen
Sharing You	Bobby Vee
That's My Desire	Yvonne Baker and the Sensations
Snap Your Fingers	Joe Henderson
Fortuneteller	Bobby Curtola
Deep In The Heart Of Texas	Duane Eddy
My Real Name	Fats Domino
I Found A Love	The Falcons & Band (Ohio Untouchables)
Oh My Angel	Bertha Tillman
Doctor Feel-Good	Dr. Feelgood And The Interns
Why'd You Wanna Make Me Cry	Connie Stevens
Theme From Ben Casey	Valjean on Piano
When I Get Thru With You (You'll Love Me Too)	Patsy Cline
Woman Is A Man's Best Friend	Teddy & The Twilights
The Stripper	David Rose and His Orchestra
Scotch And Soda	The Kingston Trio
Here Comes That Feelin'	Brenda Lee
Imagine That	Patsy Cline
Let Me Be The One	The Paris Sisters
Dream	Dinah Washington
Jane, Jane, Jane	The Kingston Trio
I'll Try Something New	The Miracles
Quando, Quando, Quando (Tell Me When)	Pat Boone
-twistin'-White Silver Sands	Bill Black's Combo
Bristol Twistin' Annie	The Dovells
That Happy Feeling	Bert Kaempfert And His Orchestra
The John Birch Society	The Chad Mitchell Trio
Al Di La'	Emilio Pericoli
