Drivers License	Olivia Rodrigo
Mood	24kGoldn Featuring iann dior
Positions	Ariana Grande
Blinding Lights	The Weeknd
Go Crazy	Chris Brown & Young Thug
Levitating	Dua Lipa Featuring DaBaby
Holy	Justin Bieber Featuring Chance The Rapper
Bang!	AJR
Wasted On You	Morgan Wallen
Good Days	SZA
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Lonely	Justin Bieber & benny blanco
Laugh Now Cry Later	Drake Featuring Lil Durk
I Hope	Gabby Barrett Featuring Charlie Puth
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
More Than My Hometown	Morgan Wallen
Therefore I Am	Billie Eilish
7 Summers	Morgan Wallen
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Body	Megan Thee Stallion
Save Your Tears	The Weeknd & Ariana Grande
Anyone	Justin Bieber
Dakiti	Bad Bunny & Jhay Cortez
Better Together	Luke Combs
Whoopty	CJ
Somebody's Problem	Morgan Wallen
What You Know Bout Love	Pop Smoke
Kings & Queens	Ava Max
Willow	Taylor Swift
I Should Probably Go To Bed	Dan + Shay
Before You Go	Lewis Capaldi
Sand In My Boots	Morgan Wallen
You Broke Me First.	Tate McRae
Rockstar	DaBaby Featuring Roddy Ricch
Dynamite	BTS
Afterglow	Ed Sheeran
On Me	Lil Baby
Starting Over	Chris Stapleton
Best Friend	Saweetie Featuring Doja Cat
My Ex's Best Friend	Machine Gun Kelly X blackbear
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Warning	Morgan Wallen
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Good Time	Niko Moon
Still Goin Down	Morgan Wallen
865	Morgan Wallen
Diamonds	Sam Smith
WAP	Cardi B Featuring Megan Thee Stallion
Hole In The Bottle	Kelsea Ballerini
Hawai	Maluma & The Weeknd
Cry Baby	Megan Thee Stallion Featuring DaBaby
Cover Me Up	Morgan Wallen
Champagne Night	Lady A
You're Mines Still	Yung Bleu Featuring Drake
Monster	Shawn Mendes & Justin Bieber
B.S.	Jhene Aiko Featuring H.E.R.
Without You	The Kid LAROI
Holiday	Lil Nas X
Big, Big Plans	Chris Lane
Love You Like I Used To	Russell Dickerson
Still Trappin'	Lil Durk & King Von
Dangerous	Morgan Wallen
Neon Eyes	Morgan Wallen
Damage	H.E.R.
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
More Surprised Than Me	Morgan Wallen
Forever After All	Luke Combs
Back To The Streets	Saweetie Featuring Jhene Aiko
Throat Baby (Go Baby)	BRS Kash
Happy Does	Kenny Chesney
Tyler Herro	Jack Harlow
Take You Dancing	Jason Derulo
Prisoner	Miley Cyrus Featuring Dua Lipa
Livin' The Dream	Morgan Wallen
Put Your Records On	Ritt Momney
What's Your Country Song	Thomas Rhett
Beers And Sunshine	Darius Rucker
Back In Blood	Pooh Shiesty Featuring Lil Durk
Long Live	Florida Georgia Line
Hit Different	SZA Featuring Ty Dolla $ign
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Down To One	Luke Bryan
Whiskey'd My Way	Morgan Wallen
Your Bartender	Morgan Wallen
Golden	Harry Styles
Outlaw	Morgan Wallen Featuring Ben Burgess
Just The Way	Parmalee x Blanco Brown
Bichota	Karol G
The Good Ones	Gabby Barrett
Only Thing That's Gone	Morgan Wallen Featuring Chris Stapleton
Streets	Doja Cat
This Bar	Morgan Wallen
Wonderin' Bout The Wind	Morgan Wallen
So Done	The Kid LAROI
Pick Up Your Feelings	Jazmine Sullivan
Adderall (Corvette Corvette)	Popp Hunna
Girl Like Me	Jazmine Sullivan Featuring H.E.R.
Midnight Sky	Miley Cyrus
Moonwalking In Calabasas	DDG
Buss It	Erica Banks
