Bad, Bad Leroy Brown	Jim Croce
Will It Go Round In Circles	Billy Preston
Yesterday Once More	Carpenters
Shambala	Three Dog Night
Kodachrome	Paul Simon
Give Me Love - (Give Me Peace On Earth)	George Harrison
Smoke On The Water	Deep Purple
Boogie Woogie Bugle Boy	Bette Midler
Playground In My Mind	Clint Holmes
Natural High	Bloodstone
Diamond Girl	Seals & Crofts
Long Train Runnin'	The Doobie Brothers
Right Place Wrong Time	Dr. John
Money	Pink Floyd
Behind Closed Doors	Charlie Rich
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Touch Me In The Morning	Diana Ross
So Very Hard To Go	Tower Of Power
Feelin' Stronger Every Day	Chicago
The Morning After	Maureen McGovern
My Love	Paul McCartney And Wings
Get Down	Gilbert O'Sullivan
Misdemeanor	Foster Sylvers
Brother Louie	Stories
Doing It To Death	Fred Wesley & The J.B.'s
I Believe In You (You Believe In Me)	Johnnie Taylor
If You Want Me To Stay	Sly & The Family Stone
Satin Sheets	Jeanne Pruett
Live And Let Die	Wings
Uneasy Rider	Charlie Daniels
Where Peaceful Waters Flow	Gladys Knight And The Pips
One Of A Kind (Love Affair)	The Spinners
Here I Am Come & Take Me	Al Green
I'm Gonna Love You Just A Little More Baby	Barry White
How Can I Tell Her	Lobo
I'll Always Love My Mama (Part I)	The Intruders
Soul Makossa	Manu Dibango
Angel	Aretha Franklin
Daddy Could Swear, I Declare	Gladys Knight And The Pips
Frankenstein	Edgar Winter Group
Delta Dawn	Helen Reddy
Why Me	Kris Kristofferson
Pillow Talk	Sylvia (r&b)
Roll Over Beethoven	Electric Light Orchestra
Goin' Home	The Osmonds
There's No Me Without You	The Manhattans
Are You Man Enough	Four Tops
Watergrate	Dickie Goodman
Soul Makossa	Afrique
Let's Get It On	Marvin Gaye
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
Nobody Wants You When You're Down And Out	Bobby Womack
And I Love You So	Perry Como
The Plastic Man	The Temptations
Hey You! Get Off My Mountain	The Dramatics
Over The Hills And Far Away	Led Zeppelin
Swamp Witch	Jim Stafford
Time To Get Down	The O'Jays
The Hurt	Cat Stevens
Give Your Baby A Standing Ovation	The Dells
I'd Rather Be A Cowboy	John Denver
Finder's Keepers	Chairman Of The Board
Tequila Sunrise	Eagles
Clouds	David Gates
Gypsy Man	War
You Light Up My Life/Believe In Humanity	Carole King
That Lady (Part 1)	The Isley Brothers
A Million To One/Young Love	Donny Osmond
Sixty Minute Man/Mother-In-Law	Clarence Carter
You'll Never Get To Heaven (If You Break My Heart)	The Stylistics
I Was Checkin' Out She Was Checkin' In	Don Covay
Be What You Are	The Staple Singers
Love, Love, Love	Donny Hathaway
He Did With Me	Vicki Lawrence
Sweet Charlie Babe	Jackie Moore
My Merry-go-round	Johnny Nash
It's Forever	The Ebonys
Blockbuster	The Sweet
There You Go	Edwin Starr
Bongo Rock	The Incredible Bongo Band
Lord, Mr. Ford	Jerry Reed
Roland The Roadie And Gertrude The Groupie	Dr. Hook And The Medicine Show
Didn't I	Sylvia (r&b)
Future Shock	Curtis Mayfield
Sweet Harmony	Smokey Robinson
Everyone's Agreed That Everything Will Turn Out Fine	Stealers Wheel
Darling Come Back Home	Eddie Kendricks
Baby I've Been Missing You	The Independents
Friend Of Mine	Bill Withers
Sunshine	Mickey Newbury
Top Of The World	Lynn Anderson
Jimmy Loves Mary-Anne	Looking Glass
Brother's Gonna Work It Out	Willie Hutch
One Tin Soldier (The Legend of Billy Jack)	Coven
Giving It All Away	Roger Daltrey
Smoke! Smoke! Smoke! (That Cigarette)	Commander Cody
Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando
Black Byrd	Donald Byrd
You Were Always There	Donna Fargo
