Crazy In Love	Beyonce Featuring Jay Z
Right Thurr	Chingy
P.I.M.P.	50 Cent
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
Into You	Fabolous Featuring Tamia Or Ashanti
Frontin'	Pharrell Featuring Jay-Z
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Unwell	matchbox twenty
In Those Jeans	Ginuwine
Where Is The Love?	The Black Eyed Peas
Rock Wit U (Awww Baby)	Ashanti
Magic Stick	Lil' Kim Featuring 50 Cent
Drift Away	Uncle Kracker Featuring Dobie Gray
Like Glue	Sean Paul
Are You Happy Now?	Michelle Branch
Miss Independent	Kelly Clarkson
Bring Me To Life	Evanescence Featuring Paul McCoy
My Love Is Like... Wo	Mya
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Forever And For Always	Shania Twain
I Want You	Thalia Featuring Fat Joe
Thoia Thoing	R. Kelly
So Gone	Monica
Let's Get Down	Bow Wow Featuring Baby
Get Busy	Sean Paul
Calling All Angels	Train
No Shoes, No Shirt, No Problems	Kenny Chesney
Baby Boy	Beyonce Featuring Sean Paul
What Was I Thinkin'	Dierks Bentley
The Remedy (I Won't Worry)	Jason Mraz
Red Dirt Road	Brooks & Dunn
Celebrity	Brad Paisley
Love At 1st Sight	Mary J. Blige Featuring Method Man
When I'm Gone	3 Doors Down
The Boys Of Summer	The Ataris
Intuition	Jewel
Come Over	Aaliyah
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
My Front Porch Looking In	Lonestar
Beer For My Horses	Toby Keith Duet With Willie Nelson
Real Good Man	Tim McGraw
Senorita	Justin Timberlake
Dance With My Father	Luther Vandross
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Addicted	Simple Plan
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Can't Stop, Won't Stop	Young Gunz
21 Questions	50 Cent Featuring Nate Dogg
Ignition	R. Kelly
Girls And Boys	Good Charlotte
So Far Away	Staind
So Yesterday	Hilary Duff
Then They Do	Trace Adkins
Faint	Linkin Park
Don't Wanna Try	Frankie J
99.9% Sure (I've Never Been Here Before)	Brian McComas
This Is The Night	Clay Aiken
Damn!	YoungBloodZ Featuring Lil Jon
Did My Time	Korn
Signs Of Love Makin'	Tyrese
This One's For The Girls	Martina McBride
Like A Pimp	David Banner Featuring Lil' Flip
I Wish I Wasn't	Heather Headley
A Few Questions	Clay Walker
Light Your A** On Fire	Busta Rhymes
Who Wouldn't Wanna Be Me	Keith Urban
Step In The Name Of Love	R. Kelly
Hole In The World	Eagles
Breathe	Blu Cantrell Featuring Sean Paul
Suga Suga	Baby Bash Featuring Frankie J
She Only Smokes When She Drinks	Joe Nichols
Send The Pain Below	Chevelle
Stay Gone	Jimmy Wayne
Tough Little Boys	Gary Allan
Harder To Breathe	Maroon 5
Fighter	Christina Aguilera
Show Me How To Live	Audioslave
I Melt	Rascal Flatts
Seven Nation Army	The White Stripes
Someday	Nickelback
Na Na Na	112 Featuring Super Cat
Officially Missing You	Tamia
Just Because	Jane's Addiction
Flying Without Wings	Ruben Studdard
24's	T.I.
What The World Needs	Wynonna
Where The Hood At	DMX
Almost Home	Craig Morgan
Swing, Swing	The All-American Rejects
Amazing	Josh Kelley
Feelin' Freaky	Nick Cannon Featuring B2K
Walk A Little Straighter	Billy Currington
Danger	Erykah Badu
Cop That Sh#!	Timbaland & Magoo Featuring Missy Elliott
Crazy	Javier
Lovin' All Night	Patty Loveless
Never (Past Tense)	The Roc Project Featuring Tina Arena
Stupid Girl	Cold
Pump It Up	Joe Budden
