Downtown	Petula Clark
You've Lost That Lovin' Feelin'	The Righteous Brothers
The Name Game	Shirley Ellis
Love Potion Number Nine	The Searchers
Hold What You've Got	Joe Tex
How Sweet It Is To Be Loved By You	Marvin Gaye
This Diamond Ring	Gary Lewis And The Playboys
Come See About Me	The Supremes
Keep Searchin' (We'll Follow The Sun)	Del Shannon
All Day And All Of The Night	The Kinks
I Feel Fine	The Beatles
My Girl	The Temptations
Let's Lock The Door (And Throw Away The Key)	Jay & The Americans
I'll Be There	Gerry And The Pacemakers
Shake	Sam Cooke
The Jerk	The Larks
Goin' Out Of My Head	Little Anthony And The Imperials
Give Him A Great Big Kiss	The Shangri-Las
Mr. Lonely	Bobby Vinton
Thou Shalt Not Steal	Dick and DeeDee
I Go To Pieces	Peter And Gordon
The Jolly Green Giant	The Kingsmen
The "In" Crowd	Dobie Gray
Tell Her No	The Zombies
You're Nobody Till Somebody Loves You	Dean Martin
Heart Of Stone	The Rolling Stones
Don't Forget I Still Love You	Bobbi Martin
Have You Looked Into Your Heart	Jerry Vale
Bye, Bye, Baby (Baby, Goodbye)	The 4 Seasons Featuring the "Sound of Frankie Valli"
Look Of Love	Lesley Gore
Twine Time	Alvin Cash & The Crawlers
Laugh, Laugh	The Beau Brummels
No Arms Can Ever Hold You	The Bachelors
Use Your Head	Mary Wells
Willow Weep For Me	Chad & Jeremy
Somewhere In Your Heart	Frank Sinatra
She's A Woman	The Beatles
Dear Heart	Andy Williams
The Wedding	Julie Rogers
Any Way You Want It	The Dave Clark Five
My Love, Forgive Me (Amore, Scusami)	Robert Goulet
Dear Heart	Jack Jones
Amen	The Impressions
The Boy From New York City	The Ad Libs
Paper Tiger	Sue Thompson
Lemon Tree	Trini Lopez
Can You Jerk Like Me	The Contours
I Can't Stop	The Honeycombs
Sha La La	Manfred Mann
Come On Do The Jerk	The Miracles
Hawaii Tattoo	The Waikikis
Little Bell	The Dixie Cups
Seven Letters	Ben E. King
Makin' Whoopee	Ray Charles
Do What You Do Do Well	Ned Miller
Bucket "T"	Ronny And The Daytonas
Thanks A Lot	Brenda Lee
Ode To The Little Brown Shack Out Back	Billy Edd Wheeler
Voice Your Choice	The Radiants
For Lovin' Me	Peter, Paul & Mary
Fancy Pants	Al (He's the King) Hirt
Hello Pretty Girl	Ronnie Dove
King Of The Road	Roger Miller
Red Roses For A Blue Lady	Bert Kaempfert And His Orchestra
He's My Guy	Irma Thomas
Lovin' Place	Gale Garnett
Break Away (From That Boy)	The Newbeats
The Birds And The Bees	Jewel Akens
Whenever A Teenager Cries	Reparata And The Delrons
A Change Is Gonna Come	Sam Cooke
Whose Heart Are You Breaking Tonight	Connie Francis
At The Club	The Drifters
What Have They Done To The Rain	The Searchers
Cousin Of Mine	Sam Cooke
I've Got A Tiger By The Tail	Buck Owens
My Heart Would Know	Al Martino
Hey-Da-Da-Dow	The Dolphins
It's Alright	Adam Faith With The Roulettes
Dusty	The Rag Dolls
Married Man	Richard Burton
The Man	Lorne Greene
Comin' On Too Strong	Wayne Newton
Little Things	Bobby Goldsboro
Don't Come Running Back To Me	Nancy Wilson
Can't You Hear My Heartbeat	Herman's Hermits
Diamond Head	The Ventures
The Crying Game	Brenda Lee
Try To Remember	Ed Ames
Goldfinger	Billy Strange
That's How Strong My Love Is	Otis Redding
No Faith, No Love	Mitty Collier
Bring Your Love To Me	The Righteous Brothers
Jerk And Twine	Jackie Ross
I Wanna Be (Your Everything)	The Manhattans
I Want My Baby Back	Jimmy Cross
He Was Really Sayin' Somethin'	The Velvelettes
Crying In The Chapel	Adam Wade
Goldfinger	Shirley Bassey
Can't You Just See Me	Aretha Franklin
Goldfinger	Jack Laforge His Piano and Orchestra
