Top Of The World	Carpenters
Photograph	Ringo Starr
Goodbye Yellow Brick Road	Elton John
Space Race	Billy Preston
Keep On Truckin' (Part 1)	Eddie Kendricks
Just You 'n' Me	Chicago
Midnight Train To Georgia	Gladys Knight And The Pips
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
The Most Beautiful Girl	Charlie Rich
Hello It's Me	Todd Rundgren
Paper Roses	Marie Osmond
Leave Me Alone (ruby Red Dress)	Helen Reddy
If You're Ready (Come Go With Me)	The Staple Singers
Cheaper To Keep Her	Johnnie Taylor
I Got A Name	Jim Croce
Let Me Serenade You	Three Dog Night
Time In A Bottle	Jim Croce
Angie	The Rolling Stones
Never, Never Gonna Give Ya Up	Barry White
You're A Special Part Of Me	Diana Ross & Marvin Gaye
The Joker	The Steve Miller Band
All I Know	Garfunkel
Rockin' Roll Baby	The Stylistics
Come Get To This	Marvin Gaye
My Music	Loggins & Messina
Knockin' On Heaven's Door	Bob Dylan
Ooh Baby	Gilbert O'Sullivan
Living For The City	Stevie Wonder
MIND GAMES	John Lennon
Why Me	Kris Kristofferson
Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn
Show And Tell	Al Wilson
Be	Neil Diamond
Half-Breed	Cher
D'yer Mak'er	Led Zeppelin
We May Never Pass This Way (Again)	Seals & Crofts
Nutbush City Limits	Ike & Tina Turner
Ramblin Man	The Allman Brothers Band
Sweet Understanding Love	Four Tops
Smokin' In The Boy's Room	Brownsville Station
Helen Wheels	Paul McCartney And Wings
Corazón	Carole King
Me And Baby Brother	War
Fell For You	The Dramatics
Yes We Can Can	The Pointer Sisters
Never Let You Go	Bloodstone
Check It Out	Tavares
Some Guys Have All The Luck	The Persuaders
I've Got To Use My Imagination	Gladys Knight And The Pips
Mammy Blue	Stories
Friends/chapel Of Love	Bette Midler
Painted Ladies	Ian Thomas
Sail Around The World	David Gates
I Can't Stand The Rain	Ann Peebles
"Having A Party" Medley	The Ovations (Featuring Louis Williams)
I Found Sunshine	The Chi-lites
Country Sunshine	Dottie West
Dream On	Aerosmith
Let Me Be There	Olivia Newton-John
Tell Her She's Lovely	El Chicano
Pretty Lady	Lighthouse
My Old School	Steely Dan
This Time I'm Gone For Good	Bobby "Blue" Bland
It's All Over	The Independents
Little Girl Gone	Donna Fargo
I Don't Know What It Is, But It Sure Is Funky	Ripple
There Ain't No Way	Lobo
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Oh! No Not My Baby	Rod Stewart
Spiders & Snakes	Jim Stafford
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
Rock 'N Roll (I Gave You The Best Years of My Life)	Kevin Johnson
Keep Your Head To The Sky	Earth, Wind & Fire
Walk Like A Man	Grand Funk
I Wanna Know Your Name	The Intruders
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
River	Joe Simon
Frisky	Sly & The Family Stone
Smarty Pants	First Choice
Let Me Try Again (Laisse Moi Le Temps)	Frank Sinatra
American Tune	Paul Simon
A Song I'd Like To Sing	Kris Kristofferson & Rita Coolidge
Rock On	David Essex
Baby Come Close	Smokey Robinson
Blue Collar	Bachman-Turner Overdrive
The Way We Were	Barbra Streisand
The River Of Love	B.W. Stevenson
Love's Theme	Love Unlimited Orchestra
Showdown	Electric Light Orchestra
Come Live With Me	Ray Charles
If We Make It Through December	Merle Haggard
Ain't Got No Home	The Band
Redneck Friend	Jackson Browne
Last Kiss	Wednesday
Stoned To The Bone - Part 1	James Brown
Love, Reign O'er Me	The Who
Back For A Taste Of Your Love	Syl Johnson
Love Has No Pride	Linda Ronstadt
Half A Million Miles From Home	Albert Hammond
