Crazy In Love	Beyonce Featuring Jay Z
Right Thurr	Chingy
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
P.I.M.P.	50 Cent
Into You	Fabolous Featuring Tamia Or Ashanti
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Frontin'	Pharrell Featuring Jay-Z
Unwell	matchbox twenty
Where Is The Love?	The Black Eyed Peas
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
In Those Jeans	Ginuwine
Baby Boy	Beyonce Featuring Sean Paul
Like Glue	Sean Paul
Drift Away	Uncle Kracker Featuring Dobie Gray
Rock Wit U (Awww Baby)	Ashanti
My Love Is Like... Wo	Mya
Are You Happy Now?	Michelle Branch
Magic Stick	Lil' Kim Featuring 50 Cent
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Bring Me To Life	Evanescence Featuring Paul McCoy
Forever And For Always	Shania Twain
Miss Independent	Kelly Clarkson
Thoia Thoing	R. Kelly
Calling All Angels	Train
Let's Get Down	Bow Wow Featuring Baby
I Want You	Thalia Featuring Fat Joe
So Gone	Monica
No Shoes, No Shirt, No Problems	Kenny Chesney
The Remedy (I Won't Worry)	Jason Mraz
What Was I Thinkin'	Dierks Bentley
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
The Boys Of Summer	The Ataris
Get Busy	Sean Paul
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Red Dirt Road	Brooks & Dunn
Celebrity	Brad Paisley
Come Over	Aaliyah
Senorita	Justin Timberlake
When I'm Gone	3 Doors Down
Real Good Man	Tim McGraw
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Dance With My Father	Luther Vandross
My Front Porch Looking In	Lonestar
Can't Stop, Won't Stop	Young Gunz
Beer For My Horses	Toby Keith Duet With Willie Nelson
Addicted	Simple Plan
Intuition	Jewel
So Far Away	Staind
Damn!	YoungBloodZ Featuring Lil Jon
Love At 1st Sight	Mary J. Blige Featuring Method Man
Girls And Boys	Good Charlotte
Then They Do	Trace Adkins
Faint	Linkin Park
This One's For The Girls	Martina McBride
So Yesterday	Hilary Duff
Suga Suga	Baby Bash Featuring Frankie J
Signs Of Love Makin'	Tyrese
Light Your A** On Fire	Busta Rhymes
Step In The Name Of Love	R. Kelly
Did My Time	Korn
A Few Questions	Clay Walker
Who Wouldn't Wanna Be Me	Keith Urban
99.9% Sure (I've Never Been Here Before)	Brian McComas
Here Without You	3 Doors Down
This Is The Night	Clay Aiken
Bigger Than My Body	John Mayer
I Wish I Wasn't	Heather Headley
Tough Little Boys	Gary Allan
Like A Pimp	David Banner Featuring Lil' Flip
Harder To Breathe	Maroon 5
Hole In The World	Eagles
I Melt	Rascal Flatts
Show Me How To Live	Audioslave
She Only Smokes When She Drinks	Joe Nichols
Na Na Na	112 Featuring Super Cat
Someday	Nickelback
Wave On Wave	Pat Green
Rain On Me	Ashanti
Heaven	Live
Send The Pain Below	Chevelle
Breathe	Blu Cantrell Featuring Sean Paul
24's	T.I.
Officially Missing You	Tamia
Seven Nation Army	The White Stripes
Stay Gone	Jimmy Wayne
Where The Hood At	DMX
Just Because	Jane's Addiction
Walk A Little Straighter	Billy Currington
Amazing	Josh Kelley
Lovin' All Night	Patty Loveless
Flying Without Wings	Ruben Studdard
Feelin' Freaky	Nick Cannon Featuring B2K
Danger	Erykah Badu
Almost Home	Craig Morgan
Cop That Sh#!	Timbaland & Magoo Featuring Missy Elliott
Swing, Swing	The All-American Rejects
Roun' The Globe	Nappy Roots
Never (Past Tense)	The Roc Project Featuring Tina Arena
Crazy	Javier
Stupid Girl	Cold
