You Can't Hurry Love	The Supremes
Sunshine Superman	Donovan
Yellow Submarine	The Beatles
See You In September	The Happenings
Summer In The City	The Lovin' Spoonful
Land Of 1000 Dances	Wilson Pickett
Sunny	Bobby Hebb
Working In The Coal Mine	Lee Dorsey
Bus Stop	The Hollies
Guantanamera	The Sandpipers
Wouldn't It Be Nice	The Beach Boys
Summertime	Billy Stewart
Born A Woman	Sandy Posey
Cherish	The Association
Respectable	The Outsiders
Beauty Is Only Skin Deep	The Temptations
Blowin In The Wind	Stevie Wonder
Turn-Down Day	The Cyrkle
Wade In The Water	Ramsey Lewis
Sunny Afternoon	The Kinks
Say I Am (What I Am)	Tommy James And The Shondells
Warm And Tender Love	Percy Sledge
Wipe Out	The Surfaris
How Sweet It Is (To Be Loved By You)	Jr. Walker & The All Stars
The Dangling Conversation	Simon & Garfunkel
Eleanor Rigby	The Beatles
Black Is Black	Los Bravos
The Joker Went Wild	Brian Hyland
With A Girl Like You	The Troggs
Lil' Red Riding Hood	Sam The Sham and the Pharaohs
Open The Door To Your Heart	Darrell Banks
Mr. Dieingly Sad	The Critters
I Couldn't Live Without Your Love	Petula Clark
My Heart's Symphony	Gary Lewis And The Playboys
There Will Never Be Another You	Chris Montez
Almost Persuaded	David Houston
What Becomes Of The Brokenhearted	Jimmy Ruffin
7 And 7 Is	Love
Cherry, Cherry	Neil Diamond
Go Ahead And Cry	The Righteous Brothers
I've Got You Under My Skin	The 4 Seasons Featuring the "Sound of Frankie Valli"
God Only Knows	The Beach Boys
Sweet Pea	Tommy Roe
Make Me Belong To You	Barbara Lewis
96 Tears	? (Question Mark) & The Mysterians
Flamingo	Herb Alpert & The Tijuana Brass
Little Darling, I Need You	Marvin Gaye
Summer Wind	Frank Sinatra
The Philly Freeze	Alvin Cash & The Registers
Satisfied With You	The Dave Clark Five
Sugar And Spice	The Cryan' Shames
World Of Fantasy	The Five Stairsteps
Sometimes Good Guys Don't Wear White	The Standells
B-A-B-Y	Carla Thomas
Ashes To Ashes	The Mindbenders
I Really Don't Want To Know	Ronnie Dove
Reach Out I'll Be There	Four Tops
Money Won't Change You (Part 1)	James Brown And The Famous Flames
Rumors	Syndicate Of Sound
Suspicions	The Sidekicks
In The Arms Of Love	Andy Williams
That's Enough	Rosco Robinson
Cast Your Fate To The Wind	Shelby Flint
Blue Side Of Lonesome	Jim Reeves
I Chose To Sing The Blues	Ray Charles & The Raelets
You're Gonna Miss Me	The Thirteenth Floor Elevators
Last Train To Clarksville	The Monkees
I Want To Be With You	Dee Dee Warwick
Walk Away Renee	The Left Banke
Get Away	Georgie Fame And The Blue Flames
She Drives Me Out Of My Mind	The Swingin' Medallions
Ain't Nobody Home	Howard Tate
Born Free	Roger Williams
I Got To Handle It	The Capitols
Dianne, Dianne	Ronny And The Daytonas
Summer Samba (So Nice)	Walter Wanderley
Let's Call It A Day Girl	The Razor's Edge
Baby Toys	The Toys
Psychotic Reaction	Count Five
All Strung Out	Nino Tempo & April Stevens
Just Like A Woman	Bob Dylan
Can't Satisfy	The Impressions
Said I Wasn't Gonna Tell Nobody	Sam & Dave
Mind Excursion	The Trade Winds
Girl On A Swing	Gerry And The Pacemakers
I Can Make It With You	Jackie DeShannon
I Can Make It With You	Pozo Seco Singers
The Fife Piper	The Dynatones
My Sweet Potato	Booker T. & The MG's
It Hurts Me	Bobby Goldsboro
Campfire Girls	Billy Joe Royal
Roller Coaster	The Ides Of March
Tomorrow Never Comes	B.J. Thomas
Fiddle Around	Jan & Dean
Alfie	Cilla Black
Bad Little Woman	The Shadows Of Knight
Knock On Wood	Eddie Floyd
Only When You're Lonely	The Grass Roots
Love Is A Hurtin' Thing	Lou Rawls
It Was A Very Good Year	Della Reese
