Drivers License	Olivia Rodrigo
Up	Cardi B
Blinding Lights	The Weeknd
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Go Crazy	Chris Brown & Young Thug
Save Your Tears	The Weeknd & Ariana Grande
Mood	24kGoldn Featuring iann dior
Calling My Phone	Lil Tjay Featuring 6LACK
What You Know Bout Love	Pop Smoke
Levitating	Dua Lipa Featuring DaBaby
Positions	Ariana Grande
Therefore I Am	Billie Eilish
Back In Blood	Pooh Shiesty Featuring Lil Durk
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Dakiti	Bad Bunny & Jhay Cortez
You Broke Me First.	Tate McRae
Whoopty	CJ
You're Mines Still	Yung Bleu Featuring Drake
Good Time	Niko Moon
My Ex's Best Friend	Machine Gun Kelly X blackbear
Best Friend	Saweetie Featuring Doja Cat
Good Days	SZA
I Hope	Gabby Barrett Featuring Charlie Puth
On Me	Lil Baby
Streets	Doja Cat
Better Together	Luke Combs
Throat Baby (Go Baby)	BRS Kash
Holy	Justin Bieber Featuring Chance The Rapper
Put Your Records On	Ritt Momney
Anyone	Justin Bieber
Willow	Taylor Swift
Just The Way	Parmalee x Blanco Brown
Without You	The Kid LAROI
Bang!	AJR
Down To One	Luke Bryan
No More Parties	Coi Leray Featuring Lil Durk
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Telepatia	Kali Uchis
The Good Ones	Gabby Barrett
Lonely	Justin Bieber & benny blanco
Cry Baby	Megan Thee Stallion Featuring DaBaby
Dynamite	BTS
What's Your Country Song	Thomas Rhett
My Head And My Heart	Ava Max
Damage	H.E.R.
Laugh Now Cry Later	Drake Featuring Lil Durk
Starting Over	Chris Stapleton
Astronaut In The Ocean	Masked Wolf
Time Today	Moneybagg Yo
We're Good	Dua Lipa
Long Live	Florida Georgia Line
Beers And Sunshine	Darius Rucker
Heartbreak Anniversary	Giveon
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Body	Megan Thee Stallion
Buss It	Erica Banks
Goosebumps	Travis Scott & HVME
Golden	Harry Styles
Lady	Brett Young
Heat Waves	Glass Animals
Wasted On You	Morgan Wallen
La Noche de Anoche	Bad Bunny & Rosalia
AP	Pop Smoke
Forever After All	Luke Combs
Track Star	Mooski
Momma's House	Dustin Lynch
Sand In My Boots	Morgan Wallen
Girl Like Me	Black Eyed Peas X Shakira
Hell Of A View	Eric Church
Lifestyle	Jason Derulo Featuring Adam Levine
Masterpiece	DaBaby
Somebody Like That	Tenille Arts
Only Wanna Be With You	Post Malone
One Too Many	Keith Urban Duet With P!nk
Neighbors	Pooh Shiesty Featuring BIG30
You Got It	VEDO
Tyler Herro	Jack Harlow
Finesse Out The Gang Way	Lil Durk Featuring Lil Baby
Opp Stoppa	YBN Nahmir Featuring 21 Savage
The Business	Tiesto
Bandido	Myke Towers & Juhn
Quicksand	Morray
Almost Maybes	Jordan Davis
Hello	Pop Smoke Featuring A Boogie Wit da Hoodie
Still Trappin'	Lil Durk & King Von
Moonwalking In Calabasas	DDG
Made For You	Jake Owen
Hole In The Bottle	Kelsea Ballerini
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
Glad You Exist	Dan + Shay
Breaking Up Was Easy In The 90's	Sam Hunt
Somebody's Problem	Morgan Wallen
Drankin N Smokin	Future & Lil Uzi Vert
Pick Up Your Feelings	Jazmine Sullivan
Nobody	Dylan Scott
Cover Me Up	Morgan Wallen
Like I Want You	Giveon
Gone	Dierks Bentley
Bichota	Karol G
