Sugar, Sugar	The Archies
Jean	Oliver
Little Woman	Bobby Sherman
I Can't Get Next To You	The Temptations
Hot Fun In The Summertime	Sly & The Family Stone
Everybody's Talkin'	Nilsson
Easy To Be Hard	Three Dog Night
Honky Tonk Women	The Rolling Stones
This Girl Is A Woman Now	Gary Puckett And The Union Gap
Green River	Creedence Clearwater Revival
Suspicious Minds	Elvis Presley
That's The Way Love Is	Marvin Gaye
I'm Gonna Make You Mine	Lou Christie
Oh, What A Night	The Dells
Baby It's You	Smith
Get Together	The Youngbloods
I'll Never Fall In Love Again	Tom Jones
When I Die	Motherlode
Tracy	The Cuff Links
What's The Use Of Breaking Up	Jerry Butler
Hurt So Bad	The Lettermen
A Boy Named Sue	Johnny Cash
Keem-O-Sabe	The Electric Indian
Sugar On Sunday	The Clique
Wedding Bell Blues	The 5th Dimension
Carry Me Back	The Rascals
You, I	The Rugbys
Lay Lady Lay	Bob Dylan
I'd Wait A Million Years	The Grass Roots
Your Good Thing (Is About To End)	Lou Rawls
In A Moment	The Intrigues
Going In Circles	The Friends Of Distinction
Is That All There Is	Peggy Lee
What Kind Of Fool Do You Think I Am	Bill Deal & The Rhondels
Make Believe	Wind
You've Lost That Lovin' Feeling	Dionne Warwick
Here I Go Again	Smokey Robinson & The Miracles
By The Time I Get To Phoenix	Isaac Hayes
Jesus Is A Soul Man	Lawrence Reynolds
You Got Yours And I'll Get Mine	The Delfonics
Don't It Make You Want To Go Home	Joe South and The Believers
Daddy's Little Man	O.C. Smith
Move Over	Steppenwolf
World (Part 1)	James Brown
It's Getting Better	Mama Cass
Jealous Kind Of Fella	Garland Green
Sad Girl	The Intruders
Walk On By	Isaac Hayes
And That Reminds Me (My Heart Reminds Me)	The 4 Seasons
We Gotta All Get Together	Paul Revere & The Raiders Featuring Mark Lindsay
Something In The Air	Thunderclap Newman
Ball Of Fire	Tommy James And The Shondells
Smile A Little Smile For Me	The Flying Machine
Jack And Jill	Tommy Roe
Love Of The Common People	The Winstons
So Good Together	Andy Kim
The Train	1910 Fruitgum Co.
Echo Park	Keith Barbour
You'll Never Walk Alone	The Brooklyn Bridge
Máh-Ná-Mah-Ná	Piero Umiliani
Son Of A Lovin' Man	Buchanan Brothers
Any Way That You Want Me	Evie Sands
Muddy Mississippi Line	Bobby Goldsboro
Let A Woman Be A Woman - Let A Man Be A Man	Dyke And The Blazers
No One For Me To Turn To	Spiral Starecase
Reuben James	Kenny Rogers & The First Edition
Baby, I'm For Real	The Originals
Doin' Our Thing	Clarence Carter
Chains Of Love	Bobby Bland
The Weight	Supremes & Temptations
Since I Met You, Baby	Sonny James
Suite: Judy Blue Eyes	Crosby, Stills & Nash
Time Machine	Grand Funk Railroad
Get Off My Back Woman	B.B. King
Runnin' Blue	The Doors
Life And Death In G & A	Abaco Dream
Groovy Grubworm	Harlow Wilcox and the Oakies
Let A Man Come In And Do The Popcorn (Part One)	James Brown
San Francisco Is A Lonely Town	Joe Simon
Mind, Body and Soul	The Flaming Ember
The Ways To Love A Man	Tammy Wynette
The Sweeter He Is - Part I	The Soul Children
Cherry Hill Park	Billy Joe Royal
Kool And The Gang	Kool & The Gang
I'll Bet You	Funkadelic
Silver Threads And Golden Needles	The Cowsills
The Colour Of My Love	Jefferson
Hold Me	The Baskerville Hounds
Try A Little Kindness	Glen Campbell
Don't Waste My Time	John Mayall
Good Clean Fun	The Monkees
Was It Good To You	The Isley Brothers
We'll Cry Together	Maxine Brown
Julia	Ramsey Lewis
All God's Children Got Soul	Dorothy Morrison
I Can't Be All Bad	Johnny Adams
Eternity	Vikki Carr
Delta Lady	Joe Cocker
Love In The City	The Turtles
She Belongs To Me	Rick Nelson
