Call Me Maybe	Carly Rae Jepsen
Payphone	Maroon 5 Featuring Wiz Khalifa
Somebody That I Used To Know	Gotye Featuring Kimbra
Wide Awake	Katy Perry
Where Have You Been	Rihanna
Lights	Ellie Goulding
We Are Young	fun. Featuring Janelle Monae
Starships	Nicki Minaj
What Makes You Beautiful	One Direction
Scream	Usher
Wild Ones	Flo Rida Featuring Sia
Titanium	David Guetta Featuring Sia
Glad You Came	The Wanted
Back In Time	Pitbull
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Drunk On You	Luke Bryan
Brokenhearted	Karmin
Boyfriend	Justin Bieber
Drive By	Train
Springsteen	Eric Church
Stronger (What Doesn't Kill You)	Kelly Clarkson
Feel So Close	Calvin Harris
I Won't Give Up	Jason Mraz
Everybody Talks	Neon Trees
Give Your Heart A Break	Demi Lovato
Come Over	Kenny Chesney
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Work Hard, Play Hard	Wiz Khalifa
Even If It Breaks Your Heart	Eli Young Band
The Motto	Drake Featuring Lil Wayne
Take Care	Drake Featuring Rihanna
Some Nights	fun.
Part Of Me	Katy Perry
Drank In My Cup	Kirko Bangz
Let's Go	Calvin Harris Featuring Ne-Yo
Cashin' Out	Ca$h Out
5-1-5-0	Dierks Bentley
We Run The Night	Havana Brown Featuring Pitbull
One Thing	One Direction
No Lie	2 Chainz Featuring Drake
Good Girl	Carrie Underwood
One More Night	Maroon 5
Climax	Usher
We Found Love	Rihanna Featuring Calvin Harris
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Heart Attack	Trey Songz
Somethin' 'Bout A Truck	Kip Moore
(Kissed You) Good Night	Gloriana
Set Fire To The Rain	Adele
You Don't Know Her Like I Do	Brantley Gilbert
Want U Back	Cher Lloyd
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Burn It Down	Linkin Park
Both Of Us	B.o.B Featuring Taylor Swift
Pontoon	Little Big Town
Lemme See	Usher Featuring Rick Ross
Tongue Tied	Grouplove
Whistle	Flo Rida
Beers Ago	Toby Keith
Wanted	Hunter Hayes
Leave You Alone	Young Jeezy Featuring Ne-Yo
How We Do (Party)	Rita Ora
Angel Eyes	Love And Theft
Too Close	Alex Clare
Nobody's Perfect	J. Cole Featuring Missy Elliott
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
Birthday Cake	Rihanna Featuring Chris Brown
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Time Is Love	Josh Turner
Postcard From Paris	The Band Perry
Fly Over States	Jason Aldean
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Little Talks	Of Monsters And Men
Ho Hey	The Lumineers
Chasing The Sun	The Wanted
Over	Blake Shelton
Why Ya Wanna	Jana Kramer
For You	Keith Urban
Cowboys And Angels	Dustin Lynch
Dance Again	Jennifer Lopez Featuring Pitbull
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
Crew Love	Drake Featuring The Weeknd
Midnight City	M83.
Right By My Side	Nicki Minaj Featuring Chris Brown
My Homies Still	Lil Wayne Featuring Big Sean
Amen	Meek Mill Featuring Drake
Ayy Ladies	Travis Porter Featuring Tyga
Hard To Love	Lee Brice
It's Time	Imagine Dragons
No Hurry	Zac Brown Band
Glass	Thompson Square
Snap Backs & Tattoos	Driicky Graham
Dark Side	Kelly Clarkson
Turn Up The Music	Chris Brown
Right Here	Justin Bieber Featuring Drake
Ai Se Eu Te Pego	Michel Telo
Gold On The Ceiling	The Black Keys
Bangarang	Skrillex Featuring Sirah
So Good	B.o.B
Lovin' You Is Fun	Easton Corbin
