Windy	The Association
Groovin'	The Young Rascals
Little Bit O' Soul	The Music Explosion
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
She'd Rather Be With Me	The Turtles
Respect	Aretha Franklin
Can't Take My Eyes Off You	Frankie Valli
Let's Live For Today	The Grass Roots
Come On Down To My Boat	Every Mothers' Son
Don't Sleep In The Subway	Petula Clark
Ding Dong! The Witch Is Dead	The Fifth Estate
Up -- Up And Away	The 5th Dimension
The Tracks Of My Tears	Johnny Rivers
New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
Alfie	Dionne Warwick
Sunday Will Never Be The Same	Spanky And Our Gang
Somebody To Love	Jefferson Airplane
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
Light My Fire	The Doors
7 Rooms Of Gloom	Four Tops
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Society's Child (Baby I've Been Thinking)	Janis Ian
Here We Go Again	Ray Charles
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
I Was Made To Love Her	Stevie Wonder
For Your Precious Love	Oscar Toney, Jr.
Release Me (And Let Me Love Again)	Engelbert Humperdinck
A Whiter Shade Of Pale	Procol Harum
Pay You Back With Interest	The Hollies
Mary In The Morning	Al Martino
Soul Finger	Bar-Kays
Make Me Yours	Bettye Swann
White Rabbit	Jefferson Airplane
Shake, Rattle & Roll	Arthur Conley
You Must Have Been A Beautiful Baby	The Dave Clark Five
Mercy, Mercy, Mercy	The Buckinghams
Come To The Sunshine	Harpers Bizarre
Don't Blame The Children	Sammy Davis Jr.
I Take It Back	Sandy Posey
All I Need	The Temptations
Step Out Of Your Mind	The American Breed
More Love	Smokey Robinson & The Miracles
Bowling Green	The Everly Brothers
Tramp	Otis & Carla
Carrie-Anne	The Hollies
For Your Love	Peaches & Herb
Mirage	Tommy James And The Shondells
I Got Rhythm	The Happenings
Don't Go Out Into The Rain (You're Going To Melt)	Herman's Hermits
Jackson	Nancy Sinatra & Lee Hazlewood
Sound Of Love	The Five Americans
The Oogum Boogum Song	Brenton Wood
Love Me Tender	Percy Sledge
Airplane Song (My Airplane)	The Royal Guardsmen
You Gave Me Something (And Everything's Alright)	Fantastic Four
Woman Like That, Yeah	Joe Tex
Why (Am I Treated So Bad)	The Sweet Inspirations
Silence Is Golden	The Tremeloes
Graduation Day	The Arbors
Soul Dance Number Three	Wilson Pickett
Baby Please Come Back Home	J.J. Barnes
You Wanted Someone To Play With (I Wanted Someone To Love)	Frankie Laine
There Goes My Everything	Engelbert Humperdinck
Somebody Help Me	The Spencer Davis Group
Oooh, Baby Baby	The Five Stairsteps
Summer And Sandy	Lesley Gore
Who's Lovin' You	Brenda & The Tabulations
It's Cold Outside	The Choir
Soothe Me	Sam & Dave
Stay Together Young Lovers	Brenda & The Tabulations
One By One	Blues Magoos
You Only Live Twice	Nancy Sinatra
Now I Know	Jack Jones
Have You Seen Her Face	The Byrds
Black Sheep	Sam The Sham and the Pharaohs
Hypnotized	Linda Jones
I Like The Way	Tommy James And The Shondells
Show Business	Lou Rawls
You Were On My Mind	Crispian St. Peters
Daylight Savin' Time	Keith
I'll Do It For You	Toussaint McCall
Night And Day	Sergio Mendes & Brasil '66
I Stand Accused (Of Loving You)	The Glories
Let The Good Times Roll & Feel So Good	Bunny Sigler
Groovy Summertime	The Love Generation
I'll Always Have Faith In You	Carla Thomas
Take Me (Just As I Am)	Solomon Burke
Lonely Drifter	Pieces Of Eight
Give Me Time	Dusty Springfield
Pictures Of Lily	The Who
Why (Am I Treated So Bad)	Bobby Powell
Up-Up And Away	The Johnny Mann Singers
My World Fell Down	Sagittarius
To Be A Lover	Gene Chandler
(I Wanna) Testify	The Parliaments
Your Unchanging Love	Marvin Gaye
Washed Ashore (On A Lonely Island In The Sea)	The Platters
Don't Rock The Boat	Eddie Floyd
Mr. Pleasant	The Kinks
Joy	Mitch Ryder
