Bad Medicine	Bon Jovi
Wild, Wild West	The Escape Club
The Loco-Motion	Kylie Minogue
Desire	U2
Kokomo (From"Cocktail" )	The Beach Boys
Baby, I Love Your Way/Freebird Medley	Will To Power
Kissing A Fool	George Michael
How Can I Fall?	Breathe
Look Away	Chicago
One Moment In Time	Whitney Houston
I Don't Want Your Love	Duran Duran
Don't Know What You Got (Till It's Gone)	Cinderella
Giving You The Best That I Got	Anita Baker
Another Lover	Giant Steps
Waiting For A Star To Fall	Boy Meets Girl
Groovy Kind Of Love	Phil Collins
Walk On Water	Eddie Money
Welcome To The Jungle	Guns N' Roses
The Promise	When In Rome
A Word In Spanish	Elton John
Never Tear Us Apart	INXS
My Prerogative	Bobby Brown
Every Rose Has Its Thorn	Poison
Domino Dancing	Pet Shop Boys
Finish What Ya Started	Van Halen
Edge Of A Broken Heart	Vixen
Small World	Huey Lewis & The News
What's On Your Mind (Pure Energy)	Information Society
Spy In The House Of Love	Was (Not Was)
Red Red Wine	UB40
In Your Room	The Bangles
Till I Loved You	Barbra Streisand & Don Johnson
Don't You Know What The Night Can Do?	Steve Winwood
Early In The Morning	Robert Palmer
Not Just Another Girl	Ivan Neville
Don't Be Cruel	Bobby Brown
Chains Of Love	Erasure
I Remember Holding You	Boys Club
Silhouette	Kenny G
Symptoms Of True Love	Tracie Spencer
Love Bites	Def Leppard
Don't Rush Me	Taylor Dayne
Yeah, Yeah, Yeah	Judson Spence
Forever Young	Rod Stewart
The Way You Love Me	Karyn White
Any Love	Luther Vandross
Two Hearts	Phil Collins
Boy, I've Been Told	SaFire
Smooth Criminal	Michael Jackson
Downtown Life	Daryl Hall John Oates
Hippy Hippy Shake (From "Cocktail")	The Georgia Satellites
Little Liar	Joan Jett & the Blackhearts
Put A Little Love In Your Heart	Annie Lennox & Al Green
Thanks For My Child	Cheryl Pepsii Riley
I'll Always Love You	Taylor Dayne
Handle With Care	Traveling Wilburys
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Ghost Town	Cheap Trick
Wild World	Maxi Priest
Peek-A-Boo	Siouxsie & The Banshees
Best Of Times	Peter Cetera
All This Time	Tiffany
Girls Ain't Nothing But Trouble	D.J. Jazzy Jeff & The Fresh Prince
Cars With The Boom	L'Trimm
Armageddon It	Def Leppard
Didn't Know It Was Love	Survivor
Rock & Roll Strategy	Thirty Eight Special
Dancing Under A Latin Moon	Candi
Baby Can I Hold You	Tracy Chapman
It's Money That Matters	Randy Newman
Back On Holiday	Robbie Nevil
Please Don't Go Girl	New Kids On The Block
It Takes Two	Rob Base & D.J. E-Z Rock
Put This Love To The Test	Jon Astley
Time And Tide	Basia
I Wanna Have Some Fun	Samantha Fox
Nobody's Perfect	Mike + The Mechanics
I Hate Myself For Loving You	Joan Jett & the Blackhearts
When The Children Cry	White Lion
Don't Break My Heart	Romeo's Daughter
Forever Young	Alphaville
Sweet Child O' Mine	Guns N' Roses
Don't Be Cruel	Cheap Trick
The Lover In Me	Sheena Easton
You Make Me Work	Cameo
True Love	Glenn Frey
I'm Gonna Miss You	Kenny Loggins
Killing Me Softly	Al B. Sure!
I Believe In You	Stryper
You Came	Kim Wilde
(It's Just) The Way That You Love Me	Paula Abdul
One Good Woman	Peter Cetera
Got A New Love	Good Question
If You Feel It	Denise Lopez
You're Not My Kind Of Girl	New Edition
Cross My Heart	Eighth Wonder
You Got It (The Right Stuff)	New Kids On The Block
Never Let You Go	Sweet Sensation
Dance Little Sister	Terence Trent D'Arby
If It Isn't Love	New Edition
